Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Smith Lake,Sawyer,2726100,NO,58,,583156,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
7000017,05/08/2001,,,,,22,,52,,,,,,
7000017,08/09/2001,6,NO,1.8,24,,51,,59,,,,,
29175346,07/07/2009,6.5,NO,2,,,50,,,LOW,,,BROWN,3-Enjoyment somewhat impaired (algae)
29556414,07/15/2009,6,NO,1.8,,,51,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
82607229,07/15/2015,8,NO,2.4,9.15,16.8,47,50,52,,,CLEAR,BROWN,1-Beautiful, could not be nicer
48746079,08/24/2015,4.5,NO,1.4,15.1,26.8,55,54,55,,,CLEAR,BROWN,1-Beautiful, could not be nicer
82607229,09/09/2015,5.25,NO,1.6,17,29.1,53,54,56,,,CLEAR,BROWN,2-Very minor aesthetic problems
7000082,07/21/2016,7.5,NO,2.3,17.3,28.6,48,54,56,,,CLEAR,BROWN,2-Very minor aesthetic problems
82607229,08/10/2016,4,NO,1.2,41,47.2,57,58,63,,,MURKY,BROWN,2-Very minor aesthetic problems
10585221,08/25/2016,3,NO,0.9,19.5,37.7,61,56,57,,,MURKY,BROWN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/07/2009,26,FEET,65.5,DEGREES F,,
07/15/2009,1,FEET,72.6,DEGREES F,,
07/15/2009,23,FEET,62.9,DEGREES F,,
07/15/2015,0,FEET,77.1,DEGREES F,7.67,MG/L
07/15/2015,1,FEET,76.9,DEGREES F,7.68,MG/L
07/15/2015,2,FEET,75.5,DEGREES F,7.73,MG/L
07/15/2015,3,FEET,75,DEGREES F,7.76,MG/L
07/15/2015,4,FEET,74.8,DEGREES F,7.76,MG/L
07/15/2015,5,FEET,74.5,DEGREES F,7.66,MG/L
07/15/2015,6,FEET,74.3,DEGREES F,7.51,MG/L
07/15/2015,7,FEET,74.2,DEGREES F,7.42,MG/L
07/15/2015,8,FEET,73.9,DEGREES F,7.37,MG/L
07/15/2015,9,FEET,73.5,DEGREES F,7.3,MG/L
07/15/2015,10,FEET,72,DEGREES F,6.48,MG/L
07/15/2015,11,FEET,68.7,DEGREES F,1.6,MG/L
07/15/2015,12,FEET,66.5,DEGREES F,.48,MG/L
07/15/2015,13,FEET,64.9,DEGREES F,.14,MG/L
07/15/2015,14,FEET,64.1,DEGREES F,.15,MG/L
07/15/2015,15,FEET,62.7,DEGREES F,.14,MG/L
07/15/2015,16,FEET,61.7,DEGREES F,.15,MG/L
07/15/2015,17,FEET,60.7,DEGREES F,.15,MG/L
07/15/2015,18,FEET,59.7,DEGREES F,.15,MG/L
07/15/2015,19,FEET,58.5,DEGREES F,.16,MG/L
07/15/2015,20,FEET,58,DEGREES F,.16,MG/L
07/15/2015,21,FEET,57.5,DEGREES F,.17,MG/L
07/15/2015,22,FEET,57.2,DEGREES F,.17,MG/L
07/15/2015,23,FEET,57,DEGREES F,.18,MG/L
07/15/2015,24,FEET,56.8,DEGREES F,.18,MG/L
07/15/2015,25,FEET,57.6,DEGREES F,.2,MG/L
09/09/2015,0,METERS,72.3,DEGREES F,7.88,MG/L
09/09/2015,1,METERS,72.2,DEGREES F,7.88,MG/L
09/09/2015,2,METERS,71.9,DEGREES F,7.88,MG/L
09/09/2015,3,METERS,70.6,DEGREES F,7.5,MG/L
09/09/2015,4,METERS,66.3,DEGREES F,1.84,MG/L
09/09/2015,5,METERS,64.3,DEGREES F,.99,MG/L
09/09/2015,6,METERS,63.4,DEGREES F,.25,MG/L
09/09/2015,7,METERS,62.5,DEGREES F,.27,MG/L
07/21/2016,0,FEET,81.4,DEGREES F,7.27,MG/L
07/21/2016,3,FEET,80.2,DEGREES F,7.31,MG/L
07/21/2016,6,FEET,77.3,DEGREES F,6.6,MG/L
07/21/2016,9,FEET,76.1,DEGREES F,6.05,MG/L
07/21/2016,12,FEET,71.1,DEGREES F,1.5,MG/L
07/21/2016,15,FEET,69.3,DEGREES F,.28,MG/L
