Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Spider Lake,Sawyer,2435700,NO,58,,583171,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189179,05/24/2002,16,NO,4.9,,12,37,47,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189179,06/09/2002,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
1,06/23/2002,,,,0.45,10,,46,29,,,,,
8189886,06/23/2002,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189886,06/29/2002,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189886,07/26/2002,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189886,08/12/2002,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
7000082,08/16/2002,11,NO,3.3,4.03,11,43,47,45,,,,,
8189886,09/08/2002,13,NO,4,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189886,10/19/2002,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189179,05/02/2003,,,,,7,,43,,,,,,
8189886,05/04/2003,13,NO,4,,,40,,,GAUGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,05/18/2003,14,NO,4.3,,,39,,,GAUGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,06/08/2003,17,NO,5.2,2.69,28,36,54,42,GAUGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,06/23/2003,14,NO,4.3,,,39,,,GAUGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,07/07/2003,12,NO,3.6,,,41,,,GAUGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,07/12/2003,13.5,NO,4.1,3.92,12,40,47,45,GAUGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,07/27/2003,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,08/02/2003,13.5,NO,4.1,4.67,11,40,47,46,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,08/25/2003,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,08/30/2003,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,09/07/2003,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,09/15/2003,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,09/22/2003,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,10/05/2003,19,NO,5.8,,15,35,49,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,05/08/2004,15.5,NO,4.7,,11,38,47,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,06/26/2004,11,NO,3.3,4.29,14,43,49,46,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,07/10/2004,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,07/18/2004,14,NO,4.3,2.42,12,39,47,41,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,07/30/2004,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,08/08/2004,11,NO,3.3,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,08/27/2004,10.5,NO,3.2,5.98,17,43,50,48,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,09/04/2004,11,NO,3.3,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,10/03/2004,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,10/09/2004,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,10/17/2004,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,10/21/2004,15,NO,4.6,,16,38,50,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,05/08/2005,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,05/29/2005,19.5,NO,5.9,,15,34,49,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,06/19/2005,13,NO,4,2.19,12,40,47,41,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,07/09/2005,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,07/17/2005,12.5,NO,3.8,2.35,12,41,47,41,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,07/30/2005,9.5,NO,2.9,,,45,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,08/14/2005,9,NO,2.7,6.14,14,45,49,49,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,09/03/2005,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,10/02/2005,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,10/10/2005,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189886,10/22/2005,13,NO,4,4.68,16,40,50,46,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
17817056,05/29/2006,15,,4.6,,,38,,,,,,,
17817056,06/26/2006,11,,3.3,,,43,,,,,,,
1,06/27/2006,,,,12.7,12,,47,54,,,,,
17817056,07/18/2006,11,,3.3,2.47,13,43,48,42,,,,,
17817056,08/20/2006,11,,3.3,5.27,,43,,47,,,,,
17817056,09/14/2006,10,,3,2.56,15,44,49,42,,,,,
8189886,10/19/2006,19.5,NO,5.9,2.57,15,34,49,42,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
17817056,05/29/2007,11,,3.3,,,43,,,,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
17817056,06/11/2007,,,,2.24,11,,47,41,,,,,
17817056,07/12/2007,,,,4.09,16,,50,45,,,,,
17817056,07/18/2007,8,,2.4,,,47,,,LOW,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
17817056,07/31/2007,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
17817056,08/14/2007,9.5,NO,2.9,,,45,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
17817056,09/08/2007,11,NO,3.3,,,43,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
17817056,09/09/2007,,,,3.22,12,,47,44,,,,,
17817056,09/22/2007,11,,3.3,,,43,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
17817056,09/27/2007,11,,3.3,,,43,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
17817056,10/22/2007,10,NO,3,,,44,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
17817056,06/18/2008,12.75,NO,3.9,2.92,12,40,47,43,HIGH,,CLEAR,GREEN,
17817056,07/01/2008,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,GREEN,
17817056,07/14/2008,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,
17817056,07/28/2008,11.5,NO,3.5,1.05,17,42,50,35,NORMAL,,CLEAR,GREEN,
17817056,08/18/2008,9.5,NO,2.9,3.62,11,45,47,45,NORMAL,,CLEAR,GREEN,
17817056,08/26/2008,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,GREEN,
17817056,09/03/2008,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,
17817056,09/17/2008,10.5,NO,3.2,,,43,,,LOW,,CLEAR,GREEN,
17817056,10/03/2008,13.5,NO,4.1,,,40,,,LOW,,CLEAR,GREEN,
17817056,10/08/2008,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,
17817056,05/25/2009,,,,,11,,47,,,,,,
17817056,06/26/2009,,,,1.69,9,,45,39,,,,,
17817056,07/20/2009,,,,2.04,11,,47,40,,,,,
17817056,08/04/2009,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,
17817056,08/26/2009,,,,2.4,7,,43,41,,,,,
17817056,08/27/2009,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,
17817056,09/01/2009,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,
17817056,09/15/2009,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,
17817056,09/21/2009,11.25,NO,3.4,,,42,,,LOW,,CLEAR,BLUE,
17817056,09/30/2009,13.25,NO,4,,,40,,,LOW,,CLEAR,BLUE,
17817056,10/17/2009,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,
17817056,06/30/2010,,,,1.6,8,,44,38,,,,,
17817056,07/28/2010,,,,,13,,48,,,,,,
17817056,08/19/2010,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,
17817056,08/31/2010,10,NO,3,2.79,12,44,47,43,LOW,,CLEAR,BLUE,
46317554,06/09/2011,15,NO,4.6,,,38,,,HIGH,,CLEAR,GREEN,
46317554,06/20/2011,13,NO,4,2.16,11,40,47,41,HIGH,,CLEAR,GREEN,
46317554,07/04/2011,12.75,NO,3.9,,,40,,,HIGH,,CLEAR,GREEN,
46317554,07/21/2011,10.5,NO,3.2,3.45,11,43,47,44,NORMAL,,CLEAR,GREEN,
46317554,08/08/2011,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,
46317554,08/25/2011,11.5,NO,3.5,3.75,13,42,48,45,NORMAL,,CLEAR,GREEN,
46317554,09/08/2011,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,GREEN,
46317554,10/03/2011,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,
46317554,05/04/2012,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,05/21/2012,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,05/22/2012,,,,,11,,47,,,,,,
46317554,05/31/2012,13.25,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,06/11/2012,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,06/30/2012,11,NO,3.3,2.82,14,43,49,43,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,07/14/2012,9,NO,2.7,,,45,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,07/29/2012,9.75,NO,3,3.04,11,44,47,43,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,08/13/2012,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,08/30/2012,13,NO,4,2.57,10,40,46,42,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,09/13/2012,10.75,NO,3.3,,,43,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,09/25/2012,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,05/28/2013,9.75,NO,3,,12.7,44,48,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,06/10/2013,11.5,NO,3.5,,,42,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,06/20/2013,11.5,NO,3.5,3.01,9.07,42,45,43,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,07/11/2013,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,07/25/2013,7.5,NO,2.3,4.03,7.61,48,44,45,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,08/12/2013,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,08/26/2013,10,NO,3,2.76,11.3,44,47,42,,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,05/22/2014,10.5,NO,3.2,,10.3,43,46,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
46317554,06/06/2014,11,NO,3.3,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
46317554,06/29/2014,8.75,NO,2.7,3.15,14.6,46,49,43,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
46317554,07/18/2014,8.75,NO,2.7,,,46,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
46317554,07/29/2014,8.75,NO,2.7,3.44,12.4,46,48,44,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
46317554,08/23/2014,9,NO,2.7,2.88,,45,,43,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
46317554,09/26/2014,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,05/16/2015,,,,,12.6,,48,,,,,,
46317554,05/16/2015,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
46317554,06/05/2015,11,NO,3.3,,,43,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
