Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Shawano Lake,Shawano,322800,NE,59,,593154,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8191217,06/29/2004,6,YES,1.8,,,51,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191217,07/10/2004,6,YES,1.8,,,51,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191217,07/18/2004,6,YES,1.8,,,51,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
7000126,09/14/2014,,,,12.8,36.4,,56,54,,,,,
1,05/26/2016,,,,,,,,,,,,,
1,05/27/2016,,,,,,,,,,,,,
1,05/29/2016,,,,,,,,,,,,,
1,05/31/2016,,,,,,,,,,,,,
1,06/07/2016,,,,,,,,,,,,,
1,06/14/2016,,,,,,,,,,,,,
1,06/28/2016,,,,,,,,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
05/26/2016,,,19.5,C,,
05/27/2016,,,20.3,C,,
05/29/2016,,,20.6,C,,
05/31/2016,,,20.7,C,,
06/07/2016,,,18.9,C,,
06/14/2016,,,21.0,C,,
06/28/2016,,,21.9,C,,



Start Date,Fieldwork Comment
06/29/2004,Submerged weeds- sunny day.  Few clouds- one boat fishing in area.    
07/10/2004,Few clouds.  Vegetation floating on water from boat motors.  Wind calm.    
07/18/2004,Sunny- no clouds.  Lat/long for samples taken this season:  N 44 49.493- W 88 32.421    




Start Date,Group Name,Project Name
06/29/2004,John + Mona Durben,Citizen Lake Monitoring - Water Quality - Shawano Lake; Northwest Basin
07/10/2004,John + Mona Durben,Citizen Lake Monitoring - Water Quality - Shawano Lake; Northwest Basin
07/18/2004,John + Mona Durben,Citizen Lake Monitoring - Water Quality - Shawano Lake; Northwest Basin
09/14/2014,STEVEN GREB,Optical  Properties of WI Lakes 2011 - 
05/26/2016,Data Collectors,Herbicide Concentration Monitoring
05/27/2016,Data Collectors,Herbicide Concentration Monitoring
05/29/2016,Data Collectors,Herbicide Concentration Monitoring
05/31/2016,Data Collectors,Herbicide Concentration Monitoring
06/07/2016,Data Collectors,Herbicide Concentration Monitoring
06/14/2016,Data Collectors,Herbicide Concentration Monitoring
06/28/2016,Data Collectors,Herbicide Concentration Monitoring
