Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Marinuka Lake,Trempealeau,1678200,WC,62,,623121,SW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/25/1973,,,,,150,,67,,,,,,
1,11/07/1973,,,,,90,,63,,,,,,
1,03/05/1974,,,,,360,,74,,,,,,
1,04/24/1974,,,,,120,,65,,,,,,
1,08/28/1974,,,,,160,,67,,,,,,
1,10/07/1974,,,,,110,,65,,,,,,
8190621,04/25/1995,1.75,NO,0.5,,,69,,,,,,GREEN BROWN,2-Very minor aesthetic problems
8190621,05/11/1995,1.5,NO,0.5,,,71,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,05/25/1995,2,NO,0.6,,,67,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,06/05/1995,1.25,NO,0.4,,,74,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,06/20/1995,3,NO,0.9,,,61,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,07/03/1995,4.75,NO,1.4,,,55,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190621,07/12/1995,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190621,08/01/1995,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190621,08/15/1995,0.5,NO,0.2,,,87,,,HIGH,,,BROWN,4-Would not swim but boating OK (algae)
8190621,08/31/1995,2,NO,0.6,,,67,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190621,09/12/1995,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190621,09/26/1995,3.5,NO,1.1,,,59,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,10/10/1995,2.5,NO,0.8,,,64,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,10/26/1995,1.25,NO,0.4,,,74,,,NORMAL,,,BROWN,1-Beautiful, could not be nicer
8190621,04/23/1996,2,NO,0.6,,,67,,,NORMAL,,,BROWN,1-Beautiful, could not be nicer
8190621,05/07/1996,1.75,NO,0.5,,,69,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,05/21/1996,1.5,NO,0.5,,,71,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,06/06/1996,1.5,NO,0.5,,,71,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,06/20/1996,2.25,NO,0.7,,,65,,,,,,BROWN,2-Very minor aesthetic problems
8190621,07/08/1996,2.75,NO,0.8,,,63,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,07/18/1996,2.25,NO,0.7,,,65,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190621,08/08/1996,4,NO,1.2,,,57,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,08/20/1996,3,NO,0.9,,,61,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,09/02/1996,2,NO,0.6,,,67,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,09/17/1996,4,NO,1.2,,,57,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190621,09/30/1996,3.5,NO,1.1,,,59,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,10/16/1996,3,NO,0.9,,,61,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190621,04/29/1997,1.5,NO,0.5,,,71,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,05/22/1997,1.5,NO,0.5,,,71,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,06/02/1997,1.5,NO,0.5,,,71,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,06/17/1997,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,,2-Very minor aesthetic problems
8190621,07/05/1997,3,NO,0.9,,,61,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190621,07/23/1997,2.75,NO,0.8,,,63,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190621,08/07/1997,2,NO,0.6,,,67,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190621,08/28/1997,1.5,NO,0.5,,,71,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190621,09/17/1997,1.25,NO,0.4,,,74,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,10/07/1997,1.25,NO,0.4,,,74,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,10/20/1997,2,NO,0.6,,,67,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,04/14/1998,1,NO,0.3,,,77,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,04/28/1998,1,NO,0.3,,,77,,,NO CHANGE,,,BROWN,
8190621,05/13/1998,1.5,YES,0.5,,,71,,,NO CHANGE,,,BROWN,
8190621,05/28/1998,1,NO,0.3,,,77,,,NO CHANGE,,,BROWN,
8190621,06/13/1998,1,NO,0.3,,,77,,,NO CHANGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,07/09/1998,2,NO,0.6,,,67,,,NO CHANGE,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,07/31/1998,3,NO,0.9,,,61,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,08/25/1998,1,NO,0.3,,,77,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,09/10/1998,2,NO,0.6,,,67,,,NO CHANGE,,,BROWN,
8190621,09/28/1998,2.5,NO,0.8,,,64,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190621,05/09/1999,1.25,NO,0.4,,,74,,,LOW,,,BROWN,
8190621,05/26/1999,1,NO,0.3,,,77,,,NO CHANGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,06/11/1999,1.25,NO,0.4,,,74,,,,,MURKY,,3-Enjoyment somewhat impaired (algae)
8190621,07/16/1999,1,NO,0.3,,,77,,,,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,08/10/1999,1.5,NO,0.5,,,71,,,NO CHANGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,08/26/1999,1.25,NO,0.4,,,74,,,NO CHANGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,09/06/1999,2.5,NO,0.8,,,64,,,NO CHANGE,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8190621,09/17/1999,1.25,NO,0.4,,,74,,,NO CHANGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,10/05/1999,1.75,NO,0.5,,,69,,,NO CHANGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,10/21/1999,1.75,NO,0.5,,,69,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,05/01/2000,1.5,NO,0.5,,,71,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,05/15/2000,1,NO,0.3,,,77,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,06/19/2000,1,NO,0.3,,,77,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,07/11/2000,0.5,NO,0.2,,,87,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,07/23/2000,1.5,NO,0.5,,,71,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,08/07/2000,1.25,NO,0.4,,,74,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,08/24/2000,2.25,NO,0.7,,,65,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,09/05/2000,0.5,NO,0.2,,,87,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,09/29/2000,1.25,NO,0.4,,,74,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8190621,10/19/2000,1.75,NO,0.5,,,69,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,06/19/2001,0.25,NO,0.1,,,97,,,NORMAL,,MURKY,BROWN,4-Would not swim but boating OK (algae)
8190621,07/07/2001,1,NO,0.3,,,77,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,07/27/2001,1.5,NO,0.5,,,71,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,08/11/2001,1.5,NO,0.5,,,71,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8190621,09/03/2001,1,NO,0.3,,,77,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,09/25/2001,1,NO,0.3,,,77,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190621,10/12/2001,1.5,NO,0.5,,,71,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
7000015,11/07/2002,5.2,NO,1.6,6.74,151,53,67,49,,,,,
7000020,04/18/2006,2,,0.6,,195,67,69,,,,,,
7000020,06/15/2006,1.6,,0.5,107,165,70,68,70,,,,,
7000020,06/27/2006,1,,0.3,96.4,232,77,70,69,,,,,
7000020,07/12/2006,1.5,,0.5,110,213,71,70,70,,,,,
7000020,07/26/2006,5.5,NO,1.7,25.7,151,53,67,59,,,,,
7000020,08/10/2006,2,NO,0.6,77.1,170,67,68,68,,,,,
7000020,08/22/2006,3.5,NO,1.1,67.4,120,59,65,67,,,,,
7000022,07/14/2008,1.8,NO,0.5,35.4,,69,,62,,,,,
7000022,07/28/2008,2,NO,0.6,20.1,66,67,61,57,,,,,
7000022,08/11/2008,2.9,NO,0.9,38.1,52,62,59,62,,,,,
7000022,08/25/2008,1.9,NO,0.6,121,154,68,67,71,,,,,
7000022,09/17/2008,2.1,,0.6,48.6,121,66,65,64,,,,,
7000022,06/15/2009,2.3,NO,0.7,30.8,113,65,65,61,,,,,
7000022,07/13/2009,2.3,NO,0.7,82.6,81,65,62,68,,,,,
7000022,08/18/2009,1.7,NO,0.5,275,232,69,70,77,,,,,
128393865,05/08/2016,2.125,NO,0.6,,,66,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
128393865,05/13/2016,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
