Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Anderson Lake,Vilas,968500,NO,64,,643042,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190306,07/02/1991,16.25,NO,4.9,,,37,,,DOWN 9",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/13/1991,18.5,NO,5.6,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/23/1991,18.25,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,
8190306,07/30/1991,19,NO,5.8,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,08/13/1991,20.25,NO,6.2,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,08/27/1991,22.5,NO,6.8,,,32,,,DOWN,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/02/1991,22,NO,6.7,,,33,,,DOWN .5",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/20/1991,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/28/1991,16.25,NO,4.9,,,37,,,LOWER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,10/07/1991,15.25,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,10/16/1991,15.5,NO,4.7,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,10/23/1991,17.5,NO,5.3,,,36,,,SAME AS OCT '89,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,04/30/1992,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,05/05/1992,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,05/18/1992,16,NO,4.9,,,37,,,2" ABOVE 4/30,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,05/24/1992,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,05/30/1992,25.25,NO,7.7,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,06/09/1992,30,NO,9.1,,,28,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,06/13/1992,30,NO,9.1,,,28,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,06/20/1992,29,NO,8.8,,,29,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,06/27/1992,28.75,NO,8.7,,,29,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/05/1992,25,NO,7.6,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/11/1992,27,NO,8.2,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/18/1992,28.75,NO,8.7,,,29,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/23/1992,26.5,NO,8.1,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/29/1992,22.5,NO,6.8,,,32,,,DOWN,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,08/13/1992,24,NO,7.3,,,31,,,DOWN 1.5,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,08/18/1992,25.25,NO,7.7,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,08/27/1992,26.75,NO,8.1,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/03/1992,25,NO,7.6,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/08/1992,24.75,NO,7.5,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/15/1992,20.75,NO,6.3,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/19/1992,23.5,NO,7.1,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/24/1992,22,NO,6.7,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,10/01/1992,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,BLUE,
8190306,10/13/1992,16,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,10/22/1992,16,NO,4.9,,,37,,,DOWN A BIT,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,10/30/1992,12,NO,3.6,,,41,,,DOWN A BIT,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,11/06/1992,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190306,05/29/1993,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,06/01/1993,15.5,NO,4.7,,,38,,,SAME AS LAST WEEK,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,06/21/1993,26,NO,7.9,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,06/28/1993,24,NO,7.3,,,31,,,8" HIGHER THAN 1992, 14" HIGHER THAN 1991, 22" HIG,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/02/1993,25.5,NO,7.8,,,30,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/19/1993,21.5,NO,6.5,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/22/1993,24.5,NO,7.4,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/30/1993,28,NO,8.5,,,29,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,08/07/1993,25.5,NO,7.8,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,08/19/1993,28.25,NO,8.6,,,29,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,08/28/1993,25,NO,7.6,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/01/1993,21.25,NO,6.5,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/12/1993,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/15/1993,22,NO,6.7,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/19/1993,22.5,NO,6.8,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,10/01/1993,19.75,NO,6,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,10/05/1993,19.25,NO,5.9,,,35,,,DOWN 1" FROM 2 WEEKS AGO,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,10/09/1993,20.25,NO,6.2,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,10/20/1993,15.75,NO,4.8,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,11/05/1993,8,YES,2.4,,,47,,,NORMAL,,CLEAR,BLUE,
8190306,05/06/1994,11.5,NO,3.5,,,42,,,,,,BLUE,2-Very minor aesthetic problems
8190306,05/12/1994,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190306,05/20/1994,16,NO,4.9,,,37,,,NORMAL,,,MOSTLY BLUE,2-Very minor aesthetic problems
8190306,05/28/1994,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190306,06/06/1994,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,06/16/1994,20,NO,6.1,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,06/26/1994,20,NO,6.1,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/20/1994,19.75,NO,6,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,07/29/1994,22,NO,6.7,,,33,,,LOWEST IN 3 YEARS,,CLEAR,BLUE,2-Very minor aesthetic problems
8190306,08/15/1994,29,NO,8.8,,,29,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,08/25/1994,30,NO,9.1,,,28,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/07/1994,25,NO,7.6,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,09/22/1994,30.5,NO,9.3,,,28,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,10/11/1994,24.75,NO,7.5,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,05/07/1995,15,NO,4.6,,,38,,,LOWEST IN YEARS,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,05/26/1995,17,NO,5.2,,,36,,,LOWEST IN YEARS,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,06/02/1995,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,06/13/1995,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190306,06/23/1995,25.5,NO,7.8,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
