Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
1,07/23/1979,,,,,,,,
32271208,05/29/1990,,,,,,,,
32271208,05/30/1990,,,,,,,,
32271208,09/05/1990,,,,,,,,
8189791,07/03/1993,6.5,NO,2,,,50,,
8189791,07/24/1993,8,NO,2.4,,,47,,
8189791,08/07/1993,6,NO,1.8,,,51,,
8189791,08/28/1993,6.75,NO,2.1,,,50,,
8189791,09/07/1993,4.75,NO,1.4,,,55,,
8189791,09/12/1993,4,NO,1.2,,,57,,
8189791,09/19/1993,4.5,NO,1.4,,,55,,
8189791,09/24/1993,4,NO,1.2,,,57,,
8189791,05/08/1994,5.25,NO,1.6,,,53,,
8189791,05/21/1994,6,NO,1.8,,,51,,
8189791,05/30/1994,6.75,NO,2.1,,,50,,
8189791,06/11/1994,10.5,NO,3.2,,,43,,
8189791,06/25/1994,11.5,NO,3.5,,,42,,
8189791,07/02/1994,7.5,NO,2.3,,,48,,
8189791,07/24/1994,6.75,NO,2.1,,,50,,
8189791,08/20/1994,6.5,NO,2,,,50,,
8189791,09/11/1994,6.25,NO,1.9,,,51,,
8189791,09/28/1994,3.5,NO,1.1,,,59,,
8189791,10/02/1994,5.5,NO,1.7,,,53,,
32271208,05/28/1995,,,,,,,,
8189791,05/29/1995,6.75,NO,2.1,,,50,,
32271208,05/29/1995,,,,,,,,
32271208,06/03/1995,,,,,,,,
8189791,06/04/1995,10,NO,3,,,44,,
8189791,06/19/1995,8,NO,2.4,,,47,,
8189791,07/01/1995,7.75,NO,2.4,,,48,,
8189791,07/24/1995,6.5,NO,2,,,50,,
8189791,08/14/1995,6.25,NO,1.9,,,51,,
8189791,09/03/1995,5,NO,1.5,,,54,,
32271208,09/04/1995,,,,,,,,
32271208,09/05/1995,,,,,,,,
8189791,09/13/1995,5.25,NO,1.6,,,53,,
32271208,09/13/1995,,,,,,,,
8189791,09/17/1995,6.5,NO,2,,,50,,
8189791,09/30/1995,5,NO,1.5,,,54,,
8189791,05/10/1996,6.5,NO,2,,,50,,
8189791,05/19/1996,4.25,NO,1.3,,,56,,
8189791,05/24/1996,4.5,NO,1.4,,,55,,
8189791,05/28/1996,4.5,NO,1.4,,,55,,
32271208,06/02/1996,,,,,,,,
32271208,06/13/1996,,,,,,,,
32271208,07/03/1996,,,,,,,,
8189791,07/05/1996,8.25,NO,2.5,,,47,,
32271208,07/17/1996,,,,,,,,
8189791,07/21/1996,6,NO,1.8,,,51,,
8189791,07/27/1996,5.5,NO,1.7,,,53,,
32271208,08/01/1996,,,,,,,,
32271208,08/21/1996,,,,,,,,
32271208,09/01/1996,,,,,,,,
8189791,09/02/1996,6,NO,1.8,,,51,,
32271208,09/06/1996,,,,,,,,
32271208,09/16/1996,,,,,,,,
8189791,10/12/1996,6,NO,1.8,,,51,,
32271208,05/31/1997,,,,,,,,
8189791,06/08/1997,8.25,NO,2.5,,,47,,
32271208,06/08/1997,,,,,,,,
32271208,06/12/1997,,,,,,,,
8189791,06/22/1997,9,NO,2.7,,,45,,
8189791,07/07/1997,7.75,NO,2.4,,,48,,
32271208,08/27/1997,,,,,,,,
32271208,09/03/1997,,,,,,,,
32271208,05/26/1998,,,,,,,,
32271208,06/01/1998,,,,,,,,
32271208,06/11/1998,,,,,,,,
32271208,09/27/1998,,,,,,,,
32271208,10/03/1998,,,,,,,,
32271208,10/08/1998,,,,,,,,
