Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Pokegama Lake,Vilas,2320800,NO,64,,643146,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189670,07/06/1996,12.25,NO,3.7,,,41,,,DEPTH=56',,CLEAR,BLUE,2-Very minor aesthetic problems
8189670,08/03/1996,9,NO,2.7,,,45,,,55',55,,GREEN,1-Beautiful, could not be nicer
8189670,08/10/1996,11.5,NO,3.5,,,42,,,45',45,,GREEN,1-Beautiful, could not be nicer
8189670,08/31/1996,13.5,NO,4.1,,,40,,,48',48,,GREEN,1-Beautiful, could not be nicer
8189670,09/15/1996,10.5,NO,3.2,,,43,,,47',47,,GREEN,
8189670,07/11/1997,13.5,NO,4.1,,,40,,,50 FEET DEPTH,,,GREEN,2-Very minor aesthetic problems
8189670,07/13/1997,16,NO,4.9,,,37,,,47 FEET,47,,GREEN,1-Beautiful, could not be nicer
8189670,07/26/1997,17.5,NO,5.3,,,36,,,44 FEET,44,,GREEN,1-Beautiful, could not be nicer
8189670,07/31/1997,14.5,NO,4.4,,,39,,,44 FEET,44,,GREEN,2-Very minor aesthetic problems
8189670,08/24/1997,12,NO,3.6,,,41,,,42 FEET,42,,GREEN,2-Very minor aesthetic problems
8189670,08/28/1997,12.5,NO,3.8,,,41,,,43 FEET,43,,GREEN,2-Very minor aesthetic problems
8189670,07/08/1998,11,NO,3.3,,,43,,,GAUGE,60,MURKY,BROWN,2-Very minor aesthetic problems
8189670,07/24/1998,10,NO,3,,,44,,,GAUGE,57,CLEAR,GREEN,2-Very minor aesthetic problems
8189670,08/02/1998,12,NO,3.6,,,41,,,GAUGE,60,CLEAR,GREEN,2-Very minor aesthetic problems
8189670,08/29/1998,11.5,NO,3.5,,,42,,,GAUGE,43,CLEAR,GREEN,2-Very minor aesthetic problems
8189670,09/24/1998,11.75,NO,3.6,,,42,,,GAUGE,57,CLEAR,GREEN,2-Very minor aesthetic problems
8189670,09/27/1998,11,NO,3.3,,,43,,,GAUGE,47,CLEAR,GREEN,2-Very minor aesthetic problems
8189670,09/30/1998,12,NO,3.6,,,41,,,GAUGE,50,CLEAR,GREEN,2-Very minor aesthetic problems
8189670,05/28/1999,13.1,NO,4,,,40,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8189670,07/04/1999,10.25,NO,3.1,,,44,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8189670,07/16/1999,11.5,NO,3.5,,,42,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
