Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Little Saint Germain Lake,Vilas,1596300,NO,64,,643172,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,10/16/1996,,,,12.8,24,,53,54,,,,,
1,03/18/1997,,,,,55,,59,,,,,,
1,05/06/1997,,,,27.4,54,,59,60,,,,,
1,06/10/1997,,,,1.75,51,,59,39,,,,,
1,07/09/1997,,,,7.54,30,,54,50,,,,,
1,08/19/1997,,,,10.5,34,,55,53,,,,,
1,03/18/1999,,,,,,,,,,,,,
8188548,05/13/1999,,,,4.99,27,,54,47,,,,,
8188548,06/15/1999,,,,9.3,28,,54,52,,,,,
1,07/22/1999,,,,7.26,21,,52,50,,,,,
1,10/06/1999,,,,,,,,,,,,,
8188630,10/06/1999,,,,5,22,,52,47,,,,,
1,05/03/2000,,,,1,,,,35,,,,,
1,06/26/2000,12.1,,3.7,2,23,41,52,40,,,,,
1,07/19/2000,,,,8,22,,52,51,,,,,
1,07/27/2000,7.2,,2.2,8,27,49,54,51,,,,,
1,08/17/2000,4.9,,1.5,11,31,54,55,53,,,,,
1,08/18/2000,,,,11,30,,54,53,,,,,
1,10/30/2000,10.5,,3.2,4,66,43,61,45,,,,,
1,01/17/2001,,,,,30,,54,,,,,,
1,03/22/2001,,,,,39,,57,,,,,,
1,05/01/2001,,,,13,52,,59,54,,,,,
7000068,06/12/2001,10.2,NO,3.1,5,31,44,55,47,,,,,
1,06/26/2001,,,,5.5,,,,48,,,,,
7000068,07/04/2001,,,,7.6,42,,57,50,,,,,
1,07/26/2001,,,,3.6,,,,44,,,,,
7000068,08/16/2001,,,,9,52,,59,51,,,,,
1,08/28/2001,,,,10,30,,54,52,,,,,
7000068,11/01/2001,,,,2,27,,54,40,,,,,
1,11/06/2001,,,,5.1,29,,54,47,,,,,
1,06/18/2002,,,,,45,,58,,,,,,
7000068,06/20/2002,,,,1.26,36,,56,37,,,,,
7000068,07/24/2002,,,,46.4,48,,58,64,,,,,
