Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Fence Lake,Vilas,2323000,NO,64,,643173,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190148,07/03/1993,17.75,NO,5.4,,,36,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,07/15/1993,24.75,NO,7.5,,,31,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,07/21/1993,21.75,NO,6.6,,,33,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,07/27/1993,19.75,NO,6,,,34,,,NORMAL,,,SLIGHTLY BROWN,2-Very minor aesthetic problems
8190148,08/07/1993,17.75,NO,5.4,,,36,,,NORMAL,,,SLIGHTLY BROWN,2-Very minor aesthetic problems
8190148,08/19/1993,20.5,NO,6.2,,,34,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,08/25/1993,22.25,NO,6.8,,,32,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,08/31/1993,21,NO,6.4,,,33,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,09/10/1993,16.25,NO,4.9,,,37,,,LOW,,,SLIGHTLY RED,2-Very minor aesthetic problems
8190148,09/18/1993,15.25,NO,4.6,,,38,,,NORMAL,,,SLIGHTLY BROWN,2-Very minor aesthetic problems
8190148,09/23/1993,15.25,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,10/13/1993,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,10/24/1993,16.25,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,10/31/1993,12.25,NO,3.7,,,41,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190068,05/18/1994,20.5,NO,6.2,,,34,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8190148,05/18/1994,22.25,NO,6.8,,,32,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190068,05/24/1994,27,NO,8.2,,,30,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190068,05/30/1994,26,NO,7.9,,,30,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,06/02/1994,22.75,NO,6.9,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190068,06/06/1994,30.5,NO,9.3,,,28,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,06/10/1994,25.5,NO,7.8,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190068,06/15/1994,21,NO,6.4,,,33,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,06/16/1994,26.75,NO,8.1,,,30,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190068,06/22/1994,27,NO,8.2,,,30,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,06/25/1994,25.25,NO,7.7,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190068,07/02/1994,25,NO,7.6,,,31,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,07/06/1994,26.25,NO,8,,,30,,,,,,BROWNISH,2-Very minor aesthetic problems
8190068,07/10/1994,25.5,NO,7.8,,,30,,,,,CLEAR,BLUE/GREEN,1-Beautiful, could not be nicer
8190148,07/17/1994,21.75,NO,6.6,,,33,,,,,,BROWN,2-Very minor aesthetic problems
8190148,07/23/1994,19.25,NO,5.9,,,35,,,,,,BROWN,2-Very minor aesthetic problems
8190148,07/28/1994,19,NO,5.8,,,35,,,,,,GREEN,2-Very minor aesthetic problems
8190068,08/03/1994,17,NO,5.2,,,36,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8190148,08/05/1994,21.25,NO,6.5,,,33,,,,,,GREEN,2-Very minor aesthetic problems
8190068,08/10/1994,17,NO,5.2,,,36,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8190148,08/11/1994,18.75,NO,5.7,,,35,,,,,,GREEN,2-Very minor aesthetic problems
8190068,08/17/1994,17,NO,5.2,,,36,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8190148,08/19/1994,19.5,NO,5.9,,,34,,,,,,GREEN,2-Very minor aesthetic problems
8190068,08/22/1994,17,NO,5.2,,,36,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8190148,08/24/1994,17.75,NO,5.4,,,36,,,,,,GREEN,2-Very minor aesthetic problems
8190148,09/02/1994,16,NO,4.9,,,37,,,,,,GREEN,2-Very minor aesthetic problems
