Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Eagle Lake,Vilas,1600200,NO,64,,643178,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/07/1992,,,,20,40,,57,57,,,,,
1,07/29/1992,5.9,,1.8,10.6,26,52,53,53,,,,,
1,09/01/1992,4.6,,1.4,27.3,36,55,56,60,,,,,
8190009,06/09/1993,7.5,NO,2.3,,,48,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190009,06/16/1993,7,NO,2.1,,,49,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190009,06/23/1993,7.5,NO,2.3,,,48,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190009,06/30/1993,7.5,NO,2.3,,,48,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190009,07/14/1993,8,NO,2.4,,,47,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190009,07/21/1993,7.5,NO,2.3,,,48,,,LOW,,,BROWN,2-Very minor aesthetic problems
8189335,07/27/1996,5.25,NO,1.6,,,53,,,,,,BROWN,2-Very minor aesthetic problems
8189335,08/06/1996,5.5,NO,1.7,,,53,,,,,,BROWN,2-Very minor aesthetic problems
8189335,08/20/1996,5.25,NO,1.6,,,53,,,,,,BROWN,2-Very minor aesthetic problems
8189335,08/28/1996,5,NO,1.5,,,54,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189335,09/04/1996,5.5,NO,1.7,,,53,,,,,,BROWN,2-Very minor aesthetic problems
8189335,09/19/1996,5,NO,1.5,,,54,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189335,09/25/1996,5.25,NO,1.6,,,53,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189335,05/28/1997,5.75,NO,1.7,,,52,,,HIGHER FROM '96 BY SEVERAL INCHES.,,,BROWN,2-Very minor aesthetic problems
8189335,06/10/1997,11,NO,3.3,,,43,,,NORMAL,,,BROWN,1-Beautiful, could not be nicer
8189335,06/21/1997,7,NO,2.1,,,49,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189335,07/15/1997,7,NO,2.1,,,49,,,NORMAL,,,BROWN,1-Beautiful, could not be nicer
8189335,08/13/1997,6.25,NO,1.9,,,51,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189335,08/29/1997,6,NO,1.8,,,51,,,NORMAL,,,BROWN,4-Would not swim but boating OK (algae)
8189335,09/06/1997,5.25,NO,1.6,,,53,,,NORMAL,,,BROWN,4-Would not swim but boating OK (algae)
8189335,09/17/1997,5,NO,1.5,,,54,,,NO CHANGE,,,BROWN,4-Would not swim but boating OK (algae)
8189335,09/24/1997,4.25,NO,1.3,,,56,,,LOW,,,BROWN,5-Enjoyment substantially impaired (algae)
8189335,10/01/1997,4,NO,1.2,,,57,,,LOW,,,BROWN,5-Enjoyment substantially impaired (algae)
8189335,05/22/1998,11,NO,3.3,,,43,,,LOW,,,RED,1-Beautiful, could not be nicer
8189335,05/29/1998,11.25,NO,3.4,,,42,,,LOW,,,RED,1-Beautiful, could not be nicer
8189335,06/13/1998,8,NO,2.4,,,47,,,LOW,,,RED,2-Very minor aesthetic problems
8189335,06/27/1998,7.25,NO,2.2,,,49,,,LOW,,,RED,2-Very minor aesthetic problems
8189335,07/08/1998,7,NO,2.1,,,49,,,LOW,,,RED,2-Very minor aesthetic problems
8189335,07/17/1998,8.5,NO,2.6,,,46,,,LOW,,,RED,2-Very minor aesthetic problems
8189335,07/25/1998,6,NO,1.8,,,51,,,LOW,,,RED,2-Very minor aesthetic problems
8189335,08/05/1998,6,NO,1.8,,,51,,,LOW,,,RED,3-Enjoyment somewhat impaired (algae)
8189335,08/13/1998,5.5,NO,1.7,,,53,,,LOW,,CLEAR,RED,3-Enjoyment somewhat impaired (algae)
8189335,08/25/1998,5.5,NO,1.7,,,53,,,LOW,,CLEAR,RED,3-Enjoyment somewhat impaired (algae)
8189335,08/31/1998,5,NO,1.5,,,54,,,LOW,,CLEAR,RED,3-Enjoyment somewhat impaired (algae)
8189335,09/11/1998,4.5,NO,1.4,,,55,,,LOW,,MURKY,RED,4-Would not swim but boating OK (algae)
8189335,09/22/1998,4,NO,1.2,,,57,,,LOW,,MURKY,RED,4-Would not swim but boating OK (algae)
8189335,05/26/1999,10,NO,3,,,44,,,NO CHANGE,,CLEAR,RED,2-Very minor aesthetic problems
8189335,06/02/1999,8,NO,2.4,,,47,,,NO CHANGE,,MURKY,RED,3-Enjoyment somewhat impaired (algae)
8189335,06/17/1999,6.5,NO,2,,,50,,,NO CHANGE,,MURKY,RED,3-Enjoyment somewhat impaired (algae)
8189335,06/22/1999,8,NO,2.4,,,47,,,NO CHANGE,,MURKY,RED,2-Very minor aesthetic problems
8189335,07/01/1999,7,NO,2.1,,,49,,,NO CHANGE,,MURKY,RED,3-Enjoyment somewhat impaired (algae)
8189335,07/10/1999,5,NO,1.5,,,54,,,HIGH,,MURKY,RED,3-Enjoyment somewhat impaired (algae)
8189335,07/16/1999,6,NO,1.8,,,51,,,HIGH,,MURKY,RED,4-Would not swim but boating OK (algae)
8189335,07/22/1999,6.25,NO,1.9,,,51,,,HIGH,,MURKY,RED,3-Enjoyment somewhat impaired (algae)
8189335,08/02/1999,5,NO,1.5,,,54,,,HIGH,,MURKY,RED,3-Enjoyment somewhat impaired (algae)
8189335,08/11/1999,4.5,NO,1.4,,,55,,,HIGH,,MURKY,RED,3-Enjoyment somewhat impaired (algae)
8189335,08/21/1999,3.5,NO,1.1,,,59,,,HIGH,,MURKY,RED,5-Enjoyment substantially impaired (algae)
8189335,08/26/1999,3.25,NO,1,,,60,,,HIGH,,MURKY,RED,5-Enjoyment substantially impaired (algae)
8189335,09/01/1999,4.25,NO,1.3,,,56,,,HIGH,,MURKY,RED,4-Would not swim but boating OK (algae)
8189335,09/06/1999,4.5,NO,1.4,,,55,,,HIGH,,MURKY,RED,4-Would not swim but boating OK (algae)
8189335,09/17/1999,4.5,NO,1.4,,,55,,,HIGH,,MURKY,RED,4-Would not swim but boating OK (algae)
8189335,09/22/1999,4.25,NO,1.3,,,56,,,HIGH,,MURKY,RED,5-Enjoyment substantially impaired (algae)
8189335,05/25/2000,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189335,06/06/2000,9,NO,2.7,,,45,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189335,06/13/2000,9.5,NO,2.9,4,15,45,49,45,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189335,06/19/2000,7.5,NO,2.3,,,48,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189335,06/27/2000,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189335,07/04/2000,5.5,NO,1.7,,,53,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189335,07/11/2000,7.25,NO,2.2,5,27,49,54,47,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189335,07/18/2000,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189560,07/24/2000,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189335,08/01/2000,7.75,NO,2.4,,,48,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189335,08/07/2000,6.5,NO,2,11,25,50,53,53,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
1,08/11/2000,5,NO,1.5,24,39,54,57,59,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189335,08/16/2000,4,NO,1.2,,,57,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189335,08/24/2000,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189560,08/31/2000,5,NO,1.5,,,54,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189335,09/05/2000,4.5,NO,1.4,,,55,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189335,09/18/2000,3.5,NO,1.1,,,59,,,LOW,,MURKY,BROWN,5-Enjoyment substantially impaired (algae)
8189560,09/28/2000,3.25,NO,1,,,60,,,LOW,,MURKY,BROWN,4-Would not swim but boating OK (algae)
8189335,10/02/2000,4,NO,1.2,18,44,57,57,57,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
7000068,05/22/2001,10,NO,3,,15,44,49,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189335,06/07/2001,5.75,NO,1.7,,,52,,,NORMAL,,MURKY,BROWN,4-Would not swim but boating OK (algae)
8189335,06/12/2001,6.5,NO,2,10,25,50,53,52,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189335,06/23/2001,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189335,07/11/2001,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189335,07/16/2001,6.25,NO,1.9,6,26,51,53,48,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
