Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Long Interlaken Lake,Vilas,2322300,NO,64,,643238,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/13/1984,17.1,,5.2,3,,36,,43,,,,,
32181067,05/27/2011,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
32181067,06/29/2011,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
32181067,08/29/2011,19,NO,5.8,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
32181067,09/15/2011,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
32181067,04/29/2012,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
32181067,07/02/2012,15,NO,4.6,,,38,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
32181067,08/28/2012,16,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
23072101,06/12/2013,21.75,NO,6.6,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
23072101,06/14/2013,24.5,NO,7.4,,,31,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,06/27/2013,20.5,NO,6.2,,,34,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
23072101,07/01/2013,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,07/11/2013,18.5,NO,5.6,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,07/15/2013,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,07/29/2013,17,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,08/04/2013,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,08/11/2013,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,08/15/2013,18.5,NO,5.6,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,08/17/2013,19,NO,5.8,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,08/28/2013,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,06/03/2014,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
23072101,07/11/2014,18,NO,5.5,,,35,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,07/23/2014,19,NO,5.8,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,07/31/2014,19,NO,5.8,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,08/05/2014,19,NO,5.8,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
23072101,08/22/2014,, ,,,,,,,,,,,
23072101,06/24/2015,17,NO,5.2,,,36,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
23072101,07/15/2015,18.5,NO,5.6,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
23072101,08/06/2015,18,NO,5.5,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
120591208,06/08/2016,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
23072101,07/26/2016,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
23072101,08/15/2016,16.5,NO,5,,,37,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
120591208,08/24/2016,,,,,,,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
23072101,09/24/2016,,,,,,,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
23072101,06/02/2017,21,,6.4,,,33,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
23072101,07/10/2017,22,NO,6.7,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
23072101,07/20/2017,20,NO,6.1,,,34,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
23072101,08/23/2017,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/22/2014,1,FEET,70.1,DEGREES F,8.35,MG/L
08/22/2014,3,FEET,70.1,DEGREES F,8.35,MG/L
08/22/2014,6,FEET,70.1,DEGREES F,8.35,MG/L
08/22/2014,9,FEET,70,DEGREES F,8.37,MG/L
08/22/2014,12,FEET,69.9,DEGREES F,8.31,MG/L
08/22/2014,15,FEET,69.9,DEGREES F,8.31,MG/L
08/22/2014,20,FEET,69.7,DEGREES F,8.04,MG/L
08/22/2014,25,FEET,58.6,DEGREES F,10.51,MG/L
08/22/2014,30,FEET,51.8,DEGREES F,8.72,MG/L
08/22/2014,35,FEET,47.4,DEGREES F,6.59,MG/L
08/22/2014,40,FEET,45.3,DEGREES F,3.69,MG/L
08/22/2014,45,FEET,44.1,DEGREES F,1.77,MG/L
08/22/2014,50,FEET,43.3,DEGREES F,.51,MG/L
08/22/2014,55,FEET,43.1,DEGREES F,.09,MG/L
08/22/2014,60,FEET,42.9,DEGREES F,.05,MG/L
08/22/2014,65,FEET,42.8,DEGREES F,.03,MG/L
06/24/2015,0,FEET,70.2,DEGREES F,8.54,MG/L
06/24/2015,3,FEET,68.9,DEGREES F,8.74,MG/L
06/24/2015,6,FEET,68.4,DEGREES F,8.78,MG/L
06/24/2015,9,FEET,68,DEGREES F,8.81,MG/L
06/24/2015,12,FEET,67.8,DEGREES F,8.81,MG/L
06/24/2015,15,FEET,67.3,DEGREES F,8.84,MG/L
06/24/2015,20,FEET,65.5,DEGREES F,9,MG/L
06/24/2015,25,FEET,60.1,DEGREES F,9.59,MG/L
06/24/2015,30,FEET,54.4,DEGREES F,9.76,MG/L
06/24/2015,35,FEET,50.1,DEGREES F,9.31,MG/L
06/24/2015,40,FEET,46.5,DEGREES F,6.2,MG/L
06/24/2015,45,FEET,45.4,DEGREES F,4.44,MG/L
06/24/2015,50,FEET,44.9,DEGREES F,3.5,MG/L
06/24/2015,55,FEET,44.6,DEGREES F,3.09,MG/L
06/24/2015,60,FEET,44.6,DEGREES F,2.83,MG/L
06/24/2015,65,FEET,44.4,DEGREES F,1.23,MG/L
08/06/2015,0,FEET,72.5,DEGREES F,8.09,MG/L
08/06/2015,3,FEET,72.5,DEGREES F,8.07,MG/L
08/06/2015,6,FEET,72.5,DEGREES F,8.06,MG/L
08/06/2015,9,FEET,72.4,DEGREES F,8.05,MG/L
08/06/2015,12,FEET,72.4,DEGREES F,8.02,MG/L
08/06/2015,15,FEET,72.4,DEGREES F,7.99,MG/L
08/06/2015,20,FEET,71.7,DEGREES F,7.66,MG/L
08/06/2015,25,FEET,64.9,DEGREES F,9.16,MG/L
08/06/2015,30,FEET,56.9,DEGREES F,8.66,MG/L
08/06/2015,35,FEET,52.2,DEGREES F,7.23,MG/L
08/06/2015,40,FEET,48.5,DEGREES F,4.24,MG/L
08/06/2015,45,FEET,45.8,DEGREES F,.91,MG/L
08/06/2015,50,FEET,45.2,DEGREES F,.28,MG/L
08/06/2015,55,FEET,44.9,DEGREES F,.14,MG/L
08/06/2015,60,FEET,44.7,DEGREES F,.1,MG/L
06/08/2016,0,FEET,61.9,DEGREES F,9.02,MG/L
06/08/2016,2,FEET,62,DEGREES F,8.96,MG/L
06/08/2016,3,FEET,62,DEGREES F,8.95,MG/L
06/08/2016,4,FEET,62,DEGREES F,8.94,MG/L
06/08/2016,5,FEET,62,DEGREES F,8.93,MG/L
06/08/2016,6,FEET,62,DEGREES F,8.92,MG/L
06/08/2016,7,FEET,61.9,DEGREES F,8.91,MG/L
06/08/2016,8,FEET,61.9,DEGREES F,8.9,MG/L
06/08/2016,9,FEET,61.8,DEGREES F,8.88,MG/L
06/08/2016,10,FEET,61.8,DEGREES F,8.87,MG/L
06/08/2016,11,FEET,61.7,DEGREES F,8.86,MG/L
06/08/2016,12,FEET,61.7,DEGREES F,8.83,MG/L
06/08/2016,15,FEET,61.6,DEGREES F,8.83,MG/L
06/08/2016,20,FEET,58.3,DEGREES F,10.41,MG/L
06/08/2016,25,FEET,58.3,DEGREES F,10.44,MG/L
06/08/2016,30,FEET,50.7,DEGREES F,10.03,MG/L
06/08/2016,35,FEET,48.8,DEGREES F,9.33,MG/L
06/08/2016,40,FEET,46.7,DEGREES F,8.04,MG/L
06/08/2016,45,FEET,45.9,DEGREES F,7.19,MG/L
06/08/2016,50,FEET,45.3,DEGREES F,5.84,MG/L
06/08/2016,55,FEET,44.9,DEGREES F,5.2,MG/L
06/08/2016,60,FEET,44.8,DEGREES F,.17,MG/L
06/02/2017,1,FEET,66.1,DEGREES F,9.4,MG/L
06/02/2017,2,FEET,63.2,DEGREES F,9.61,MG/L
06/02/2017,3,FEET,61.9,DEGREES F,9.76,MG/L
06/02/2017,4,FEET,61.5,DEGREES F,9.85,MG/L
06/02/2017,5,FEET,60.9,DEGREES F,9.89,MG/L
