Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lower Sugarbush Lake,Vilas,2317600,NO,64,,643240,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/18/1984,13.1,,4,5,,40,,47,,,,,
128982168,05/26/2016,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer
128982168,06/18/2016,,,,,,,,,NORMAL,,CLEAR,,1-Beautiful, could not be nicer
128982168,07/01/2016,11,NO,3.3,,,43,,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer
128982168,07/03/2016,,,,,,,,,NORMAL,,CLEAR,,1-Beautiful, could not be nicer
128982168,07/15/2016,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,,1-Beautiful, could not be nicer
128982168,07/29/2016,13,NO,4,,,40,,,NORMAL,,CLEAR,,1-Beautiful, could not be nicer
128982168,08/07/2016,13,NO,4,,,40,,,NORMAL,,CLEAR,,1-Beautiful, could not be nicer
1,08/28/2016,,,,2.08,11.6,,47,40,,,,,
1,06/25/2017,,,,5.02,20,,51,47,,,,,
128982168,06/25/2017,8,NO,2.4,,,47,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
128982168,07/08/2017,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,YELLOW,
128982168,07/23/2017,,,,3.17,12.2,,48,44,,,,,
128982168,08/13/2017,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer
128982168,09/04/2017,11.5,NO,3.5,5.02,9.02,42,45,47,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/18/2016,2,FEET,72,DEGREES F,,
06/18/2016,4,FEET,70,DEGREES F,,
06/18/2016,6,FEET,70,DEGREES F,,
06/18/2016,8,FEET,70,DEGREES F,,
06/18/2016,10,FEET,69,DEGREES F,,
06/18/2016,12,FEET,66,DEGREES F,,
06/18/2016,14,FEET,62.2,DEGREES F,,
06/18/2016,16,FEET,57.5,DEGREES F,,
06/18/2016,18,FEET,51,DEGREES F,,
06/18/2016,20,FEET,51,DEGREES F,,
06/18/2016,22,FEET,48,DEGREES F,,
06/18/2016,24,FEET,47,DEGREES F,,
06/18/2016,26,FEET,47,DEGREES F,,
06/18/2016,28,FEET,42.5,DEGREES F,,
06/18/2016,30,FEET,42.5,DEGREES F,,
06/18/2016,32,FEET,42.5,DEGREES F,,
07/03/2016,2,FEET,74,DEGREES F,,
07/03/2016,4,FEET,74,DEGREES F,,
07/03/2016,6,FEET,74,DEGREES F,,
07/03/2016,8,FEET,72,DEGREES F,,
07/03/2016,10,FEET,71.6,DEGREES F,,
07/03/2016,12,FEET,70.6,DEGREES F,,
07/03/2016,14,FEET,67.8,DEGREES F,,
07/03/2016,16,FEET,63,DEGREES F,,
07/03/2016,18,FEET,55.8,DEGREES F,,
07/03/2016,20,FEET,51,DEGREES F,,
07/03/2016,22,FEET,48,DEGREES F,,
07/03/2016,24,FEET,46.4,DEGREES F,,
07/03/2016,26,FEET,45.5,DEGREES F,,
07/03/2016,28,FEET,44,DEGREES F,,
07/03/2016,30,FEET,43,DEGREES F,,
07/03/2016,32,FEET,42.5,DEGREES F,,
08/07/2016,1,FEET,77,DEGREES F,8.2,MG/L
08/07/2016,2,FEET,77,DEGREES F,8.2,MG/L
08/07/2016,3,FEET,77,DEGREES F,8.2,MG/L
08/07/2016,4,FEET,77,DEGREES F,8.2,MG/L
08/07/2016,5,FEET,77,DEGREES F,8.2,MG/L
08/07/2016,6,FEET,77,DEGREES F,8.2,MG/L
08/07/2016,7,FEET,76,DEGREES F,8.2,MG/L
08/07/2016,8,FEET,76,DEGREES F,8.2,MG/L
08/07/2016,9,FEET,76,DEGREES F,8.2,MG/L
08/07/2016,10,FEET,75,DEGREES F,8.2,MG/L
08/07/2016,11,FEET,74,DEGREES F,7.6,MG/L
08/07/2016,12,FEET,74,DEGREES F,7.2,MG/L
08/07/2016,13,FEET,74,DEGREES F,7.2,MG/L
08/07/2016,14,FEET,73,DEGREES F,6.9,MG/L
