Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Morton Lake,Vilas,2960300,NO,64,,643245,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/11/1984,6.6,,2,8,,50,,51,,,,,
1,10/02/1985,5.9,,1.8,,26,52,53,,,,,,
8190213,07/11/1990,7,NO,2.1,,,49,,,3" BELOW NORMAL,,,BROWN,2-Very minor aesthetic problems
8190213,07/18/1990,7.5,NO,2.3,,,48,,,3" BELOW NORMAL,,,GREEN,2-Very minor aesthetic problems
8190213,07/25/1990,8,NO,2.4,,,47,,,2" BELOW NORMAL,,,GREEN,2-Very minor aesthetic problems
8190213,08/01/1990,8,NO,2.4,,,47,,,2" LOW,,,GREEN,2-Very minor aesthetic problems
8190213,08/11/1990,9,NO,2.7,,,45,,,3" LOW,,,GREEN,2-Very minor aesthetic problems
8190213,08/20/1990,8,NO,2.4,,,47,,,2" LOW,,,GREEN,2-Very minor aesthetic problems
8190213,08/30/1990,10.5,NO,3.2,,,43,,,2" LOW,,,GREEN,2-Very minor aesthetic problems
8190213,09/10/1990,8.5,NO,2.6,,,46,,,1" HIGH?,,,GREEN,2-Very minor aesthetic problems
8190213,09/19/1990,8,NO,2.4,,,47,,,3" HIGH,,,GREEN,2-Very minor aesthetic problems
8190213,09/29/1990,7.5,NO,2.3,,,48,,,3.5" HIGH,,,GREEN,2-Very minor aesthetic problems
8190213,10/12/1990,8.5,NO,2.6,,,46,,,3" ABOVE NORMAL,,,GREEN,2-Very minor aesthetic problems
8190213,10/23/1990,8.5,NO,2.6,,,46,,,3" HIGH,,,GREEN,2-Very minor aesthetic problems
8190213,10/31/1990,8,NO,2.4,,,47,,,2.5" ABOVE NORM.,,,GREEN,2-Very minor aesthetic problems
8190213,11/19/1990,11,NO,3.3,,,43,,,4" HIGH,,,GREEN,2-Very minor aesthetic problems
8190213,04/19/1991,5.5,NO,1.7,,,53,,,HIGH,,,BROWN,
