Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Mamie Lake,Vilas,2964100,NO,64,,643247,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/23/1984,3,,0.9,49,,62,,64,,,,,
1,10/09/1985,6.9,,2.1,,35,49,56,,,,,,
8189784,05/20/1996,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189784,06/05/1996,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189784,06/20/1996,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189784,07/03/1996,7.25,NO,2.2,,,49,,,NORMAL 1683.5',,CLEAR,GREEN,2-Very minor aesthetic problems
8189784,07/16/1996,5.5,NO,1.7,,,53,,,1683.5',1683.5,CLEAR,GREEN,2-Very minor aesthetic problems
8189784,08/01/1996,7.75,NO,2.4,,,48,,,1685' UP 2",,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189784,08/17/1996,4.5,NO,1.4,,,55,,,1683.5',1683.5,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190150,08/26/1996,6.75,NO,2.1,,,50,,,,,,GREEN,4-Would not swim but boating OK (algae)
8189784,08/29/1996,4.75,NO,1.4,,,55,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189784,09/13/1996,4,NO,1.2,,,57,,,NORMAL 1682.5,,CLEAR,BLUE,2-Very minor aesthetic problems
8189784,09/30/1996,6.5,NO,2,,,50,,,1683.5 NORMAL,1683.5,CLEAR,BLUE,2-Very minor aesthetic problems
8189784,10/12/1996,9,NO,2.7,,,45,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189784,10/25/1996,8.5,NO,2.6,,,46,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189784,05/04/1997,4,NO,1.2,,,57,,,1683.5 FASL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189784,05/30/1997,10.5,NO,3.2,,,43,,,1683.5 FASL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189784,06/10/1997,9.5,NO,2.9,,,45,,,1683.5 FASL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189784,06/21/1997,10,NO,3,,,44,,,1683.5 FASL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189784,07/07/1997,6,NO,1.8,,,51,,,1683.5 FASL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189784,07/22/1997,6,NO,1.8,,,51,,,1683.5 FASL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189784,08/07/1997,3.5,NO,1.1,,,59,,,1683.5 FASL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190127,08/18/1997,4.6,NO,1.4,,,55,,,NO CHANGE,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190127,09/19/1997,6.6,NO,2,,,50,,,NO CHANGE,,MURKY,BLUE,2-Very minor aesthetic problems
8190127,10/01/1997,7.5,NO,2.3,,,48,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190127,10/23/1997,10,NO,3,,,44,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190127,11/07/1997,10.5,NO,3.2,,,43,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189784,04/22/1998,8,NO,2.4,,,47,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189784,05/06/1998,12.5,NO,3.8,,,41,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189784,05/17/1998,10,NO,3,,,44,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190127,06/08/1998,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190127,06/22/1998,7.5,NO,2.3,,,48,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190127,07/08/1998,5,NO,1.5,,,54,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190127,07/31/1998,4.75,NO,1.4,,,55,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8190127,08/13/1998,3,NO,0.9,,,61,,,NO CHANGE,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8190127,08/26/1998,2.5,NO,0.8,,,64,,,NO CHANGE,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8190127,09/09/1998,3.25,NO,1,,,60,,,NO CHANGE,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
