Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Shannon Lake,Vilas,1016800,NO,64,,643384,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
145584054,06/26/2017,,,,1.62,19.1,,51,38,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/26/2017,0,METERS,18.1,DEGREES C,7.45,MG/L
06/26/2017,1,METERS,18.2,DEGREES C,7.4,MG/L
06/26/2017,2,METERS,18.1,DEGREES C,7.4,MG/L
06/26/2017,3,METERS,13.8,DEGREES C,3.2,MG/L
06/26/2017,4,METERS,10.3,DEGREES C,2.2,MG/L
06/26/2017,5,METERS,8.6,DEGREES C,1.9,MG/L
06/26/2017,6,METERS,8.2,DEGREES C,1.8,MG/L
06/26/2017,7,METERS,7.8,DEGREES C,1.3,MG/L
06/26/2017,8,METERS,7.5,DEGREES C,1,MG/L
06/26/2017,9,METERS,7.4,DEGREES C,.2,MG/L
06/26/2017,9.1,METERS,7.4,DEGREES C,.1,MG/L



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
06/26/2017,SARAH R FANNING- SHELBY T KAIL,EPA National Lakes Assessment 2017
