Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Van Vliet Lake,Vilas,2956800,NO,64,,643411,NE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190667,06/17/1993,11.5,NO,3.5,,,42,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190667,06/24/1993,9,NO,2.7,,,45,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190667,07/03/1993,10.5,NO,3.2,,,43,,,HIGH AND RISING,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190667,05/02/1994,8.5,NO,2.6,,,46,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190667,05/18/1994,8,NO,2.4,,,47,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190667,05/26/1994,6,NO,1.8,3.48,17,51,50,44,LOW-MEDIUM,,,GREEN,2-Very minor aesthetic problems
8190667,06/27/1994,10,NO,3,8.46,20,44,51,51,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190667,07/24/1994,5,NO,1.5,11.6,,54,,53,NORMAL,,,GREEN,4-Would not swim but boating OK (algae)
8190667,08/28/1994,4.5,NO,1.4,11.1,27,55,54,53,HIGHEST ALL YEAR,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190667,11/14/1994,5.5,NO,1.7,6.55,23,53,52,49,DROPPING,,,GREEN,2-Very minor aesthetic problems
8189977,06/02/2002,7.25,NO,2.2,,,49,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189977,06/15/2002,9.5,NO,2.9,,,45,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189977,07/03/2002,9,NO,2.7,,,45,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,07/22/2002,5,NO,1.5,,,54,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189977,08/02/2002,5.25,NO,1.6,,,53,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189977,08/20/2002,4.75,NO,1.4,,,55,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,09/15/2002,6.5,NO,2,,,50,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189977,05/25/2003,11,NO,3.3,,20,43,51,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,06/11/2003,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,06/15/2003,,,,2.27,18,,51,41,,,,,
8189977,07/12/2003,6,NO,1.8,,,51,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,07/17/2003,,,,8.01,19,,51,51,,,,,
8189977,08/15/2003,,,,4.93,20,,51,47,,,,,
8189977,09/30/2003,4.75,NO,1.4,,,55,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8189977,10/15/2003,,,,4.51,22,,52,46,,,,,
8189977,05/28/2004,14,NO,4.3,,17,39,50,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189977,06/15/2004,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,06/28/2004,,,,3.2,20,,51,44,,,,,
8189977,06/29/2004,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,07/09/2004,,,,4.07,17,,50,45,,,,,
8189977,07/15/2004,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,08/29/2004,8.5,NO,2.6,,,46,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189977,08/31/2004,,,,5.83,17,,50,48,,,,,
8189977,09/09/2004,9.25,NO,2.8,,,45,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189977,09/28/2004,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,05/24/2005,10,NO,3,,,44,,,LOW,864.9,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,05/31/2005,12.5,NO,3.8,,18,41,51,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,06/16/2005,11,NO,3.3,,,43,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,06/30/2005,,,,5.98,15,,49,48,,,,,
8189977,07/07/2005,7,NO,2.1,,,49,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189977,07/19/2005,9.5,NO,2.9,3.68,16,45,50,45,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,08/14/2005,6.5,NO,2,10.2,24,50,53,52,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189977,09/17/2005,6.5,NO,2,,,50,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189977,10/16/2005,10,NO,3,5.34,17,44,50,47,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,05/31/2006,13.5,NO,4.1,,8,40,44,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189977,06/30/2006,9.5,NO,2.9,2.33,19,45,51,41,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8189977,07/13/2006,10.5,NO,3.2,2.53,27,43,54,42,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
