Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Clear Lake,Vilas,2329000,NO,64,,643415,NE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190316,06/21/1994,15,NO,4.6,,,38,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,07/05/1994,13,NO,4,,,40,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,07/21/1994,7.75,NO,2.4,,,48,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,08/02/1994,6.25,NO,1.9,,,51,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,08/15/1994,7.5,NO,2.3,,,48,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,09/02/1994,6,NO,1.8,,,51,,,,,,GREEN,2-Very minor aesthetic problems
8190316,09/16/1994,7,NO,2.1,,,49,,,,,,GREEN,2-Very minor aesthetic problems
8190316,10/02/1994,4.75,NO,1.4,,,55,,,,,,GREEN BROWN,2-Very minor aesthetic problems
8190316,05/25/1995,9.5,NO,2.9,,,45,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,06/01/1995,8.75,NO,2.7,,,46,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,06/17/1995,11.25,NO,3.4,,,42,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,06/23/1995,13.75,NO,4.2,,,39,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,07/04/1995,10.5,NO,3.2,,,43,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,07/23/1995,9.75,NO,3,,,44,,,,,,GREEN,
8190316,07/29/1995,10.75,NO,3.3,,,43,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,08/10/1995,11.75,NO,3.6,,,42,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,08/18/1995,9.75,NO,3,,,44,,,,,,GREEN,2-Very minor aesthetic problems
8190316,09/01/1995,4.5,NO,1.4,,,55,,,,,,GREEN,2-Very minor aesthetic problems
8190316,09/13/1995,3.5,NO,1.1,,,59,,,,,,GREEN,2-Very minor aesthetic problems
8190316,09/28/1995,6.25,NO,1.9,,,51,,,,,,GREEN,2-Very minor aesthetic problems
8190316,07/01/1996,10.25,NO,3.1,,,44,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,07/10/1996,7.25,NO,2.2,,,49,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,08/04/1996,7.75,NO,2.4,,,48,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,08/15/1996,8.75,NO,2.7,,,46,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,08/23/1996,9.75,NO,3,,,44,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,09/29/1996,6.5,NO,2,,,50,,,,,,GREEN,1-Beautiful, could not be nicer
8190316,06/04/1997,12,NO,3.6,,,41,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190316,06/12/1997,13.75,NO,4.2,,,39,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
