Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Placid Twin Lakes,Vilas,2323900,NO,64,,643419,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190655,06/28/1993,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,,1-Beautiful, could not be nicer
8190655,07/10/1993,21,NO,6.4,,,33,,,HIGH,,CLEAR,,1-Beautiful, could not be nicer
8190655,07/18/1993,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190655,09/05/1993,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190655,06/23/1994,16.25,NO,4.9,,,37,,,,,,GREEN,1-Beautiful, could not be nicer
8190655,08/09/1994,16.25,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190655,06/18/1996,15.5,NO,4.7,,,38,,,GAUGE,15.5,CLEAR,BLUE,1-Beautiful, could not be nicer
8190655,07/25/1996,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190655,08/02/1996,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188846,05/07/2002,16.5,YES,5,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188846,06/06/2002,18,YES,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188846,07/09/2002,17.25,YES,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188846,08/21/2002,18,YES,5.5,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188846,07/02/2004,9.7,YES,2.9,,,44,,,NORMAL,,CLEAR,,2-Very minor aesthetic problems
37195537,09/05/2010,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
37086096,09/10/2010,17,NO,5.2,,,36,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
37195537,10/03/2010,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,5-Enjoyment substantially impaired (algae)
37195537,10/22/2010,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
37086096,07/26/2011,17,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
37195537,08/07/2011,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
37195537,05/28/2012,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
37195537,06/07/2012,16.25,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
37195537,05/26/2014,19,NO,5.8,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
37195537,05/30/2014,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
102107494,09/22/2014,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
102107494,05/15/2015,26,NO,7.9,,,30,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
102107494,06/09/2015,26,NO,7.9,,,30,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
102107494,06/27/2015,18,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
102107494,07/21/2015,19,NO,5.8,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
102107494,08/13/2015,16.5,NO,5,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
102107494,09/01/2015,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
102107494,09/25/2015,16.5,NO,5,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
102107494,05/21/2016,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
102107494,08/25/2016,12.5,NO,3.8,,,41,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
102107494,05/25/2017,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
102107494,07/17/2017,20,NO,6.1,,,34,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
145584054,07/25/2017,,,,1.56,5.49,,41,38,,,,,
145980666,07/25/2017,,,,,,,,,,,,,
102107494,07/28/2017,22,NO,6.7,,,33,,,NORMAL,,,BLUE,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/25/2017,0,METERS,23.4,DEGREES C,8.35,MG/L
07/25/2017,1,METERS,23.6,DEGREES C,8.3,MG/L
07/25/2017,2,METERS,53.6,DEGREES C,8.3,MG/L
07/25/2017,3,METERS,53.6,DEGREES C,8.3,MG/L
07/25/2017,4,METERS,23.6,DEGREES C,8.3,MG/L
07/25/2017,5,METERS,22.3,DEGREES C,10.2,MG/L
07/25/2017,6,METERS,20.6,DEGREES C,11.1,MG/L
07/25/2017,7,METERS,18.5,DEGREES C,11.2,MG/L
07/25/2017,8,METERS,16.1,DEGREES C,1.2,MG/L
07/25/2017,8.6,METERS,15.7,DEGREES C,4,MG/L



Start Date,Fieldwork Comment
07/10/1993,New testing spot- will continue here    
09/05/1993,Sorry there haven't been more readings.  Weather has been windy or rainy most of the days.    
06/23/1994,Sunny day.    
09/10/2010,sunny- 65 degrees- slight wind
09/22/2014,No boats out- sunny- calm- water temp is 62
05/15/2015,Cloudy- still- no boats- water temp 57
06/09/2015,Calm- no boats- sky is smoky from Canadian wildfire
06/27/2015,Mostly sunny- no other boat traffic
07/21/2015,Windy- no other boat traffic
09/25/2015,Beautiful calm day.  Only 1 other boat on the lake.
05/21/2016,Mostly sunny day.  Saw a small Muskie near channel.  No other boat traffic. 2 SUPs. 4 male mallards.
08/25/2016,Quiet day -no wildlife observed.
07/17/2017,Lots of green algae
07/28/2017,Sunny- light breeze




Start Date,Group Name,Project Name
06/28/1993,Mary Sweeney,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
07/10/1993,Mary Sweeney,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
07/18/1993,Mary Sweeney,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
09/05/1993,Mary Sweeney,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
06/23/1994,Mary Sweeney,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
08/09/1994,Mary Sweeney,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
06/18/1996,Mary Sweeney,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
07/25/1996,Mary Sweeney,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
08/02/1996,Mary Sweeney,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
05/07/2002,Terry Lingofelt,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
06/06/2002,Terry Lingofelt,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
07/09/2002,Terry Lingofelt,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
08/21/2002,Terry Lingofelt,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
07/02/2004,Terry Lingofelt,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
09/05/2010,Chase Hayman,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
09/10/2010,Rosemarie Herman,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
10/03/2010,Chase Hayman,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
10/22/2010,Chase Hayman,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
07/26/2011,Rosemarie Herman,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
08/07/2011,Chase Hayman,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
05/28/2012,Chase Hayman,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
06/07/2012,Chase Hayman,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
05/26/2014,Chase Hayman,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
05/30/2014,Chase Hayman,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
09/22/2014,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
05/15/2015,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
06/09/2015,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
06/27/2015,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
07/21/2015,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
08/13/2015,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
09/01/2015,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
09/25/2015,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
05/21/2016,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
08/25/2016,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
05/25/2017,Karen Tupling,Citizen Lake Monitoring - Water Quality - North Placid Twin Lake; Deep Hole
05/25/2017,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
07/17/2017,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
07/25/2017,SARAH R FANNING- CATHERINE L HEIN,EPA National Lakes Assessment 2017
07/25/2017,SARAH R FANNING- SHELBY T KAIL,EPA National Lakes Assessment 2017
07/28/2017,Karen Tupling,Citizen Lake Monitoring - Water Quality - South Placid Twin Lake; Deep Hole
