Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Twin Lakes,Vilas,1623800,NO,64,,643430,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190760,06/21/1993,18.25,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190760,08/10/1993,14,NO,4.3,,,39,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190760,08/24/1993,10.5,NO,3.2,,,43,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190760,09/18/1993,11.5,NO,3.5,,,42,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190070,05/30/1996,10,NO,3,7.76,12,44,47,50,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189629,06/27/1996,18.5,NO,5.6,2.37,7,35,43,41,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189630,07/14/1996,17.25,NO,5.2,4.58,10,36,46,46,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/18/1996,16.25,NO,4.9,2.76,9,37,45,42,1682.4FT,1682.4,CLEAR,BLUE,2-Very minor aesthetic problems
8189630,10/14/1996,12.5,NO,3.8,8.64,18,41,51,51,1682.2 FT,,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,05/04/1997,10.5,NO,3.2,,22,43,52,,GAUGE,1681.35,CLEAR,BLUE,2-Very minor aesthetic problems
8189630,06/26/1997,21.5,NO,6.5,1.44,34,33,55,38,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190070,07/27/1997,23.5,NO,7.1,,,32,,,GAUGE,1682.05,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/31/1997,,,,1.15,23,,52,36,,,,,
8189630,08/29/1997,16.5,NO,5,2.27,25,37,53,41,,,,,
8190070,10/17/1997,12,NO,3.6,11,29,41,54,53,GAUGE,1682.35,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,04/18/1998,10,NO,3,,31,44,55,,GAUGE,1681.5,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,06/02/1998,15.75,NO,4.8,2.73,21,37,52,42,GAUGE,1681.55,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,07/11/1998,17.75,NO,5.4,3,12,36,47,43,GAUGE,1681.9,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/14/1998,10,NO,3,5.7,17,44,50,48,GAUGE,1681.6,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,10/26/1998,10.25,NO,3.1,22.1,25,44,53,58,GAUGE,1681.5,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,05/09/1999,10.5,NO,3.2,,14,43,49,,GAUGE,1681.95,CLEAR,BLUE,2-Very minor aesthetic problems
8189475,06/20/1999,17.5,NO,5.3,0.86,11,36,47,34,GAUGE,1682.35,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,07/11/1999,15,NO,4.6,2.69,10,38,46,42,GAUGE,1682.45,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/20/1999,11.75,NO,3.6,7,18,42,51,50,GAUGE,1682.4,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,10/15/1999,11.5,NO,3.5,5,18,42,51,47,GAUGE,1682.15,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,04/26/2000,15.25,NO,4.6,,21,38,52,,GAUGE,1681.4,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,06/08/2000,14,NO,4.3,1.9,12,39,47,40,GAUGE,1681.5,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,06/27/2000,16.5,NO,5,,,37,,,GAUGE,1681.88,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,07/04/2000,13.25,NO,4,,,40,,,GAUGE,1682.06,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,07/13/2000,12.75,NO,3.9,5,18,40,51,47,GAUGE,1682.28,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/05/2000,12.75,NO,3.9,,,40,,,GAUGE,1682.16,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/14/2000,14,NO,4.3,,,39,,,GAUGE,1682.26,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/16/2000,13.25,NO,4,3,18,40,51,43,GAUGE,1682.29,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/21/2000,10.5,NO,3.2,,,43,,,GAUGE,1682.29,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,09/15/2000,10.25,NO,3.1,,,44,,,GAUGE,1682.2,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,10/01/2000,9,NO,2.7,,,45,,,GAUGE,1682.11,CLEAR,GREEN,2-Very minor aesthetic problems
8190070,10/08/2000,10.25,NO,3.1,,,44,,,GAUGE,1682.08,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,10/11/2000,11,NO,3.3,6,21,43,52,48,GAUGE,1682.03,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,10/17/2000,12.5,NO,3.8,,,41,,,GAUGE,1682.05,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,10/26/2000,15,NO,4.6,,,38,,,GAUGE,1681.94,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,05/15/2001,13,NO,4,,15,40,49,,GAUGE,1682.05,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,05/29/2001,15.5,NO,4.7,,,38,,,GAUGE,1682.2,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,06/16/2001,11.25,NO,3.4,2.6,24,42,53,42,GAUGE,1682.32,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,06/30/2001,9.5,NO,2.9,,,45,,,GAUGE,1682.38,CLEAR,GREEN,2-Very minor aesthetic problems
8190070,07/08/2001,8.75,NO,2.7,,,46,,,GAUGE,1682.3,CLEAR,GREEN,2-Very minor aesthetic problems
8190070,07/16/2001,9.75,NO,3,8,16,44,50,51,GAUGE,1682.27,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/02/2001,7.75,NO,2.4,,,48,,,GAUGE,1682.48,CLEAR,GREEN,2-Very minor aesthetic problems
8190070,08/08/2001,8.5,NO,2.6,5,19,46,51,47,GAUGE,1682.41,CLEAR,GREEN,2-Very minor aesthetic problems
8190070,08/14/2001,8,NO,2.4,,,47,,,GAUGE,1682.25,CLEAR,GREEN,2-Very minor aesthetic problems
8190070,09/02/2001,10,NO,3,,,44,,,GAUGE,1682.11,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,09/25/2001,10.5,NO,3.2,,,43,,,GAUGE,1682.25,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,10/11/2001,12.5,NO,3.8,9,19,41,51,51,GAUGE,1682.29,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,05/11/2002,11,NO,3.3,,18,43,51,,GAUGE,1682.53,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,05/21/2002,9.25,NO,2.8,,,45,,,GAUGE,1682.41,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,06/08/2002,15.75,NO,4.8,1,12,37,47,35,GAUGE,1682.47,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,06/24/2002,17.5,NO,5.3,,,36,,,GAUGE,1682.46,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,07/11/2002,17.5,NO,5.3,2.11,13,36,48,40,GAUGE,1682.42,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,07/26/2002,16.5,NO,5,,,37,,,GAUGE,1682.5,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/11/2002,17,NO,5.2,1.83,14,36,49,39,GAUGE,1682.34,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,09/12/2002,15.75,NO,4.8,,,37,,,GAUGE,1682.45,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,09/28/2002,11.25,NO,3.4,,,42,,,GAUGE,1682.41,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,10/10/2002,12.75,NO,3.9,4.41,23,40,52,46,GAUGE,1682.53,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,10/14/2002,13.5,NO,4.1,,,40,,,GAUGE,1682.4,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,05/16/2003,13.5,NO,4.1,,14,40,49,,GAUGE,1682.47,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,06/03/2003,20.75,NO,6.3,1.27,9,33,45,37,GAUGE,1682.39,CLEAR,BLUE,1-Beautiful, could not be nicer
8190070,06/16/2003,23.75,NO,7.2,,,31,,,GAUGE,1682.43,CLEAR,BLUE,1-Beautiful, could not be nicer
8190070,07/01/2003,15.5,NO,4.7,2.56,11,38,47,42,GAUGE,1682.29,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,07/06/2003,16.25,NO,4.9,,,37,,,GAUGE,1682.29,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/07/2003,14.75,NO,4.5,1.84,10,38,46,39,GAUGE,1682.28,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/23/2003,14.75,NO,4.5,,,38,,,GAUGE,1682.17,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,09/08/2003,14,NO,4.3,,,39,,,GAUGE,1682.06,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,09/25/2003,9.5,NO,2.9,,,45,,,GAUGE,1682.06,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,10/07/2003,11.25,NO,3.4,8.62,21,42,52,51,GAUGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,05/10/2004,10.25,NO,3.1,,20,44,51,,,1681.73,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,05/26/2004,9.75,NO,3,,,44,,,,1681.95,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,06/10/2004,14,NO,4.3,,13,39,48,,,1682.05,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,07/09/2004,9,NO,2.7,7.59,15,45,49,50,,1682.09,CLEAR,GREEN,2-Very minor aesthetic problems
8190070,07/24/2004,14.25,NO,4.3,,,39,,,,1682.06,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/09/2004,14.5,NO,4.4,,,39,,,,1681.95,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/21/2004,9.25,NO,2.8,2.95,20,45,51,43,,1681.97,CLEAR,BROWN,2-Very minor aesthetic problems
8190070,09/12/2004,12.25,NO,3.7,,,41,,,,1681.94,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,09/25/2004,10,NO,3,,,44,,,,1682.03,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,10/10/2004,13.5,NO,4.1,3.52,23,40,52,44,,1681.9,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,05/04/2005,10.25,NO,3.1,,20,44,51,,GAUGE,1681.08,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,05/24/2005,16.5,NO,5,,,37,,,GAUGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,06/07/2005,21.75,NO,6.6,1.35,14,33,49,37,GAUGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190070,07/06/2005,16.75,NO,5.1,5.09,14,37,49,47,GAUGE,1.72,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,07/17/2005,17.5,NO,5.3,,,36,,,GAUGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,07/29/2005,15,NO,4.6,,,38,,,GAUGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190070,08/07/2005,14.5,NO,4.4,2.67,16,39,50,42,GAUGE,,CLEAR,BLUE,2-Very minor aesthetic problems
