Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Bills Lake,Vilas,1835500,NO,64,,643478,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189706,07/24/1997,16.42,NO,5,,,37,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189706,07/30/1997,18,NO,5.5,,,35,,,HIGH,,CLEAR,,1-Beautiful, could not be nicer
8189706,08/07/1997,17.67,NO,5.4,,,36,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189706,08/13/1997,16.42,NO,5,,,37,,,,,CLEAR,,1-Beautiful, could not be nicer
8189706,08/22/1997,16,NO,4.9,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,08/28/1997,17,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,09/06/1997,18,NO,5.5,,,35,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189706,09/12/1997,18,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,09/20/1997,18.33,NO,5.6,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,09/27/1997,18.33,NO,5.6,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,10/04/1997,17,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189705,10/18/1997,19,NO,5.8,,,35,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189705,10/26/1997,18.42,NO,5.6,,,35,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189705,11/01/1997,18.42,NO,5.6,,,35,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189705,11/08/1997,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189705,11/15/1997,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189705,04/24/1998,19,NO,5.8,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189705,05/04/1998,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,05/13/1998,16,NO,4.9,,,37,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,05/22/1998,17,NO,5.2,,,36,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,05/28/1998,15.5,NO,4.7,,,38,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,06/04/1998,17,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,06/11/1998,17.25,NO,5.2,,,36,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,06/20/1998,13.5,NO,4.1,,,40,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,06/26/1998,16.75,NO,5.1,,,37,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,07/03/1998,14.5,NO,4.4,,,39,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,07/17/1998,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189706,07/25/1998,14.25,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189706,07/31/1998,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189706,08/07/1998,15.5,NO,4.7,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
