Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Found Lake,Vilas,1593800,NO,64,,643482,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189555,09/06/1996,6.75,NO,2.1,,,50,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189555,09/19/1996,25,YES,7.6,,,31,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189555,09/30/1996,4.75,NO,1.4,,,55,,,20',20,,BROWN,2-Very minor aesthetic problems
8189555,10/12/1996,7,NO,2.1,,,49,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189555,10/25/1996,6,NO,1.8,,,51,,,LOW,,,BROWN,2-Very minor aesthetic problems
8189555,11/15/1996,6,NO,1.8,,,51,,,3'-END OF MY PIER-SAME,,,BROWN,2-Very minor aesthetic problems
8189555,05/04/1997,4,NO,1.2,,,57,,,1 FOOT HIGHER THAN NORMAL,,,BROWN,2-Very minor aesthetic problems
8189555,05/16/1997,5,NO,1.5,,,54,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189555,05/31/1997,6.25,YES,1.9,,,51,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189555,06/08/1997,8.25,NO,2.5,,,47,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189555,06/17/1997,6.25,YES,1.9,,,51,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189555,06/27/1997,7.25,NO,2.2,,,49,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189555,07/09/1997,7.75,NO,2.4,,,48,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189555,07/19/1997,7.75,NO,2.4,,,48,,,NORMAL, 25 FEET,,,BROWN,2-Very minor aesthetic problems
8189555,07/30/1997,9.75,NO,3,,,44,,,NORMAL, 25 FEET,,,BROWN,2-Very minor aesthetic problems
8189555,08/08/1997,8.5,NO,2.6,,,46,,,DOWN 1.5 FEET,,CLEAR,BROWN,2-Very minor aesthetic problems
8189555,08/19/1997,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189555,08/31/1997,6,YES,1.8,,,51,,,,,,,
8189555,09/11/1997,5,YES,1.5,,,54,,,,,,,
8189555,09/18/1997,5.25,NO,1.6,,,53,,,,,,,
8189555,09/27/1997,4.3,YES,1.3,,,56,,,,,,,
8189555,10/04/1997,5.25,NO,1.6,,,53,,,,,,,
8189555,10/16/1997,5.45,NO,1.7,,,53,,,NO CHANGE,,CLEAR,BROWN,2-Very minor aesthetic problems
8189555,10/27/1997,7,NO,2.1,,,49,,,NO CHANGE,,CLEAR,BROWN,2-Very minor aesthetic problems
8189555,04/21/1998,5.25,NO,1.6,,,53,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8189555,04/29/1998,6.25,NO,1.9,,,51,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8189555,05/14/1998,6.25,NO,1.9,,,51,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189555,05/23/1998,6.25,NO,1.9,,,51,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189555,06/04/1998,5,NO,1.5,,,54,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8189555,06/16/1998,7.25,NO,2.2,,,49,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
