Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Shishebogama Lake,Oneida,1539600,NO,44,,643563,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189876,06/22/1999,13,NO,4,,,40,,,30',30,CLEAR,BLUE,
8189876,08/14/1999,7,NO,2.1,,,49,,,30',30,,DARK BROWN,
8189876,09/15/1999,6,NO,1.8,,,51,,,30',30,,BROWN,
8189876,07/05/2000,13,NO,4,,,40,,,,,,LIGHT BROWN,
8189876,08/14/2000,9.5,NO,2.9,,,45,,,BOTTOM DEPTH IS 27'.,,,DARK BROWN,
8189876,09/15/2000,6.3,NO,1.9,,,51,,,BOTTOM DEPTH IS 27',,,DARK BROWN,
8189876,10/22/2000,8.4,NO,2.6,,,46,,,BOTTOM DEPTH IS 27',,,BROWN,
8189210,06/11/2001,11,NO,3.3,,,43,,,28',28,CLEAR,,
8189210,07/14/2001,12.2,NO,3.7,,,41,,,28',28,,BROWN,
8189210,07/31/2001,8.75,NO,2.7,,,46,,,26',26,,GREEN,
8189210,09/15/2001,7.5,NO,2.3,,,48,,,30',30,,BROWN,
8189210,10/11/2001,6.75,NO,2.1,,,50,,,,,CLEAR,,
49488647,07/27/2011,8,NO,2.4,,,47,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
49488647,08/16/2011,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
49488647,06/20/2012,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
49488647,07/16/2012,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
49488647,08/14/2012,8,NO,2.4,,,47,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
49488647,06/17/2013,7,NO,2.1,,,49,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
49488647,07/24/2013,7,NO,2.1,,,49,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
49488647,08/27/2013,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
49488647,05/20/2014,6,NO,1.8,,,51,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
49488647,06/24/2014,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
49488647,08/17/2014,10,NO,3,,,44,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
49488647,06/15/2015,8,NO,2.4,,,47,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
49488647,07/15/2015,10,NO,3,,,44,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
49488647,08/25/2015,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
49488647,06/21/2016,7,NO,2.1,,,49,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
49488647,07/19/2016,8,NO,2.4,,,47,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
49488647,08/23/2016,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
49488647,06/19/2017,10,NO,3,,,44,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
49488647,07/08/2017,9,NO,2.7,,,45,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
49488647,08/22/2017,8,NO,2.4,,,47,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/27/2011,3,FEET,76.2,DEGREES F,,
07/27/2011,6,FEET,75.9,DEGREES F,,
07/27/2011,9,FEET,75.5,DEGREES F,,
07/27/2011,12,FEET,75,DEGREES F,,
07/27/2011,15,FEET,67.2,DEGREES F,,
07/27/2011,20,FEET,58.2,DEGREES F,,
07/27/2011,25,FEET,51.8,DEGREES F,,
07/27/2011,30,FEET,49.1,DEGREES F,,
07/27/2011,35,FEET,48.7,DEGREES F,,
08/16/2011,3,FEET,74.6,DEGREES F,,
08/16/2011,6,FEET,74.3,DEGREES F,,
08/16/2011,9,FEET,73.5,DEGREES F,,
08/16/2011,12,FEET,72.8,DEGREES F,,
08/16/2011,15,FEET,69.6,DEGREES F,,
08/16/2011,20,FEET,59.3,DEGREES F,,
08/16/2011,25,FEET,53.2,DEGREES F,,
08/16/2011,30,FEET,49.6,DEGREES F,,
08/16/2011,35,FEET,49.2,DEGREES F,,
06/20/2012,3,FEET,71.7,DEGREES F,,
06/20/2012,6,FEET,71.4,DEGREES F,,
06/20/2012,9,FEET,70.3,DEGREES F,,
06/20/2012,12,FEET,68.9,DEGREES F,,
06/20/2012,15,FEET,67.1,DEGREES F,,
06/20/2012,20,FEET,60.6,DEGREES F,,
06/20/2012,25,FEET,53.6,DEGREES F,,
06/20/2012,30,FEET,49.8,DEGREES F,,
06/20/2012,35,FEET,49.8,DEGREES F,,
07/16/2012,3,FEET,80,DEGREES F,,
07/16/2012,6,FEET,79.8,DEGREES F,,
07/16/2012,9,FEET,79.8,DEGREES F,,
07/16/2012,12,FEET,78.8,DEGREES F,,
07/16/2012,15,FEET,75.2,DEGREES F,,
07/16/2012,20,FEET,66.2,DEGREES F,,
07/16/2012,25,FEET,58.2,DEGREES F,,
07/16/2012,30,FEET,54.1,DEGREES F,,
07/16/2012,35,FEET,51,DEGREES F,,
08/14/2012,3,FEET,71.6,DEGREES F,,
08/14/2012,6,FEET,71.4,DEGREES F,,
08/14/2012,9,FEET,71.4,DEGREES F,,
08/14/2012,12,FEET,71.2,DEGREES F,,
08/14/2012,15,FEET,70.8,DEGREES F,,
08/14/2012,20,FEET,66.9,DEGREES F,,
08/14/2012,25,FEET,56.1,DEGREES F,,
08/14/2012,30,FEET,51.2,DEGREES F,,
08/14/2012,35,FEET,51,DEGREES F,,
06/17/2013,3,FEET,68,DEGREES F,,
06/17/2013,6,FEET,67.4,DEGREES F,,
06/17/2013,9,FEET,67.1,DEGREES F,,
06/17/2013,12,FEET,62.4,DEGREES F,,
06/17/2013,15,FEET,57.2,DEGREES F,,
06/17/2013,20,FEET,49.5,DEGREES F,,
06/17/2013,25,FEET,45.8,DEGREES F,,
06/17/2013,30,FEET,45.3,DEGREES F,,
07/24/2013,3,FEET,72.6,DEGREES F,,
07/24/2013,6,FEET,72.6,DEGREES F,,
07/24/2013,9,FEET,72.6,DEGREES F,,
07/24/2013,12,FEET,72.6,DEGREES F,,
07/24/2013,15,FEET,66.2,DEGREES F,,
07/24/2013,20,FEET,53,DEGREES F,,
07/24/2013,25,FEET,48,DEGREES F,,
07/24/2013,30,FEET,47,DEGREES F,,
08/27/2013,3,FEET,75,DEGREES F,,
08/27/2013,6,FEET,74.6,DEGREES F,,
08/27/2013,9,FEET,73.9,DEGREES F,,
08/27/2013,12,FEET,71.6,DEGREES F,,
08/27/2013,15,FEET,67.4,DEGREES F,,
08/27/2013,20,FEET,54.5,DEGREES F,,
08/27/2013,25,FEET,49.2,DEGREES F,,
08/27/2013,30,FEET,46.5,DEGREES F,,
05/20/2014,3,FEET,51.8,DEGREES F,,
05/20/2014,6,FEET,51.4,DEGREES F,,
05/20/2014,9,FEET,51.2,DEGREES F,,
05/20/2014,12,FEET,49.8,DEGREES F,,
05/20/2014,15,FEET,46.5,DEGREES F,,
05/20/2014,20,FEET,44.4,DEGREES F,,
05/20/2014,25,FEET,42.8,DEGREES F,,
