Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Wabasso Lake,Vilas,2045000,NO,64,,644049,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/20/1979,,,,7.6,8,,44,50,,,,,
1,07/19/2017,11,NO,3.3,,,43,,,,,,,
145282006,07/19/2017,11,NO,3.3,3.97,,40,,45,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/20/2017,,,,,11.3,,47,,,,,,
1,08/21/2017,11.5,NO,3.5,2.45,17.7,42,50,42,,,,,
145282006,08/21/2017,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
116338688,09/13/2017,13.5,NO,4.1,1.25,8.42,40,45,36,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/20/1979,,,,,1.3,MG/L
07/19/2017,0,FEET,76,DEGREES F,8.63,MG/L
07/19/2017,3,FEET,75.1,DEGREES F,8.7,MG/L
07/19/2017,6,FEET,74.3,DEGREES F,8.53,MG/L
07/19/2017,9,FEET,70.4,DEGREES F,4.15,MG/L
07/19/2017,12,FEET,61.4,DEGREES F,.11,MG/L
07/19/2017,15,FEET,54.2,DEGREES F,.25,MG/L
07/19/2017,18,FEET,50.4,DEGREES F,.93,MG/L
07/19/2017,21,FEET,48.2,DEGREES F,.84,MG/L
07/19/2017,24,FEET,46.6,DEGREES F,1.42,MG/L
07/19/2017,27,FEET,45.9,DEGREES F,1.35,MG/L
07/19/2017,30,FEET,45.7,DEGREES F,.83,MG/L
07/19/2017,33,FEET,45.3,DEGREES F,0,MG/L
07/19/2017,36,FEET,45,DEGREES F,-.03,MG/L
07/19/2017,39,FEET,45,DEGREES F,-.03,MG/L
07/19/2017,42,FEET,44.9,DEGREES F,-.05,MG/L
08/21/2017,0,FEET,72.2,DEGREES F,7.91,MG/L
08/21/2017,3,FEET,71.9,DEGREES F,7.85,MG/L
08/21/2017,6,FEET,71.6,DEGREES F,7.57,MG/L
08/21/2017,9,FEET,69.8,DEGREES F,6.88,MG/L
08/21/2017,12,FEET,66.2,DEGREES F,.66,MG/L
08/21/2017,15,FEET,57.1,DEGREES F,.08,MG/L
08/21/2017,18,FEET,52.1,DEGREES F,.02,MG/L
08/21/2017,21,FEET,48.5,DEGREES F,-.03,MG/L
08/21/2017,24,FEET,47.2,DEGREES F,-.03,MG/L
08/21/2017,27,FEET,46.3,DEGREES F,-.06,MG/L
08/21/2017,30,FEET,45.8,DEGREES F,-.07,MG/L
08/21/2017,33,FEET,45.5,DEGREES F,-.07,MG/L
08/21/2017,,,22.33,C,7.91,MG/L
09/13/2017,0,FEET,66.2,DEGREES F,8.83,MG/L
09/13/2017,3,FEET,66.2,DEGREES F,8.8,MG/L
09/13/2017,6,FEET,64.8,DEGREES F,8.59,MG/L
09/13/2017,9,FEET,63.5,DEGREES F,8.81,MG/L
09/13/2017,12,FEET,62.2,DEGREES F,6.83,MG/L
09/13/2017,15,FEET,60,DEGREES F,3.41,MG/L
09/13/2017,18,FEET,53.4,DEGREES F,.35,MG/L
09/13/2017,21,FEET,49.5,DEGREES F,.18,MG/L
09/13/2017,24,FEET,47.4,DEGREES F,.12,MG/L
09/13/2017,27,FEET,46.3,DEGREES F,.08,MG/L
09/13/2017,30,FEET,46,DEGREES F,.06,MG/L
09/13/2017,33,FEET,45.4,DEGREES F,.02,MG/L
09/13/2017,36,FEET,45.1,DEGREES F,0,MG/L
09/13/2017,39,FEET,45,DEGREES F,0,MG/L
09/13/2017,42,FEET,45,DEGREES F,-.02,MG/L



Start Date,Fieldwork Comment
08/20/1979,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    




Start Date,Group Name,Project Name
08/20/1979,Data Collectors,Migrated from STORET Legacy
07/19/2017,Data Collectors,VILAS COUNTY: LCO-Vilas County Monitoring + Healthy Lakes Program
07/19/2017,Mitchell Buhler,VILAS COUNTY: LCO-Vilas County Monitoring + Healthy Lakes Program
07/20/2017,Data Collectors,VILAS COUNTY: LCO-Vilas County Monitoring + Healthy Lakes Program
08/21/2017,Data Collectors,VILAS COUNTY: LCO-Vilas County Monitoring + Healthy Lakes Program
08/21/2017,Mitchell Buhler,VILAS COUNTY: LCO-Vilas County Monitoring + Healthy Lakes Program
09/13/2017,Catherine Higley,VILAS COUNTY: LCO-Vilas County Monitoring + Healthy Lakes Program
