Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Wandawega,Walworth,740700,SE,65,,653216,SE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
41731863,07/19/1978,4,YES,1.2,,,57,,,,,,,
41731863,02/13/1980,,,,,,,,,,,,,
1,09/09/1980,26.2,,8,2,,30,,40,,,,,
1,09/14/1981,8.2,,2.5,5,,47,,47,,,,,
1,04/17/1995,,,,2.34,10,,46,41,,,,,
1,06/21/1995,,,,2.08,23,,52,40,,,,,
1,07/25/1995,,,,0.37,16,,50,27,,,,,
1,08/22/1995,,,,0.73,14,,49,32,,,,,
1,09/21/1995,,,,1.75,11,,47,39,,,,,
1,10/17/1995,,,,1.84,13,,48,39,,,,,
8188525,08/18/1999,4.9,,1.5,1.06,14,54,49,35,,,,,
7000045,05/05/2004,4.264,NO,1.3,,17,55,50,,,,,,1-Beautiful, could not be nicer
7000045,08/03/2004,4.5,NO,1.4,,15,55,49,,,,,,3-Enjoyment somewhat impaired (algae)
17612335,09/07/2006,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
17612335,09/21/2006,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
17612335,09/23/2006,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
16097450,10/07/2006,7,YES,2.1,,,49,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
17612335,05/01/2007,9,YES,2.7,,,45,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
17612335,05/31/2007,9,YES,2.7,,,45,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
17612335,06/10/2007,9,YES,2.7,,,45,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
17612335,06/28/2007,9.5,YES,2.9,,,45,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
17612335,07/09/2007,10,NO,3,,,44,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
17612335,07/20/2007,10,NO,3,,,44,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
17612335,08/04/2007,10,NO,3,,,44,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
17612335,08/18/2007,10,NO,3,,,44,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
17612335,09/11/2007,10,NO,3,,,44,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
17612335,09/22/2007,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
17612335,10/05/2007,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
25584670,09/21/2008,11.25,NO,3.4,,,42,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
25584670,05/22/2009,10.1,NO,3.1,,,44,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
25584670,06/22/2010,7.5,NO,2.3,,,48,,,HIGH,895.01 ASL,CLEAR,GREEN,2-Very minor aesthetic problems
7000045,08/09/2016,3.9,Y,1.2,1.42,28.6,57,54,37,,,,,
81537482,08/09/2016,3.77,YES,1.1,,,58,,,,,CLEAR,,1-Beautiful, could not be nicer
7000045,08/25/2016,3.3,N,1,1.41,21.5,60,52,37,,,,,
10585089,08/25/2016,3.28,NO,1,,,60,,,,,CLEAR,,1-Beautiful, could not be nicer
7000045,09/15/2016,3.9,NO,1.2,1.18,20.7,57,52,36,,,CLEAR,,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/19/1978,0,FEET,27,DEGREES C,8,MG/L
07/19/1978,2,FEET,27,DEGREES C,8.3,MG/L
07/19/1978,3,FEET,26.5,DEGREES C,8.3,MG/L
07/19/1978,4,FEET,26.5,DEGREES C,9,MG/L
02/13/1980,0,FEET,0,DEGREES C,12.4,MG/L
02/13/1980,2,FEET,0,DEGREES C,12,MG/L
02/13/1980,3,FEET,2,DEGREES C,12,MG/L
02/13/1980,4,FEET,2,DEGREES C,10,MG/L
02/13/1980,5,FEET,3,DEGREES C,10,MG/L
02/13/1980,6,FEET,4,DEGREES C,2.2,MG/L
06/21/1995,,,28.7,C,6.9,MG/L
07/25/1995,,,27.7,C,9.0,MG/L
08/22/1995,,,27.7,C,7.3,MG/L
09/21/1995,,,14.93,C,9.44,MG/L
10/17/1995,,,10.93,C,10.60,MG/L
08/18/1999,3.28,FEET,,,9.5,MG/L
08/18/1999,,,23.2,C,9.5,MG/L
05/05/2004,1,FEET,,,10.9,MG/L
05/05/2004,3,FEET,15.51,DEGREES C,10.94,MG/L
05/05/2004,,,15.5,C,10.9,MG/L
08/03/2004,1,FEET,,,9.6,MG/L
08/03/2004,3,FEET,26.03,DEGREES C,9.59,MG/L
08/03/2004,,,26.0,C,9.6,MG/L
08/09/2016,3,FEET,26.12,DEGREES C,8.23,MG/L
08/09/2016,,,26.1,C,8.2,MG/L
08/25/2016,3,FEET,24.36,DEGREES C,6.65,MG/L
08/25/2016,,,24.4,C,6.7,MG/L
09/15/2016,3,FEET,21.34,DEGREES C,6.47,MG/L
09/15/2016,,,21.3,C,6.5,MG/L



Start Date,Fieldwork Comment
07/19/1978,Potamogeton - Big-leafed pondweed.
02/13/1980,10" ice.
09/09/1980,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
09/14/1981,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
04/17/1995,nps appraisal monitoring    
06/21/1995,nps appraisal    
07/25/1995,honey sugar nps    
08/22/1995,honey sugar nps    
05/05/2004,MIDDLE OF LAKE     
08/03/2004,DEEPEST SPOT FOUND @ 5FT     
09/21/2008,75F- PC- wind east 5mph-  Nice day.  Blue herron on north shore.
Some kids still swimming in lake.  Adults too wise (or lazy  )for swimming in upper 60's water.  A few fishermen were catching LM bass (no monsters though)
06/22/2010,Weather - PC to PS 85F Wind west at 7mph

People swimming- fishing- even tubing behind boat

Water warming- algae growth increasing




Start Date,Group Name,Project Name
07/19/1978,Ron Piening,Lake Sampling Southeast Region DNR - 1970s
02/13/1980,Ron Piening,Lake Sampling Southeast Region DNR - 1970s
09/09/1980,Data Collectors,Migrated from STORET Legacy
09/14/1981,Data Collectors,Migrated from STORET Legacy
04/17/1995,Data Collectors,Stream Evaluations 1988-1998
06/21/1995,Data Collectors,Stream Evaluations 1988-1998
07/25/1995,Data Collectors,Stream Evaluations 1988-1998
08/22/1995,Data Collectors,Stream Evaluations 1988-1998
09/21/1995,Data Collectors,Stream Evaluations 1988-1998
10/17/1995,Data Collectors,Stream Evaluations 1988-1998
08/18/1999,Bob Wakeman,Lake Baseline Monitoring- DNR (1970s-2006)
05/05/2004,Heidi Bunk,Lake Baseline Monitoring- DNR (1970s-2006)
05/05/2004,Heidi Bunk,Proposed SER Legacy and Historical Data Entry - East District 
08/03/2004,Heidi Bunk,Lake Baseline Monitoring- DNR (1970s-2006)
08/03/2004,Heidi Bunk,Proposed SER Legacy and Historical Data Entry - East District 
09/07/2006,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
09/21/2006,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
09/23/2006,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
10/07/2006,Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
05/01/2007,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
05/31/2007,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
06/10/2007,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
06/28/2007,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
07/09/2007,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
07/20/2007,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
08/04/2007,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
08/18/2007,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
09/11/2007,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
09/22/2007,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
10/05/2007,Cary Katzenberger- Ginny Coburn,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
09/21/2008,Scott Olsen,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
05/22/2009,Scott Olsen,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
06/22/2010,Scott Olsen,Citizen Lake Monitoring - Water Quality - Wandawega Lake- Walworth County
08/09/2016,Heidi Bunk,Sugar Creek TWA [Section 319][HUC10] 2016
08/09/2016,SAMUEL POSNANSKI,Eastern District Follow Up Monitoring for Impairment Decisions 2016
08/25/2016,ANDREW HUDAK,Eastern District Follow Up Monitoring for Impairment Decisions 2016
08/25/2016,Heidi Bunk,Sugar Creek TWA [Section 319][HUC10] 2016
09/15/2016,Heidi Bunk,Lakes Long Term Trend Monitoring (1986-present)
09/15/2016,Heidi Bunk,Sugar Creek TWA [Section 319][HUC10] 2016
