Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Rice Lake,Walworth,816600,SE,65,,653218,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
41731863,07/18/1978,5,NO,1.5,,,54,,,,,,,
41731863,02/14/1980,,,,,,,,,,,,,
1,09/10/1980,1.3,,0.39,170,,74,,74,,,,,
1,09/14/1981,2.3,,0.7,57,,65,,65,,,,,
8190954,09/07/1986,2,NO,0.6,,,67,,,,,,GREEN,
8190954,08/04/1987,1,NO,0.3,,,77,,,3" BELOW SPILLWAY,,,GREEN,
8190665,05/29/1988,10.5,NO,3.2,,,43,,,3" BELOW REFERENCE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190665,06/05/1988,7.75,NO,2.4,,,48,,,2.25" BELOW REF.,,CLEAR,BLUE,2-Very minor aesthetic problems
8190665,06/12/1988,5,NO,1.5,,,54,,,5.5" LOW,,,,
8190665,06/19/1988,3.5,NO,1.1,,,59,,,7.5" BELOW REF.,,,,
8190665,06/26/1988,2.75,NO,0.8,,,63,,,9.5 BELOW REF.,,,,
8190665,07/04/1988,3,NO,0.9,,,61,,,11.625" BELOW REF.,,,,
8190665,08/03/1988,2,NO,0.6,,,67,,,13" BELOW REF.,,,BROWN,
8190954,04/26/1989,12.5,NO,3.8,,,41,,,-20 IN. BELOW,,CLEAR,BLUE,
8190665,05/29/1989,5,NO,1.5,,,54,,,-24 IN.,,CLEAR,BLUE,2-Very minor aesthetic problems
8190665,07/04/1989,4.25,NO,1.3,,,56,,,-25 IN.,,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
8190665,07/08/1989,3,NO,0.9,,,61,,,-26 IN.,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,07/09/1989,2.5,NO,0.8,,,64,,,-25 IN.,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,07/22/1989,2.5,NO,0.8,,,64,,,-25 IN.,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190665,07/30/1989,2,NO,0.6,,,67,,,-25 IN.,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,08/05/1989,1.5,NO,0.5,,,71,,,-25 IN.,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,08/21/1989,1.25,NO,0.4,,,74,,,-27.5 IN.,,,GREEN,4-Would not swim but boating OK (algae)
8190665,08/26/1989,1.5,NO,0.5,,,71,,,-28.5 IN.,,,GREEN,4-Would not swim but boating OK (algae)
8190665,09/10/1989,3,NO,0.9,,,61,,,-2 FT.,,,BROWN,
8190665,05/20/1990,5.25,NO,1.6,,,53,,,-24",,,BROWN,2-Very minor aesthetic problems
8190665,05/28/1990,7.5,NO,2.3,,,48,,,-24.25",,CLEAR,BLUE,2-Very minor aesthetic problems
8190665,07/29/1990,1.75,NO,0.5,,,69,,,-25.25",,,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,08/08/1990,1.5,NO,0.5,,,71,,,-27.5" FROM MAX.,,,,3-Enjoyment somewhat impaired (algae)
8190665,08/11/1990,1.75,NO,0.5,,,69,,,-27.5",,,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,08/19/1990,1.5,NO,0.5,,,71,,,-26.5" FROM MAX.,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,09/15/1990,1.5,NO,0.5,,,71,,,29" LOW,,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
8190665,09/23/1990,2,NO,0.6,,,67,,,,,,GREEN/BROWN,
8190665,10/14/1990,2.5,NO,0.8,,,64,,,,,,BROWN,2-Very minor aesthetic problems
8190665,07/07/1991,1,NO,0.3,,,77,,,DOWN 29.5",,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
8190665,07/13/1991,1.5,NO,0.5,,,71,,,DOWN 30",,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
8190665,07/26/1991,1.25,NO,0.4,,,74,,,DOWN 31.5",,,GREEN,3-Enjoyment somewhat impaired (algae)
8190665,08/05/1991,1.5,NO,0.5,,,71,,,DOWN 33",,,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,05/09/1992,5,NO,1.5,,,54,,,29,29,,BROWN,2-Very minor aesthetic problems
8190665,05/17/1992,5,NO,1.5,,,54,,,GAUGE,29.25,,BROWN,2-Very minor aesthetic problems
8190665,05/24/1992,3.5,NO,1.1,,,59,,,DOWN 29.5",,,BROWN,2-Very minor aesthetic problems
8190665,05/31/1992,6.5,NO,2,,,50,,,DOWN 30.5",,,BROWN,2-Very minor aesthetic problems
8190665,06/07/1992,6.5,NO,2,,,50,,,DOWN 31",,,BROWN,2-Very minor aesthetic problems
8190665,06/14/1992,5,NO,1.5,,,54,,,DOWN 32,,,BROWN,2-Very minor aesthetic problems
8190665,06/24/1992,2.5,NO,0.8,,,64,,,31.5 BELOW,,,BROWN,2-Very minor aesthetic problems
8190665,07/05/1992,2.7,NO,0.8,,,63,,,GAUGE,34.5,,BROWN,2-Very minor aesthetic problems
8190665,07/20/1992,2,NO,0.6,,,67,,,DOWN 31.5,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,08/02/1992,2,NO,0.6,,,67,,,DOWN 32,,,BROWN,2-Very minor aesthetic problems
8190665,08/08/1992,2,NO,0.6,,,67,,,DOWN 32.5",,,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,08/15/1992,1.75,NO,0.5,,,69,,,DOWN 33,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,08/30/1992,2,NO,0.6,,,67,,,DOWN 33.5,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,09/07/1992,2.5,NO,0.8,,,64,,,DOWN 34",,,BROWN,2-Very minor aesthetic problems
8190665,09/19/1992,2.5,NO,0.8,,,64,,,DOWN 32.5,,,BROWN,2-Very minor aesthetic problems
8190665,05/17/1993,5.5,NO,1.7,,,53,,,15.5 BELOW MAX,,,BROWN,2-Very minor aesthetic problems
8190665,06/21/1993,6,NO,1.8,,,51,,,8" BELOW OVERFLOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190665,06/28/1993,4.5,NO,1.4,,,55,,,8.5" BELOW OVERFLOW,,,BROWN,2-Very minor aesthetic problems
8190665,07/11/1993,2.25,NO,0.7,,,65,,,6" BELOW SPILLWAY,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190665,05/23/1994,10,NO,3,4.41,,44,,46,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190665,06/19/1994,7,NO,2.1,7.23,22,49,52,50,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190665,07/24/1994,11,NO,3.3,29.1,44,43,57,60,,,,BROWN,2-Very minor aesthetic problems
8190665,08/28/1994,2.5,NO,0.8,31.9,,64,,61,,,,BROWN,2-Very minor aesthetic problems
8190665,11/19/1994,4.5,NO,1.4,15.8,25,55,53,56,,,,BROWN,2-Very minor aesthetic problems
8190665,04/24/1995,5,NO,1.5,8.31,20,54,51,51,1' BELOW OVERFLOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190665,06/25/1995,8,NO,2.4,,,47,,,14" BELOW OVERFLOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190665,08/01/1995,3,NO,0.9,,,61,,,14.5 BELOW OVERFLOW,,,BROWN,2-Very minor aesthetic problems
8190665,09/04/1995,1.5,NO,0.5,,,71,,,-16",,,GREEN BROWN,3-Enjoyment somewhat impaired (algae)
8190665,07/22/1996,2.75,NO,0.8,,,63,,,2.5" BELOW DAM,,,BROWN,2-Very minor aesthetic problems
8190665,04/15/1997,6,NO,1.8,,,51,,,GAUGE,100,,BLUE,
8190665,04/23/1997,4.5,NO,1.4,,,55,,,100 FEET,100,,,2-Very minor aesthetic problems
8190665,05/22/1997,7.5,NO,2.3,,,48,,,GAUGE,100,,BROWN,2-Very minor aesthetic problems
8190665,06/17/1997,8,NO,2.4,,,47,,,98 INCHES,98,CLEAR,BROWN,1-Beautiful, could not be nicer
8190665,07/28/1997,3.5,NO,1.1,,,59,,,93 INCHES,93,CLEAR,BROWN,2-Very minor aesthetic problems
8190665,08/27/1997,2,NO,0.6,,,67,,,91 INCHES,91,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190665,11/18/1997,10,YES,3,,,44,,,GAUGE,85,CLEAR,BLUE,1-Beautiful, could not be nicer
8190665,04/19/1998,5,NO,1.5,,24,54,53,,GAUGE,91,CLEAR,BROWN,2-Very minor aesthetic problems
8190665,06/29/1998,,,,6.19,,,,49,,,,,
8190665,09/12/2000,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8190665,09/24/2000,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
8190665,10/01/2000,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8190665,10/16/2000,3.5,NO,1.1,,,59,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8190665,04/15/2001,4.5,NO,1.4,,,55,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8190665,05/04/2001,4,NO,1.2,,,57,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8190665,08/10/2001,2,NO,0.6,,,67,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190665,08/31/2001,1.5,NO,0.5,,,71,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8190665,09/07/2001,1.75,NO,0.5,,,69,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189907,06/22/2002,5.5,NO,1.7,,,53,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189907,07/14/2002,3.8,NO,1.2,,,58,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,07/29/2002,2.8,NO,0.9,,,62,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
7000045,07/30/2002,1.5,NO,0.5,,,71,,,,,,,5-Enjoyment substantially impaired (algae)
8189907,08/04/2002,1.8,NO,0.5,,,69,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,08/25/2002,1.6,NO,0.5,,,70,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,09/14/2002,1.8,NO,0.5,,,69,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,09/22/2002,1.8,NO,0.5,,,69,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,10/05/2002,2.1,NO,0.6,,,66,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,05/15/2003,5.5,NO,1.7,,,53,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189907,06/05/2003,5.25,NO,1.6,,,53,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189907,06/29/2003,4.75,NO,1.4,,,55,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189907,07/20/2003,3.5,NO,1.1,,,59,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189907,08/03/2003,2.5,NO,0.8,,,64,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,08/12/2003,2,NO,0.6,,,67,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,08/19/2003,1.5,NO,0.5,,,71,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,09/07/2003,1.5,NO,0.5,,,71,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8189907,10/05/2003,2.75,NO,0.8,,,63,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,11/11/2003,4.5,NO,1.4,,,55,,,LOW,28,CLEAR,GREEN,2-Very minor aesthetic problems
8189907,05/28/2004,2.5,NO,0.8,,,64,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189907,06/05/2004,3.5,NO,1.1,,,59,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189907,06/13/2004,3.5,NO,1.1,,,59,,,LOW,,,,2-Very minor aesthetic problems
8189907,06/26/2004,2.5,NO,0.8,,,64,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,07/25/2004,2.25,NO,0.7,,,65,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,08/15/2004,2,NO,0.6,,,67,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,09/06/2004,2.25,NO,0.7,,,65,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,09/12/2004,2.25,NO,0.7,,,65,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,09/19/2004,2,NO,0.6,,,67,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,09/26/2004,2,NO,0.6,,,67,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
7000105,04/13/2005,,,,,47,,58,,,,,,
8189907,05/22/2005,5,NO,1.5,,,54,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189907,05/30/2005,4,NO,1.2,,,57,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189907,06/05/2005,3.5,NO,1.1,,,59,,,NORMAL,,MURKY,,3-Enjoyment somewhat impaired (algae)
8189907,06/20/2005,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,07/08/2005,1.5,NO,0.5,,,71,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189907,07/30/2005,1.5,NO,0.5,,,71,,,NORMAL,,MURKY,GREEN,5-Enjoyment substantially impaired (algae)
8189907,08/28/2005,1.5,NO,0.5,,,71,,,LOW,,MURKY,GREEN,5-Enjoyment substantially impaired (algae)
8189907,09/04/2005,1.5,NO,0.5,,,71,,,LOW,,MURKY,GREEN,5-Enjoyment substantially impaired (algae)
