Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Potter Lake,Walworth,753800,SE,65,,653220,SE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
41731863,07/13/1978,2,NO,0.6,,,67,,,,,,,
41731863,02/11/1980,,,,,,,,,,,,,
1,09/10/1980,2.3,,0.71,20,,65,,57,,,,,
1,09/14/1981,3.9,,1.2,10,,57,,52,,,,,
8190304,06/12/1993,5,NO,1.5,,,54,,,GAUGE,8.25,,GREEN,3-Enjoyment somewhat impaired (algae)
8190304,06/20/1993,4,NO,1.2,,,57,,,GAUGE,8.3,,BROWN,4-Would not swim but boating OK (algae)
1,06/21/1993,,,,16.2,34,,55,56,,,,,
8190304,06/25/1993,3.5,NO,1.1,,,59,,,GAUGE,8.15,,GREEN/BROWN,4-Would not swim but boating OK (algae)
8190304,07/06/1993,3.5,NO,1.1,,,59,,,GAUGE,7.9,,GREEN/BROWN,4-Would not swim but boating OK (algae)
1,07/21/1993,,,,21.7,32,,55,58,,,,,
8190304,08/01/1993,3,NO,0.9,,,61,,,GAUGE,7.8,,GREEN/BROWN,4-Would not swim but boating OK (algae)
1,08/10/1993,,,,18.2,33,,55,57,,,,,
8190304,08/15/1993,3.5,NO,1.1,,,59,,,GAUGE,7.7,,GREEN,4-Would not swim but boating OK (algae)
8190304,08/22/1993,3.5,NO,1.1,,,59,,,GAUGE,7.78,,BROWN,4-Would not swim but boating OK (algae)
8190304,08/28/1993,3.5,NO,1.1,,,59,,,GAUGE,7.6,,BROWN,4-Would not swim but boating OK (algae)
8190304,09/05/1993,3.5,NO,1.1,,,59,,,GAUGE,7.7,,BROWN,4-Would not swim but boating OK (algae)
8190304,09/12/1993,3.5,NO,1.1,,,59,,,GAUGE,7.58,,BROWN,4-Would not swim but boating OK (algae)
8190304,09/19/1993,3.5,NO,1.1,,,59,,,GAUGE,7.8,,BROWN,4-Would not swim but boating OK (algae)
8190304,10/03/1993,3.5,NO,1.1,,,59,,,GAUGE,7.9,,GREEN/BROWN,
8190304,10/17/1993,4.5,NO,1.4,,,55,,,GAUGE,7.5,,BROWN,3-Enjoyment somewhat impaired (algae)
8190304,10/24/1993,4.5,NO,1.4,,,55,,,GAUGE,7.3,,BROWN,
8190304,11/21/1993,5.5,NO,1.7,,,53,,,GAUGE,7.18,,BROWN,3-Enjoyment somewhat impaired (algae)
8190304,01/01/1994,5.5,NO,1.7,,,53,,,GAUGE,7.1,MURKY,,2-Very minor aesthetic problems
8190304,02/20/1994,,,,,,,,,GAUGE,7.4,,,3-Enjoyment somewhat impaired (algae)
8190304,03/06/1994,9,NO,2.7,,,45,,,GAUGE,7.6,CLEAR,,
8190304,03/13/1994,7,NO,2.1,,,49,,,GAUGE,7.6,CLEAR,,2-Very minor aesthetic problems
1,04/11/1994,,,,6.09,26,,53,48,,,,,
8190304,04/22/1994,5,NO,1.5,,,54,,,GAUGE,7.4,,BROWN,3-Enjoyment somewhat impaired (algae)
8190304,05/08/1994,5,NO,1.5,,,54,,,GAUGE,7.45,,BROWN,
8190304,05/21/1994,9,NO,2.7,,,45,,,GAUGE,7.35,,BROWN,3-Enjoyment somewhat impaired (algae)
8190304,05/30/1994,4,NO,1.2,,,57,,,GAUGE,7.25,,BROWN,3-Enjoyment somewhat impaired (algae)
8190304,06/05/1994,4,NO,1.2,,,57,,,GAUGE,7.15,,BROWN,3-Enjoyment somewhat impaired (algae)
8190304,06/12/1994,2.5,NO,0.8,,,64,,,GAUGE,7.08,,BROWN,3-Enjoyment somewhat impaired (algae)
1,06/15/1994,,,,15,45,,58,55,,,,,
8190304,06/19/1994,4,NO,1.2,,,57,,,GAUGE,7,,BROWN,3-Enjoyment somewhat impaired (algae)
