Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Whitewater Lake,Walworth,816800,SE,65,,653234,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190401,07/17/1986,2.75,NO,0.8,,,63,,,,,,GREEN,
8190401,08/09/1986,1.5,NO,0.5,,,71,,,,,,,
8190401,06/08/1987,3,NO,0.9,,,61,,,1.5" OVER DAM,,,BROWN,
8190401,07/17/1987,2.25,NO,0.7,,,65,,,EVEN WITH DAM SPILLWAY,,,LIGHT GREEN,
8190401,08/04/1987,1.75,NO,0.5,,,69,,,2" BELOW DAM SPILLWAY,,,GREEN,
8190401,08/15/1987,1.75,NO,0.5,,,69,,,1.5" ABOVE SPILLWAY,,,GREEN,
8190401,09/12/1987,1.5,NO,0.5,,,71,,,GAUGE,1.07,,GREEN,
8190401,10/13/1987,3,NO,0.9,,,61,,,GAUGE,1,,GREEN,
8190401,06/16/1988,3.5,NO,1.1,,,59,,,DOWN BY .67,,CLEAR,,
8190401,07/17/1988,2.75,NO,0.8,,,63,,,DOWN BY .625,,CLEAR,,
8190401,07/30/1988,2.5,NO,0.8,,,64,,,DOWN BY .75,,,BROWN,
8190401,08/28/1988,2.5,NO,0.8,,,64,,,1.08 FT BELOW DAM ON 9/9/88,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190401,10/05/1988,4.25,NO,1.3,,,56,,,1.16 FT BELOW DAM SPILLWAY,,,BROWN,5-Enjoyment substantially impaired (algae)
8190401,04/26/1989,,,,,,,,,8 INCHES BELOW DAM SPILLWAY,,CLEAR,BLUE,
8190401,08/24/1989,2,NO,0.6,,,67,,,15 INCHES BELOW DAM,,CLEAR,BLUE,5-Enjoyment substantially impaired (algae)
8190401,09/03/1989,3.5,NO,1.1,,,59,,,,,,,5-Enjoyment substantially impaired (algae)
8190401,09/18/1989,3.5,NO,1.1,,,59,,,,,,GREEN,5-Enjoyment substantially impaired (algae)
8190401,10/07/1989,,,,,,,,,14 INCHES BELOW DAM,,CLEAR,BLUE,5-Enjoyment substantially impaired (algae)
8190401,08/05/1990,2.5,NO,0.8,,,64,,,,,,,
8190401,05/15/1991,3.5,NO,1.1,,,59,,,LOW; ABOUT 20" BELOW NORMAL,,CLEAR,BLUE,
8190401,05/25/1991,5,,1.5,,,54,,,,,CLEAR,BLUE,
8190401,06/03/1991,5.5,NO,1.7,,,53,,,,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
8190401,06/08/1991,4.5,NO,1.4,,,55,,,,,CLEAR,BLUE,5-Enjoyment substantially impaired (algae)
8190401,06/27/1991,4,NO,1.2,,,57,,,,,CLEAR,BLUE,
8190401,07/07/1991,3,NO,0.9,,,61,,,,,CLEAR,BLUE,
8190401,07/14/1991,3.5,NO,1.1,,,59,,,,,CLEAR,BLUE,
8190401,07/19/1991,3.5,NO,1.1,,,59,,,,,CLEAR,GREEN,
8190401,07/27/1991,2.5,NO,0.8,,,64,,,,,,GREEN,
8190401,08/02/1991,2,NO,0.6,,,67,,,,,,GREEN,
8190401,08/09/1991,2,NO,0.6,,,67,,,,,,GREEN/BROWN,
8190401,08/17/1991,2.5,NO,0.8,,,64,,,,,,GREEN/GRAY,3-Enjoyment somewhat impaired (algae)
8190401,08/23/1991,2.5,NO,0.8,,,64,,,,,,GREEN,
8190401,09/01/1991,2,NO,0.6,,,67,,,,,CLEAR,GRAY,
8190401,09/06/1991,2,NO,0.6,,,67,,,,,,GRAY,
8190401,09/12/1991,3,NO,0.9,,,61,,,,,CLEAR,GRAY,
8190401,09/30/1991,3,NO,0.9,,,61,,,,,,BROWN,
8190401,10/09/1991,4,NO,1.2,,,57,,,,,,GRAY,
8190401,05/07/1992,4,NO,1.2,,,57,,,,,,GRAY,
8190401,06/02/1992,4,NO,1.2,,,57,,,,,,GRAY,
8190401,06/11/1992,4,NO,1.2,,,57,,,,,,GRAY,
8190401,06/14/1992,4.5,NO,1.4,,,55,,,,,CLEAR,BLUE,
8190401,07/01/1992,3,NO,0.9,,,61,,,,,,GREEN/GRAY,
8190401,07/18/1992,2.5,NO,0.8,,,64,,,,,,GREEN,
8190401,07/29/1992,2.5,NO,0.8,,,64,,,,,,GREEN,
8190401,08/17/1992,3,NO,0.9,,,61,,,,,,GREEN,
8190401,09/01/1992,2.5,NO,0.8,,,64,,,,,,GREEN,
8190401,09/23/1992,2.75,NO,0.8,,,63,,,,,,GRAY,
8190401,10/03/1992,4,NO,1.2,,,57,,,,,,GRAY,
8190401,05/09/1993,4.5,NO,1.4,,,55,,,,,CLEAR,GRAY,1-Beautiful, could not be nicer
8190401,05/29/1993,5,NO,1.5,,,54,,,,,,GREEN/GRAY,
8190401,06/13/1993,5,NO,1.5,,,54,,,,,,GRAY,
8190401,06/23/1993,6,NO,1.8,,,51,,,,,,GRAY,
8190401,07/11/1993,5,NO,1.5,,,54,,,,,,GREEN,
8190401,07/30/1993,4.5,NO,1.4,,,55,,,,,,GREEN,2-Very minor aesthetic problems
8190401,08/16/1993,3.75,NO,1.1,,,58,,,,,,GREEN,2-Very minor aesthetic problems
8190401,09/01/1993,3,NO,0.9,,,61,,,,,,GREEN,
8190401,10/05/1993,6.5,NO,2,,,50,,,,,,GRAY,
8190401,05/16/1994,5.5,NO,1.7,,,53,,,,,CLEAR,GRAY,
8190401,05/31/1994,7,NO,2.1,,,49,,,,,CLEAR,GRAY,1-Beautiful, could not be nicer
8190401,06/11/1994,6,NO,1.8,,,51,,,,,CLEAR,GRAY,2-Very minor aesthetic problems
8190401,06/25/1994,5,NO,1.5,,,54,,,,,CLEAR,GRAY,
8190401,07/06/1994,5,NO,1.5,,,54,,,,,,GRAY,
8190401,08/18/1994,2,NO,0.6,,,54,,,,,,BROWN GRAY,2-Very minor aesthetic problems
8190401,09/07/1994,5,NO,1.5,,,54,,,,,,GREEN GRAY,
8190401,09/25/1994,6,NO,1.8,,,51,,,,,,GREEN BROWN,
8190401,10/14/1994,5.5,NO,1.7,,,53,,,,,,GREEN GRAY,
8190401,05/15/1995,4,NO,1.2,,,57,,,,,,,
8190401,06/07/1995,8,NO,2.4,,,47,,,,,,GREEN/GRAY,
8190401,07/04/1995,4,NO,1.2,,,57,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190401,07/13/1995,4,NO,1.2,,,57,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190401,07/28/1995,2.5,NO,0.8,,,64,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190401,08/18/1995,2,NO,0.6,,,67,,,,,,GREEN,4-Would not swim but boating OK (algae)
8190401,09/08/1995,2,NO,0.6,,,67,,,,,,GREEN,5-Enjoyment substantially impaired (algae)
8190401,09/28/1995,2.5,NO,0.8,,,64,,,,,,GREEN/BROWN,
8190401,05/09/1996,5,NO,1.5,,,54,,,,,,GRAY,1-Beautiful, could not be nicer
8190401,05/29/1996,5,NO,1.5,,,54,,,,,CLEAR,,1-Beautiful, could not be nicer
8190401,06/13/1996,6,NO,1.8,,,51,,,,,,LIGHT GRAY,1-Beautiful, could not be nicer
8190401,06/27/1996,5,NO,1.5,,,54,,,,,CLEAR,,1-Beautiful, could not be nicer
8190401,07/19/1996,4.5,NO,1.4,,,55,,,,,,GREEN,
8190401,08/14/1996,3,NO,0.9,,,61,,,,,,GREEN,2-Very minor aesthetic problems
8190401,09/03/1996,3,NO,0.9,,,61,,,,,,GREEN,
8190401,09/19/1996,4,NO,1.2,,,57,,,,,,GREEN,
8190401,05/07/1997,3.5,NO,1.1,,,59,,,,,,GRAY,
8190401,06/02/1997,4,NO,1.2,,,57,,,,,,GRAY,
8190264,06/23/1997,4.5,NO,1.4,,,55,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190264,07/07/1997,4.5,NO,1.4,,,55,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190264,07/28/1997,4,NO,1.2,,,57,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8190401,08/08/1997,3,NO,0.9,,,61,,,,,,GRAY,
8190401,08/22/1997,3,NO,0.9,,,61,,,,,,BROWN/GRAY,
8190401,09/14/1997,3,NO,0.9,,,61,,,,,,BROWN/GRAY.,
8190401,10/06/1997,4.5,NO,1.4,,,55,,,,,,GREEN/GRAY,
8190401,04/29/1998,4,NO,1.2,,,57,,,,,,,1-Beautiful, could not be nicer
8190401,05/13/1998,6,NO,1.8,,,51,,,,,,,2-Very minor aesthetic problems
8190401,06/16/1998,4,NO,1.2,,,57,,,HIGH,,CLEAR,,2-Very minor aesthetic problems
8190401,07/09/1998,5.5,NO,1.7,,,53,,,,,CLEAR,,2-Very minor aesthetic problems
8190401,07/19/1998,2,NO,0.6,,,67,,,HIGH,,CLEAR,GREEN,
8190401,07/29/1998,3,NO,0.9,,,61,,,,,CLEAR,,2-Very minor aesthetic problems
8190401,08/02/1998,2.5,NO,0.8,,,64,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8190401,05/16/1999,5,NO,1.5,,,54,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190401,05/27/2000,5,NO,1.5,,,54,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8190401,06/25/2000,4.5,NO,1.4,,,55,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8190401,07/24/2000,3.5,NO,1.1,,,59,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8190401,08/31/2000,4,NO,1.2,,,57,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190401,09/27/2000,4,NO,1.2,,,57,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8190401,10/12/2000,4,NO,1.2,,,57,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8190401,05/16/2001,5.5,NO,1.7,,,53,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8190401,06/22/2001,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8190401,07/16/2001,2.5,NO,0.8,,,64,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8190401,08/04/2001,2,NO,0.6,,,67,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8190401,08/16/2001,2,NO,0.6,,,67,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8190401,09/03/2001,2,NO,0.6,,,67,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8190401,09/20/2001,3,NO,0.9,,,61,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8190401,10/09/2001,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8190401,05/18/2002,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,
8190401,05/26/2002,4,NO,1.2,,,57,,,NORMAL,,MURKY,BROWN,
8190401,06/02/2002,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,GREEN,
8190401,06/16/2002,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,
8190401,06/28/2002,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,
8190401,07/14/2002,3,NO,0.9,,,61,,,NORMAL,,CLEAR,GREEN,
8190401,07/19/2002,2,NO,0.6,,,67,,,NORMAL,,MURKY,BROWN,
8190401,07/24/2002,2.25,NO,0.7,,,65,,,NORMAL,,CLEAR,GREEN,
8190401,08/02/2002,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,GREEN,
8190401,08/11/2002,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,GREEN,
8190401,08/18/2002,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,GREEN,
8190401,08/28/2002,3,NO,0.9,,,61,,,NORMAL,,CLEAR,GREEN,
8190401,09/03/2002,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,BROWN,
8190401,09/13/2002,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,GREEN,
8190401,09/21/2002,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,GREEN,
8190401,09/28/2002,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,GREEN,
8190401,10/16/2002,8,YES,2.4,,,47,,,NORMAL,,CLEAR,BROWN,
8189491,05/26/2003,5.25,NO,1.6,,,53,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
