Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Tripp Lake (Trapp),Walworth,816000,SE,65,,653277,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
41731863,07/18/1978,4,NO,1.2,,,57,,,,,,,
41731863,02/14/1980,,,,,,,,,,,,,
7000045,05/05/2004,3.28,NO,1,,30,59,54,,,,,,3-Enjoyment somewhat impaired (algae)
7000045,08/03/2004,6.5,NO,2,,49,50,58,,,,,,3-Enjoyment somewhat impaired (algae)
16097450,08/31/2006,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
16097450,09/06/2006,6.75,NO,2.1,,,50,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
16097450,09/21/2006,7.25,NO,2.2,,,49,,,NORMAL,3,CLEAR,YELLOW,2-Very minor aesthetic problems
16097450,09/26/2006,7.75,YES,2.4,,,48,,,NORMAL,3,CLEAR,YELLOW,2-Very minor aesthetic problems
16097450,10/07/2006,6.5,NO,2,,,50,,,NORMAL,3,CLEAR,BROWN,2-Very minor aesthetic problems
16097450,10/22/2006,7.5,NO,2.3,,,48,,,NORMAL,3,CLEAR,YELLOW,2-Very minor aesthetic problems
16097450,10/29/2006,6.5,NO,2,,,50,,,NORMAL,3,CLEAR,YELLOW,2-Very minor aesthetic problems
17612335,11/12/2006,7.6,NO,2.3,,,48,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
17612335,11/26/2006,7.25,NO,2.2,,,49,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
17612335,01/06/2007,5,NO,1.5,,,54,,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer
17612335,04/21/2007,1.75,NO,0.5,,,69,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
17612335,05/19/2007,3.75,NO,1.1,,,58,,,NORMAL,,MURKY,GREEN,
17612335,05/28/2007,3.25,NO,1,,,60,,,NORMAL,,MURKY,GREEN,
17612335,06/08/2007,6.5,NO,2,,,50,,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer
17612335,06/21/2007,6,NO,1.8,,,51,,,NORMAL,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
17612335,07/21/2007,6,NO,1.8,,,51,,,NORMAL,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
17612335,07/25/2007,6,NO,1.8,,,51,,,NORMAL,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
17612335,08/04/2007,5.25,NO,1.6,,,53,,,NORMAL,,CLEAR,GREEN,
17612335,08/11/2007,7.25,NO,2.2,,,49,,,NORMAL,,CLEAR,YELLOW,
17612335,09/01/2007,5,NO,1.5,,,54,,,NORMAL,,CLEAR,YELLOW,
17612335,09/22/2007,6.25,NO,1.9,,,51,,,NORMAL,,CLEAR,YELLOW,
17612335,05/04/2008,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
16097450,06/02/2008,,,,2.66,32,,55,42,,,,,
17612335,06/02/2008,6,NO,1.8,,,51,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
17612335,06/17/2008,3,NO,0.9,,,61,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
16097450,06/28/2008,,,,8.98,120,,65,51,,,,,
17612335,06/28/2008,4,NO,1.2,,,57,,,NORMAL,,CLEAR,YELLOW,4-Would not swim but boating OK (algae)
17612335,07/04/2008,6,NO,1.8,,,51,,,NORMAL,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
16097450,07/30/2008,,,,201,240,,71,75,,,,,
17612335,07/30/2008,6,NO,1.8,,,51,,,NORMAL,,CLEAR,YELLOW,4-Would not swim but boating OK (algae)
16097450,08/03/2008,5,NO,1.5,,,54,,,NORMAL,,CLEAR,YELLOW,5-Enjoyment substantially impaired (algae)
16097450,09/05/2008,7,NO,2.1,6.54,32,49,55,49,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
16097450,04/12/2009,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
16097450,05/19/2009,4,NO,1.2,,42,57,57,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
16097450,06/20/2009,5.5,NO,1.7,2.68,59,53,60,42,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
16097450,07/23/2009,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
16097450,07/27/2009,,,,6.56,41,,57,49,,,,,
16097450,08/23/2009,7,NO,2.1,,,49,,,NORMAL,normal,CLEAR,GREEN,2-Very minor aesthetic problems
16097450,05/22/2010,8.5,YES,2.6,,28,46,54,,NORMAL,,CLEAR,YELLOW,5-Enjoyment substantially impaired (algae)
16097450,05/31/2010,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,YELLOW,4-Would not swim but boating OK (algae)
16097450,06/09/2010,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
1,06/21/2010,,,,7.91,42,,57,50,,,,,
16097450,06/21/2010,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,YELLOW,5-Enjoyment substantially impaired (algae)
16097450,07/01/2010,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,YELLOW,5-Enjoyment substantially impaired (algae)
1,07/26/2010,,,,4.35,146,,67,46,,,,,
16097450,07/26/2010,3.5,NO,1.1,,,59,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
16097450,08/03/2010,7,NO,2.1,,,49,,,NORMAL,,CLEAR,YELLOW,4-Would not swim but boating OK (algae)
16097450,08/19/2010,6.5,NO,2,,,50,,,NORMAL,,CLEAR,YELLOW,4-Would not swim but boating OK (algae)
16097450,08/24/2010,6.5,NO,2,4.53,43,50,57,46,NORMAL,,CLEAR,YELLOW,4-Would not swim but boating OK (algae)
16097450,09/11/2010,7,NO,2.1,,,49,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
16097450,04/09/2011,2,NO,0.6,,,67,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
16097450,04/17/2011,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
16097450,04/29/2011,3,NO,0.9,,,61,,,NORMAL,,MURKY,YELLOW,2-Very minor aesthetic problems
16097450,05/15/2011,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
16097450,05/16/2011,,,,,52,,59,,,,,,
16097450,06/03/2011,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
16097450,06/12/2011,8,YES,2.4,,,47,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
16097450,06/16/2011,8,YES,2.4,2.35,21,47,52,41,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
16097450,06/26/2011,8.3,YES,2.5,,,47,,,NORMAL,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
16097450,07/02/2011,7.3,NO,2.2,,,48,,,NORMAL,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
16097450,07/18/2011,6.5,NO,2,16.1,51,50,59,56,NORMAL,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
16097450,08/05/2011,7.3,NO,2.2,,,48,,,NORMAL,,CLEAR,YELLOW,4-Would not swim but boating OK (algae)
16097450,08/29/2011,8.3,YES,2.5,3.94,27,47,54,45,NORMAL,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
16097450,09/07/2011,8.3,NO,2.5,,,47,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
16097450,10/03/2011,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
16097450,03/24/2012,2,NO,0.6,,,67,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
16097450,04/07/2012,2,NO,0.6,,,67,,,NORMAL,,MURKY,GREEN,
16097450,04/29/2012,5.3,NO,1.6,,,53,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
16097450,05/13/2012,6,NO,1.8,,,51,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
16097450,05/20/2012,5,NO,1.5,,40,54,57,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
16097450,06/19/2012,6,NO,1.8,61.6,75,51,62,66,NORMAL,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
16097450,07/07/2012,6.3,NO,1.9,,,51,,,LOW,,CLEAR,YELLOW,4-Would not swim but boating OK (algae)
16097450,07/18/2012,7.3,NO,2.2,5.71,46,48,58,48,LOW,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
16097450,08/16/2012,4,NO,1.2,191,111,57,65,75,NORMAL,,CLEAR,GREEN,5-Enjoyment substantially impaired (algae)
16097450,09/22/2012,7,NO,2.1,,,49,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
16097450,04/28/2013,2,NO,0.6,,,67,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
16097450,05/23/2013,4.5,NO,1.4,,53.4,55,59,,NORMAL,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
1,06/21/2013,,,,187,94.9,,63,74,,,,,
16097450,06/21/2013,4,NO,1.2,,,57,,,NORMAL,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
16097450,07/18/2013,5,NO,1.5,22.8,78.3,54,62,58,NORMAL,,MURKY,YELLOW,4-Would not swim but boating OK (algae)
16097450,08/18/2013,7.75,YES,2.4,81.8,53.5,48,59,68,NORMAL,,CLEAR,YELLOW,5-Enjoyment substantially impaired (algae)
16097450,09/19/2013,8,YES,2.4,,,47,,,NORMAL,,CLEAR,YELLOW,5-Enjoyment substantially impaired (algae)
16097450,05/08/2014,4,NO,1.2,,42.3,57,57,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer
