Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Mud Lake,Washburn,2107700,NO,66,,663062,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190853,04/27/1999,,,,,40,,57,,,,,,
8189321,07/12/1999,,,,,63,,60,,,,,,
8188838,10/20/1999,,,,,,,,,,,,,
8189049,05/15/2000,,,,,30,,54,,,,,,
8190853,06/26/2000,7.5,NO,2.3,,,48,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189337,07/11/2000,8.25,NO,2.5,,,47,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189337,07/29/2000,5.5,NO,1.7,,,53,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189337,08/12/2000,6.5,NO,2,,,50,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189337,08/29/2000,6,NO,1.8,,,51,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189337,09/13/2000,9,NO,2.7,,,45,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189337,09/30/2000,7.5,NO,2.3,,,48,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190853,10/16/2000,8,NO,2.4,,,47,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189337,10/25/2000,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
7000024,05/08/2001,6,NO,1.8,,25,51,53,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189003,06/05/2001,6,NO,1.8,,,51,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189932,06/26/2001,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189321,07/09/2001,6,NO,1.8,,,51,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189003,08/06/2001,4,NO,1.2,,,57,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189003,10/22/2001,7,NO,2.1,,,49,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189321,04/30/2002,7,NO,2.1,,,49,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189003,06/10/2002,6,NO,1.8,,,51,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189003,07/09/2002,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8188838,08/05/2002,5,NO,1.5,,,54,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189003,10/23/2002,7,NO,2.1,,,49,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189003,04/28/2003,7,NO,2.1,,,49,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189321,06/09/2003,11,NO,3.3,,,43,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189003,07/07/2003,6,NO,1.8,,,51,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189003,08/12/2003,5,NO,1.5,,,54,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189003,10/15/2003,11,NO,3.3,,,43,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189321,05/04/2004,6,NO,1.8,,,51,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189321,06/07/2004,8,NO,2.4,,,47,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189321,07/12/2004,10,NO,3,,,44,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189321,08/10/2004,7,NO,2.1,,,49,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189321,10/24/2004,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191433,04/25/2005,6,NO,1.8,,,51,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8191433,06/06/2005,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8191433,07/11/2005,9.5,NO,2.9,,,45,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8191433,08/01/2005,5.5,NO,1.7,,,53,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8191433,10/17/2005,9.5,NO,2.9,,,45,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8188838,05/02/2006,8,NO,2.4,,,47,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8188838,06/02/2006,7,NO,2.1,,,49,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8188838,07/06/2006,8,NO,2.4,,,47,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8188838,08/07/2006,4.5,NO,1.4,,,55,,,HIGH,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8188838,10/23/2006,8.5,NO,2.6,,,46,,,LOW,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
