Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Middle Lake,Washburn,2482100,NO,66,,663102,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190346,07/25/1994,5,NO,1.5,,,54,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190346,08/05/1994,5,NO,1.5,,,54,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190346,04/07/1995,5.5,NO,1.7,,,53,,,GAUGE,7.5,CLEAR,BLUE,2-Very minor aesthetic problems
8190346,05/18/1995,5.5,NO,1.7,,,53,,,GAUGE,7.25,CLEAR,BLUE,2-Very minor aesthetic problems
8190346,07/04/1995,4.5,NO,1.4,,,55,,,6' MUD BOTTOM,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190346,07/08/1995,4.25,NO,1.3,,,56,,,6' MUD BOTTOM,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190346,09/27/1995,3,YES,0.9,0.76,8,61,44,33,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190346,10/30/1995,3.5,YES,1.1,1.03,,59,,35,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190346,05/08/1996,5,YES,1.5,1.92,8,54,44,40,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
7000024,05/13/2002,,,,1,16,,50,35,,,,,
8189493,06/17/2002,,,,,16,,50,,,,,,
7000024,07/02/2002,,,,,,,,,,,,,
8189493,07/16/2002,,,,,15,,49,,,,,,
8189493,08/07/2002,,,,,11,,47,,,,,,
8189493,08/19/2002,,,,,11,,47,,,,,,
144742042,06/02/2017,6.25,NO,1.9,,,51,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
144742042,06/16/2017,6.75,NO,2.1,,,50,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
144742042,07/02/2017,6.75,YES,2.1,,,50,,,HIGH,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
144742042,08/04/2017,6.25,YES,1.9,,,51,,,HIGH,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
144742042,08/11/2017,6,YES,1.8,,,51,,,HIGH,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
144742042,08/18/2017,6.75,YES,2.1,,,50,,,HIGH,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
144742042,09/09/2017,6.75,YES,2.1,,,50,,,HIGH,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
144742042,09/22/2017,6.5,NO,2,,,50,,,HIGH,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
09/27/1995,3,FEET,55,DEGREES F,,
09/27/1995,,,55,C,,
10/30/1995,3,FEET,46,DEGREES F,,
10/30/1995,,,46 F,C,,
05/08/1996,1,FEET,59,DEGREES F,,
05/08/1996,2,FEET,59,DEGREES F,,
05/08/1996,3,FEET,59,DEGREES F,,



Start Date,Fieldwork Comment
04/07/1995,Mud bottom.  Ice just off 1 day.    
05/08/1996,Ice off 4/27/96- sunny day- no plant growth yet- very late spring. Water level: up 6"    
05/13/2002,DEEP HOLE - SURFACE    
06/17/2002,DEEP HOLE-BOTTOM    
07/02/2002,DEEP HOLE - BOTTOM    
07/16/2002,DEEP HOLE - SURFACE    
08/07/2002,DEEP HOLE - BOTTOM    
08/19/2002,DEEP HOLE - SURFACE    
06/02/2017,Sunny and partly cloudy.  Water had pepper size green algae in water.
06/16/2017,Sunny and partly cloudy.
07/02/2017,Sunny and partly cloudy partly cloudy
08/04/2017,partly cloud
08/11/2017,partly cloudy
08/18/2017,Cloudy
09/22/2017,Sunny day and 83 degrees with a light breeze




Start Date,Group Name,Project Name
07/25/1994,Gerald Kriesel,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
08/05/1994,Gerald Kriesel,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
04/07/1995,Gerald Kriesel,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
05/18/1995,Gerald Kriesel,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
07/04/1995,Gerald Kriesel,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
07/08/1995,Gerald Kriesel,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
09/27/1995,Gerald Kriesel,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
10/30/1995,Gerald Kriesel,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
05/08/1996,Gerald Kriesel,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
05/13/2002,DANNY RYAN,TWIN LAKES PRESERVATION ASSOCIATION: North + Mid. Twin Lakes (Washburn Co.) - Phase 1 WQ Study
06/17/2002,Kent Shifferd,TWIN LAKES PRESERVATION ASSOCIATION: North + Mid. Twin Lakes (Washburn Co.) - Phase 1 WQ Study
07/02/2002,DANNY RYAN,TWIN LAKES PRESERVATION ASSOCIATION: North + Mid. Twin Lakes (Washburn Co.) - Phase 1 WQ Study
07/16/2002,Kent Shifferd,TWIN LAKES PRESERVATION ASSOCIATION: North + Mid. Twin Lakes (Washburn Co.) - Phase 1 WQ Study
08/07/2002,Kent Shifferd,TWIN LAKES PRESERVATION ASSOCIATION: North + Mid. Twin Lakes (Washburn Co.) - Phase 1 WQ Study
08/19/2002,Kent Shifferd,TWIN LAKES PRESERVATION ASSOCIATION: North + Mid. Twin Lakes (Washburn Co.) - Phase 1 WQ Study
06/02/2017,Darryl Rongitsch,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
06/16/2017,Darryl Rongitsch,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
07/02/2017,Darryl Rongitsch,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
08/04/2017,Darryl Rongitsch,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
08/11/2017,Darryl Rongitsch,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
08/18/2017,Darryl Rongitsch,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
09/09/2017,Darryl Rongitsch,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
09/22/2017,Darryl Rongitsch,Citizen Lake Monitoring - Water Quality - Middle Twin Lake - At Deep Spot
