Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Bean Lake,Washburn,2718500,NO,66,,663128,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189975,09/30/1998,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188494,06/30/2000,,,,,,,,,,,,,
1,08/24/2000,9.8,,3,4.5,19,44,51,46,,,,,
8188889,05/28/2003,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8188889,06/11/2003,6,NO,1.8,,,51,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188910,06/18/2003,9,NO,2.7,,,45,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,06/27/2003,10,NO,3,,,44,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,07/06/2003,10,NO,3,,,44,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,07/15/2003,11,NO,3.3,,,43,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,07/22/2003,12,NO,3.6,,,41,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,07/30/2003,11,NO,3.3,,,43,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,08/22/2003,12,NO,3.6,,,41,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,08/29/2003,12,NO,3.6,,,41,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,09/01/2003,7,NO,2.1,,,49,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,09/05/2003,11,NO,3.3,,,43,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8188889,09/12/2003,11,NO,3.3,,,43,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,09/23/2003,9,NO,2.7,,,45,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,10/12/2003,8,NO,2.4,,,47,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,11/17/2003,8,NO,2.4,,,47,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,04/25/2004,5.5,NO,1.7,,28,53,54,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,05/15/2004,5,NO,1.5,,,54,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,05/27/2004,7,NO,2.1,,,49,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
1,06/15/2004,5,NO,1.5,11.4,,54,,53,HIGH,,MURKY,BROWN,
8188889,07/07/2004,9,NO,2.7,,,45,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188494,07/19/2004,10,NO,3,2.86,17,44,50,43,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,08/16/2004,10,NO,3,5.88,14,44,49,48,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,09/09/2004,10,NO,3,,,44,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,09/19/2004,8,NO,2.4,,,47,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188494,10/06/2004,6,NO,1.8,,,51,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,10/23/2004,5,NO,1.5,9.03,36,54,56,51,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188745,06/05/2005,,,,,17,,50,,,,,,
8188889,06/05/2005,9,NO,2.7,,,45,,,NORMAL,,MURKY,,3-Enjoyment somewhat impaired (algae)
8188745,06/19/2005,,,,3.6,13,,48,44,,,,,
8188889,06/19/2005,9,NO,2.7,,,45,,,NORMAL,,MURKY,,3-Enjoyment somewhat impaired (algae)
8188745,07/18/2005,,,,2.13,18,,51,41,,,,,
8188889,07/18/2005,11,NO,3.3,,,43,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188745,08/31/2005,,,,3.45,17,,50,44,,,,,
8191357,09/01/2005,11,NO,3.3,,,43,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,10/24/2005,4.5,NO,1.4,,,55,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188745,11/14/2005,,,,3.85,,,,45,,,,,
8188889,05/31/2006,10,NO,3,,21,44,52,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,06/28/2006,10,NO,3,3.05,20,44,51,43,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,07/18/2006,10,NO,3,2.08,19,44,51,40,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188889,08/30/2006,8,NO,2.4,6.84,27,47,54,49,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
