Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Keesus,Waukesha,852400,SE,68,,683124,SE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,09/19/1973,,,,,60,,60,,,,,,
1,11/21/1973,,,,,80,,62,,,,,,
1,02/07/1974,,,,,70,,61,,,,,,
1,04/05/1974,,,,,30,,54,,,,,,
1,07/12/1974,,,,,10,,46,,,,,,
1,11/20/1974,,,,,50,,58,,,,,,
1,02/20/1975,,,,,30,,54,,,,,,
1,06/10/1980,11.5,,3.5,8,,42,,51,,,,,
1,09/18/1980,6.2,,1.9,5,,51,,47,,,,,
1,09/14/1981,8.2,,2.5,5,,47,,47,,,,,
8190848,07/14/1987,9,NO,2.7,,,45,,,,,,GREEN,1-Beautiful, could not be nicer
8190319,08/04/1987,9.25,NO,2.8,,,45,,,,,,GREEN,1-Beautiful, could not be nicer
8190319,08/19/1987,9.5,NO,2.9,,,45,,,,,,GREEN,1-Beautiful, could not be nicer
8190319,09/02/1987,8.25,NO,2.5,,,47,,,,,,GREEN,1-Beautiful, could not be nicer
8190319,09/15/1987,9.25,NO,2.8,,,45,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,09/25/1987,11,NO,3.3,,,43,,,,,,GREEN,2-Very minor aesthetic problems
8190319,05/28/1988,15.5,NO,4.7,,,38,,,,,,GREEN,2-Very minor aesthetic problems
8190319,06/25/1988,9.25,NO,2.8,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190319,07/09/1988,10,NO,3,,,44,,,,,,GREEN,2-Very minor aesthetic problems
8190319,07/30/1988,11.5,NO,3.5,,,42,,,,,,GREEN,2-Very minor aesthetic problems
8190319,08/13/1988,9.5,NO,2.9,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190319,09/06/1988,8.75,NO,2.7,,,46,,,,,,GREEN,2-Very minor aesthetic problems
8190319,09/24/1988,9.25,NO,2.8,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190319,06/04/1989,4.75,NO,1.4,,,55,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,06/18/1989,4.75,NO,1.4,,,55,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,06/29/1989,5.5,NO,1.7,,,53,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,07/12/1989,8.5,NO,2.6,,,46,,,,,,GREEN,2-Very minor aesthetic problems
8190319,07/22/1989,7.75,NO,2.4,,,48,,,,,,GREEN,2-Very minor aesthetic problems
8190319,08/02/1989,6.5,NO,2,,,50,,,,,,GREEN,2-Very minor aesthetic problems
8190319,08/16/1989,9.25,NO,2.8,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190319,09/02/1989,11.75,NO,3.6,,,42,,,,,,GREEN,2-Very minor aesthetic problems
8190319,09/17/1989,11,NO,3.3,,,43,,,,,,GREEN,2-Very minor aesthetic problems
8190319,09/30/1989,12.25,NO,3.7,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190319,05/27/1990,12,NO,3.6,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190319,06/10/1990,8,NO,2.4,,,47,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,06/24/1990,6.25,NO,1.9,,,51,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,07/04/1990,6,NO,1.8,,,51,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,07/17/1990,6,NO,1.8,,,51,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,07/28/1990,6.5,NO,2,,,50,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,08/08/1990,8.75,NO,2.7,,,46,,,,,,GREEN,2-Very minor aesthetic problems
8190319,08/18/1990,11,NO,3.3,,,43,,,,,,GREEN,2-Very minor aesthetic problems
8190801,08/23/1990,10,NO,3,,,44,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190319,08/29/1990,12,NO,3.6,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190319,09/11/1990,12.75,NO,3.9,,,40,,,,,,GREEN,2-Very minor aesthetic problems
8190319,09/27/1990,11.75,NO,3.6,,,42,,,,,,GREEN,2-Very minor aesthetic problems
8190319,05/09/1991,6.5,NO,2,,,50,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,05/27/1991,6.5,NO,2,,,50,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,06/09/1991,6,NO,1.8,,,51,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,06/23/1991,6.5,NO,2,,,50,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,07/05/1991,8,NO,2.4,,,47,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,07/21/1991,9,NO,2.7,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190319,08/05/1991,8.5,NO,2.6,,,46,,,,,,GREEN,2-Very minor aesthetic problems
8190319,08/18/1991,8.25,NO,2.5,,,47,,,,,,GREEN,2-Very minor aesthetic problems
8190319,08/31/1991,8.5,NO,2.6,,,46,,,,,,GREEN,2-Very minor aesthetic problems
8190319,09/21/1991,9,NO,2.7,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190319,05/30/1992,7,NO,2.1,,,49,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190319,06/13/1992,7.25,NO,2.2,,,49,,,,,,GREEN,2-Very minor aesthetic problems
8190319,06/27/1992,7.25,NO,2.2,,,49,,,,,,GREEN,2-Very minor aesthetic problems
8190319,07/19/1992,10.75,NO,3.3,,,43,,,,,,GREEN,1-Beautiful, could not be nicer
8190319,08/01/1992,10.25,NO,3.1,,,44,,,,,,GREEN,1-Beautiful, could not be nicer
8190319,08/08/1992,11,NO,3.3,,,43,,,,,,GREEN,1-Beautiful, could not be nicer
8190319,04/23/1993,8,NO,2.4,10.97,,47,,53,,,,GREEN,2-Very minor aesthetic problems
8190319,05/01/1993,11.5,NO,3.5,,,42,,,,,,GREEN,2-Very minor aesthetic problems
8190319,05/16/1993,9.5,NO,2.9,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190319,05/29/1993,13.5,NO,4.1,,,40,,,,,,GREEN,2-Very minor aesthetic problems
8190319,06/15/1993,11,NO,3.3,6.61,,43,,49,,,,GREEN,2-Very minor aesthetic problems
8190319,06/26/1993,9.25,NO,2.8,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190319,07/12/1993,8,NO,2.4,6.82,,47,,49,,,,GREEN,2-Very minor aesthetic problems
8190319,07/23/1993,8.5,NO,2.6,,,46,,,,,,GREEN,2-Very minor aesthetic problems
8190319,08/07/1993,,,,,,,,,,,,GREEN,2-Very minor aesthetic problems
8190319,08/17/1993,9.25,NO,2.8,3.85,,45,,45,,,,GREEN,2-Very minor aesthetic problems
8190319,09/04/1993,8,NO,2.4,,,47,,,,,,GREEN,2-Very minor aesthetic problems
