Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Okauchee Lake,Waukesha,850300,SE,68,,683142,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,09/17/1973,,,,,30,,54,,,,,,
1,11/26/1973,,,,,30,,54,,,,,,
1,02/05/1974,,,,,50,,58,,,,,,
1,04/03/1974,,,,,50,,58,,,,,,
1,07/10/1974,,,,,60,,60,,,,,,
1,11/19/1974,,,,,30,,54,,,,,,
1,02/18/1975,,,,,20,,51,,,,,,
1,04/23/1975,,,,,30,,54,,,,,,
1,09/18/1980,11.5,,3.5,4,,42,,45,,,,,
41731863,02/18/1981,24,NO,7.3,,,31,,,,,,,
1,09/14/1981,7.5,,2.3,6.6,,48,,49,,,,,
1,07/19/1988,11.5,,3.5,5,5,42,41,47,,,,,
1,08/22/1988,5.6,,1.7,3,234,52,70,43,,,,,
1,04/13/1989,13.1,,4,4,13,40,48,45,,,,,
1,06/19/1989,7.5,,2.3,5,13,48,48,47,,,,,
1,07/25/1989,7.5,,2.3,,9,48,45,,,,,,
1,08/23/1989,5.6,,1.7,,9,52,45,,,,,,
8189759,06/09/1995,7,NO,2.1,,,49,,,,,,GREEN,2-Very minor aesthetic problems
8189759,06/23/1995,7.5,NO,2.3,,,48,,,,,,GREEN,2-Very minor aesthetic problems
8189759,07/08/1995,10,NO,3,,,44,,,,,,GREEN,2-Very minor aesthetic problems
8189759,07/21/1995,7,NO,2.1,,,49,,,LOW,,,GREEN,2-Very minor aesthetic problems
8189759,08/04/1995,5.5,NO,1.7,,,53,,,LOW,,,GREEN,2-Very minor aesthetic problems
8189759,08/18/1995,5.75,NO,1.7,,,52,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189759,09/01/1995,6.08,NO,1.8,,,51,,,,,,GREEN,2-Very minor aesthetic problems
8189759,09/16/1995,8.5,NO,2.6,,,46,,,FEET,90,,BROWN,2-Very minor aesthetic problems
8189759,09/29/1995,11.75,NO,3.6,,,42,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8189759,10/13/1995,13,NO,4,,,40,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8189759,11/29/1995,14.1,NO,4.3,,,39,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189759,05/21/1996,8.5,NO,2.6,,,46,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8189759,06/05/1996,7.5,NO,2.3,,,48,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8189759,06/20/1996,9,NO,2.7,,,45,,,HIGH-VERY HEAVY RAINS FOR DAYS,,,BROWN,2-Very minor aesthetic problems
8189759,07/03/1996,12,NO,3.6,,,41,,,4" ABOVE NORMAL,,,GREEN,2-Very minor aesthetic problems
8189759,07/16/1996,10.4,NO,3.2,,,43,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189759,08/01/1996,8,NO,2.4,,,47,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189759,08/13/1996,6,NO,1.8,,,51,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8189759,08/30/1996,6,NO,1.8,,,51,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189759,09/10/1996,5.5,NO,1.7,,,53,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8189759,09/24/1996,11,NO,3.3,,,43,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8189759,10/09/1996,12,NO,3.6,,,41,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8189759,10/20/1996,10.5,NO,3.2,,,43,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
1,04/24/1997,,,,,23,,52,,,,,,
8189759,05/31/1997,5,NO,1.5,,,54,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189759,06/16/1997,3,NO,0.9,,,61,,,HIGH,,,GREEN,2-Very minor aesthetic problems
1,06/27/1997,,,,3.26,15,,49,44,,,,,
8189759,06/27/1997,8.25,NO,2.5,,,47,,,,,MURKY,GREEN,1-Beautiful, could not be nicer
8189759,07/10/1997,9,NO,2.7,,,45,,,LITTLE ABOVE NORMAL, ABOUT 2 INCHES.,,,GREEN,1-Beautiful, could not be nicer
1,07/25/1997,,,,4.3,19,,51,46,,,,,
8189759,07/25/1997,7.25,NO,2.2,,,49,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8189759,08/08/1997,5,NO,1.5,,,54,,,LITTLE ABOVE NORMAL, ABOUT 2 INCHES.,,,GREEN,1-Beautiful, could not be nicer
1,08/27/1997,,,,3.69,,,,45,,,,,
8189759,08/27/1997,7.5,NO,2.3,4.31,21,48,52,46,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189759,09/10/1997,7,NO,2.1,,,49,,,NO CHANGE,,,BROWN,
8189759,10/18/1997,13,NO,4,,,40,,,NO CHANGE,,CLEAR,BROWN,2-Very minor aesthetic problems
8189759,05/04/1998,6.5,NO,2,,,50,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189759,05/14/1998,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
8189759,06/10/1998,4.5,NO,1.4,,,55,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8189759,06/15/1998,3.25,NO,1,3.78,15,60,49,45,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8189759,07/13/1998,8.75,NO,2.7,2.23,12,46,47,41,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188534,07/29/1998,,,,2.5,8,,44,42,,,,,
8189759,07/30/1998,5,NO,1.5,,,54,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189759,08/20/1998,5,NO,1.5,,,54,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189759,09/03/1998,7.25,NO,2.2,,,49,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189759,09/17/1998,11.5,NO,3.5,,,42,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189759,09/21/1998,9,NO,2.7,3.17,,45,,44,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8189759,10/15/1998,14,NO,4.3,3.35,10,39,46,44,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189759,10/29/1998,12.25,NO,3.7,,,41,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189759,11/20/1998,9.25,NO,2.8,,,45,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
1,02/10/1999,,,,,7,,43,,,,,,
1,04/20/1999,,,,13.1,14,,49,54,,,,,
8189759,05/04/1999,5,NO,1.5,,15,54,49,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189759,05/19/1999,4.5,NO,1.4,,,55,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189759,06/09/1999,4,NO,1.2,5.99,15,57,49,48,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
1,06/18/1999,,,,5.08,12,,47,47,,,,,
8189759,06/25/1999,4,NO,1.2,,,57,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189759,07/08/1999,4,NO,1.2,3.69,13,57,48,45,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
1,07/12/1999,,,,5.2,12,,47,47,,,,,
8189759,07/22/1999,3.25,NO,1,,,60,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189759,08/03/1999,3,NO,0.9,3.86,21,61,52,45,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
1,08/09/1999,,,,7,23,,52,50,,,,,
8189759,08/20/1999,6.5,NO,2,,,50,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189759,09/02/1999,6,NO,1.8,4,18,51,51,45,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189759,10/21/1999,6,NO,1.8,,,51,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189759,11/08/1999,,,,,,,,,,,,,
1,02/15/2000,,,,,10,,46,,,,,,
1,04/12/2000,,,,12,16,,50,54,,,,,
8189143,06/07/2000,6.5,NO,2,10,21,50,52,52,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
1,06/15/2000,,,,3,,,,43,,,,,
8189143,06/23/2000,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
1,07/12/2000,,,,4,12,,47,45,,,,,
8189143,07/20/2000,4,NO,1.2,8,20,57,51,51,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
1,08/16/2000,,,,7,,,,50,,,,,
8189143,08/16/2000,3,NO,0.9,,14,61,49,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189143,08/24/2000,4.5,NO,1.4,,,55,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189759,09/14/2000,7.5,NO,2.3,4,12,48,47,45,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189759,09/24/2000,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
1,10/12/2000,9.5,NO,2.9,2.7,14,41,49,42,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8188630,02/14/2001,,,,,15,,49,,,,,,
18137178,02/14/2001,10,NO,3,,,44,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
1,04/24/2001,,,,5.5,24,,53,48,,,,,
8189939,06/08/2001,11.6,NO,3.5,6,17,42,50,48,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
1,06/20/2001,,,,6,,,,48,,,,,
8190882,06/23/2001,7,NO,2.1,,,49,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
