Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Hunters Lake,Waukesha,826300,SE,68,,683170,SE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190056,06/25/1994,7,NO,2.1,,,49,,,,,,,
8190056,07/09/1994,9.5,NO,2.9,,,45,,,,,,,
8190056,07/17/1994,16,,4.9,,,37,,,,,,,
8190056,07/24/1994,14.33,,4.4,,,39,,,,,,,
8190056,08/07/1994,8.25,,2.5,,,47,,,,,,,
8190056,08/22/1994,6.5,,2,,,50,,,,,,,
8190056,09/04/1994,9,,2.7,,,45,,,,,,,
8190056,09/18/1994,7.75,NO,2.4,,,48,,,,,,,
8190056,09/25/1994,7,NO,2.1,,,49,,,,,,,
8190056,10/11/1994,10.25,NO,3.1,,,44,,,,,,,
8190056,10/30/1994,7,NO,2.1,,,49,,,,,,,
8190056,04/02/1995,12.08,NO,3.7,,,41,,,,,,,
8190056,04/16/1995,9.5,NO,2.9,,,45,,,,,,,
8190056,04/23/1995,10.25,NO,3.1,,,44,,,,,,,
8190056,04/30/1995,15,NO,4.6,,,38,,,,,,,
8190056,05/07/1995,15.5,NO,4.7,,,38,,,,,,,
8190056,05/15/1995,18.75,NO,5.7,,,35,,,,,,,
8190056,05/22/1995,20,NO,6.1,,,34,,,,,,,
8190056,05/29/1995,10.25,NO,3.1,,,44,,,,,,,
8190056,06/04/1995,9.5,NO,2.9,,,45,,,,,,,
8190056,06/11/1995,7.75,NO,2.4,,,48,,,,,,,
8190056,06/18/1995,9,NO,2.7,,,45,,,,,,,
8190056,06/25/1995,12,NO,3.6,,,41,,,,,,,
8190056,07/02/1995,10,NO,3,,,44,,,,,,,
8190056,07/09/1995,9,NO,2.7,,,45,,,,,,,
8190056,07/16/1995,8.5,NO,2.6,,,46,,,,,,,
8190056,08/13/1995,9.5,NO,2.9,,,45,,,,,,,
8190056,08/20/1995,17,NO,5.2,,,36,,,,,,,
8190056,09/17/1995,9,NO,2.7,,,45,,,,,,,
8190056,03/31/1996,11.33,NO,3.4,,,42,,,,,,,
8190056,04/11/1996,8,NO,2.4,,,47,,,,,,,
8190056,05/11/1996,10,NO,3,,,44,,,,,,,
8190056,05/19/1996,9.5,NO,2.9,,,45,,,,,,,
8190056,06/22/1996,10.5,NO,3.2,,,43,,,,,,,
8190056,07/04/1996,12,NO,3.6,,,41,,,,,,,
8190056,07/14/1996,14.25,NO,4.3,,,39,,,,,,,
8190056,07/21/1996,16.66,NO,5.1,,,37,,,,,,,
1,07/30/1996,,,,3.79,,,,45,,,,,
8190056,08/04/1996,14,NO,4.3,,,39,,,,,,,
8190056,08/11/1996,15.75,NO,4.8,,,37,,,,,,,
8190056,08/20/1996,11.25,NO,3.4,,,42,,,,,,,
1,08/31/1996,,,,,8,,44,,,,,,
8190056,09/01/1996,9,NO,2.7,,,45,,,,,,,
8190056,04/19/1997,13,NO,4,,,40,,,,,,GREEN,1-Beautiful, could not be nicer
8190056,04/27/1997,14.6,NO,4.4,,,39,,,GAUGE,866.51,,GREEN,1-Beautiful, could not be nicer
8190056,05/06/1997,9.5,NO,2.9,,,45,,,GAUGE,866.7,,GREEN,2-Very minor aesthetic problems
8190056,05/16/1997,8.75,NO,2.7,,,46,,,,,,GREEN,2-Very minor aesthetic problems
8190056,05/31/1997,7,NO,2.1,,,49,,,,,,GREEN,2-Very minor aesthetic problems
8190056,06/10/1997,7.25,NO,2.2,,,49,,,,,,GREEN,2-Very minor aesthetic problems
8190056,06/25/1997,15.5,NO,4.7,,,38,,,,,,BROWN,1-Beautiful, could not be nicer
8190056,07/06/1997,16,NO,4.9,,,37,,,,,,BROWN,1-Beautiful, could not be nicer
8190056,07/23/1997,19.25,NO,5.9,,,35,,,,,,GREEN,1-Beautiful, could not be nicer
8190056,07/30/1997,18,NO,5.5,,,35,,,,,,GREEN,1-Beautiful, could not be nicer
8190056,08/15/1997,11,NO,3.3,,,43,,,,,,GREEN,2-Very minor aesthetic problems
8190056,08/26/1997,8.25,NO,2.5,,,47,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8190056,09/17/1997,10.25,NO,3.1,,,44,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8190056,09/30/1997,12.5,NO,3.8,,,41,,,HIGH,,,BROWN,1-Beautiful, could not be nicer
8190056,10/25/1997,11,NO,3.3,,,43,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8190056,11/18/1997,10,NO,3,,,44,,,GAUGE,866.3,CLEAR,,1-Beautiful, could not be nicer
8190056,04/14/1998,8,NO,2.4,,,47,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8190056,04/25/1998,12,NO,3.6,,,41,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8190056,05/15/1998,12,NO,3.6,,,41,,,,,,,
8190056,05/28/1998,10,NO,3,,,44,,,,,,,
8190056,06/19/1998,11.25,NO,3.4,,,42,,,,,,,
8190056,07/09/1998,13.33,NO,4.1,,,40,,,,,,,
8190056,07/26/1998,12,NO,3.6,,,41,,,,,,,
8190056,08/19/1998,12,NO,3.6,,,41,,,,,,,
8190056,09/17/1998,7.25,NO,2.2,,,49,,,,,,,
8190056,11/07/1998,8,NO,2.4,,,47,,,,,,,
8190056,11/15/1998,8.5,NO,2.6,,,46,,,,,,,
8190056,04/14/1999,17.25,NO,5.2,,13,36,48,,HIGH,866.6,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,05/02/1999,9,NO,2.7,,,45,,,HIGH,866.6,CLEAR,GREEN,2-Very minor aesthetic problems
8190056,05/19/1999,4.5,NO,1.4,,,55,,,HIGH,867.16,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8190056,05/28/1999,20,NO,6.1,,,34,,,,,,,
1,05/31/1999,,,,0.96,,,,34,,,,,
8190056,06/07/1999,,,,,36,,56,,,,,,
8190056,06/29/1999,16.5,NO,5,0.57,20,37,51,31,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,07/27/1999,18.5,NO,5.6,1.2,15,35,49,36,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190056,08/31/1999,6,NO,1.8,2.77,16,51,50,43,HIGH,866.25,MURKY,GREEN,2-Very minor aesthetic problems
8190056,03/06/2000,29,NO,8.8,,,29,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,03/31/2000,26,NO,7.9,,,30,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,04/24/2000,17.25,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,05/19/2000,10.5,NO,3.2,,,43,,,GAUGE,867.9,MURKY,BLACK,2-Very minor aesthetic problems
8190056,06/20/2000,15,NO,4.6,1,25,38,53,35,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,07/11/2000,12,NO,3.6,,,41,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8190056,07/25/2000,13,NO,4,1.1,13,40,48,36,GAUGE,866.3,CLEAR,BROWN,2-Very minor aesthetic problems
8190056,08/09/2000,13,NO,4,,,40,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8190056,08/22/2000,13,NO,4,,14,40,49,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8190056,09/14/2000,9,NO,2.7,,,45,,,HIGH,867.1,MURKY,GREEN,2-Very minor aesthetic problems
8190056,09/25/2000,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,10/10/2000,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,11/18/2000,13,NO,4,5.4,23,40,52,48,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,11/24/2000,13,NO,4,,,40,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190056,04/24/2001,17,,5.2,,,36,,,,,,,
8190056,04/28/2001,28.5,,8.7,,,29,,,,,,,
8190056,05/09/2001,22.75,,6.9,,,32,,,,,,,
8190056,05/29/2001,17.92,NO,5.4,,,36,,,,,,,
8190056,06/13/2001,8.75,,2.7,,,46,,,,,,,
8190056,06/26/2001,16.5,,5,,,37,,,,,,,
8190056,07/11/2001,16,,4.9,,,37,,,,,,,
8190056,07/24/2001,14,,4.3,,,39,,,,,,,
8190056,08/14/2001,8.75,,2.7,,,46,,,,,,,
8190056,09/07/2001,4.75,,1.4,,,55,,,,,,,
8190056,10/02/2001,11.5,,3.5,,,42,,,,,,,
8190056,10/17/2001,12,,3.6,,,41,,,,,,,
8190056,11/15/2001,11,,3.3,,,43,,,,,,,
8190056,04/18/2002,14,NO,4.3,,16,39,50,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,05/17/2002,12.25,NO,3.7,,,41,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,05/27/2002,11.5,NO,3.5,,,42,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190056,06/09/2002,10.5,NO,3.2,0.27,17,43,50,25,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,06/23/2002,11,NO,3.3,,,43,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190056,07/13/2002,10.75,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8190056,07/29/2002,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190056,08/14/2002,9.5,NO,2.9,,,45,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
