Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lac La Belle,Waukesha,848800,SE,68,,683171,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190086,08/13/1989,6.5,NO,2,,,50,,,,,,GREEN,2-Very minor aesthetic problems
8190086,08/27/1989,4.5,NO,1.4,,,55,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190086,09/03/1989,5,NO,1.5,,,54,,,,,,GREEN,2-Very minor aesthetic problems
8190086,09/10/1989,5.5,NO,1.7,,,53,,,,,,GREEN,2-Very minor aesthetic problems
8190086,09/16/1989,6.25,NO,1.9,,,51,,,,,,GREEN,2-Very minor aesthetic problems
8190086,09/30/1989,9.5,NO,2.9,,,45,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8190086,04/24/1990,6,NO,1.8,,,51,,,,,,GREEN,
8190086,05/02/1990,9.75,NO,3,,,44,,,,,,GREEN,1-Beautiful, could not be nicer
8190086,05/13/1990,6,NO,1.8,,,51,,,,,,GREEN,2-Very minor aesthetic problems
8190086,05/22/1990,5,NO,1.5,,,54,,,,,,GREEN,2-Very minor aesthetic problems
8190086,05/30/1990,6.5,NO,2,,,50,,,GAUGE,2.2,,GREEN,2-Very minor aesthetic problems
8190086,06/19/1990,4.5,NO,1.4,,,55,,,GAUGE,2,,GREEN,2-Very minor aesthetic problems
8190086,06/30/1990,5.5,NO,1.7,,,53,,,GAUGE,2,,GREEN,2-Very minor aesthetic problems
8190086,07/06/1990,4.75,NO,1.4,,,55,,,GAUGE,1.9,,GREEN,2-Very minor aesthetic problems
8190086,07/21/1990,5.75,NO,1.7,,,52,,,GAUGE,2,,GREEN,2-Very minor aesthetic problems
8190086,08/04/1990,4.5,NO,1.4,,,55,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190086,08/16/1990,5.5,NO,1.7,,,53,,,GAUGE,2,,GREEN,2-Very minor aesthetic problems
8190086,08/25/1990,5.5,NO,1.7,,,53,,,GAUGE,2.1,,GREEN,2-Very minor aesthetic problems
8190086,08/30/1990,7,NO,2.1,,,49,,,GAUGE,2.1,,GREEN,2-Very minor aesthetic problems
8190086,09/10/1990,5,NO,1.5,,,54,,,GAUGE,1.9,,GREEN,3-Enjoyment somewhat impaired (algae)
8190086,09/17/1990,5,NO,1.5,,,54,,,,,,GREEN,2-Very minor aesthetic problems
8190086,09/26/1990,7.5,NO,2.3,,,48,,,GAUGE,2.1,,GREEN,2-Very minor aesthetic problems
8190086,10/11/1990,9,NO,2.7,,,45,,,GAUGE,2.2,CLEAR,BLUE,1-Beautiful, could not be nicer
8190086,10/27/1990,8.75,NO,2.7,,,46,,,,,,GREEN,2-Very minor aesthetic problems
8190086,11/13/1990,11.75,NO,3.6,,,42,,,GAUGE,1.35,,GREEN,1-Beautiful, could not be nicer
8190086,04/18/1991,8,NO,2.4,,,47,,,GAUGE,2.15,,GREEN,2-Very minor aesthetic problems
8190086,04/28/1991,9.5,NO,2.9,,,45,,,GAUGE,2,CLEAR,BLUE,1-Beautiful, could not be nicer
8190086,05/11/1991,10.5,NO,3.2,,,43,,,GAUGE,2.1,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190086,05/21/1991,8.75,NO,2.7,,,46,,,GAUGE,2.1,,GREEN,2-Very minor aesthetic problems
8190086,06/07/1991,7,NO,2.1,,,49,,,GAUGE,2.1,,GREEN,2-Very minor aesthetic problems
