Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Middle Genesee Lake,Waukesha,778300,SE,68,,683253,SE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,09/18/1980,7.2,,2.2,3,,49,,43,,,,,
1,07/11/1996,,,,2.01,,,,40,,,,,
1,08/06/1996,,,,2.34,,,,41,,,,,
1,02/12/1997,,,,,,,,,,,,,
1,04/09/1997,,,,5.6,11,,47,48,,,,,
1,06/09/1997,,,,1.02,9,,45,35,,,,,
1,07/22/1997,,,,1.89,4,,39,40,,,,,
1,08/25/1997,,,,3.8,13,,48,45,,,,,
8188630,02/17/1998,,,,,8,,44,,,,,,
1,06/25/1998,,,,1.78,7,,43,39,,,,,
1,07/27/1998,,,,2.36,8,,44,41,,,,,
1,02/10/1999,,,,,,,,,,,,,
1,04/07/1999,,,,2.14,13,,48,41,,,,,
1,06/02/1999,,,,1.49,,,,38,,,,,
1,07/06/1999,,,,2.07,7,,43,40,,,,,
8188630,08/03/1999,,,,1.15,15,,49,36,,,,,
1,02/15/2000,,,,,10,,46,,,,,,
8188630,04/13/2000,,,,1,11,,47,35,,,,,
1,06/07/2000,,,,1,,,,35,,,,,
1,07/05/2000,,,,1,9,,45,35,,,,,
1,08/09/2000,,,,3,,,,43,,,,,
7000045,08/28/2000,6,NO,1.8,2.8,,51,,43,,,,,4-Would not swim but boating OK (algae)
8188630,02/12/2001,,,,,8,,44,,,,,,
8188630,04/26/2001,,,,4.8,8,,44,47,,,,,
1,06/13/2001,,,,4.8,,,,47,,,,,
1,07/17/2001,,,,2.7,,,,42,,,,,
1,08/15/2001,,,,,,,,,,,,,
1,02/12/2002,,,,,13,,48,,,,,,
8188630,04/11/2002,,,,1,10,,46,35,,,,,
8188630,06/11/2002,,,,0.32,13,,48,26,,,,,
1,07/08/2002,,,,1.51,8,,44,38,,,,,
1,08/07/2002,,,,3.21,13,,48,44,,,,,
8188630,02/20/2003,,,,,7,,43,,,,,,
8188630,05/01/2003,,,,1.81,16,,50,39,,,,,
8188630,06/10/2003,,,,2.89,14,,49,43,,,,,
1,07/08/2003,,,,3.2,12,,47,44,,,,,
1,08/18/2003,,,,2.49,17,,50,42,,,,,
1,02/19/2004,,,,,9,,45,,,,,,
8188630,04/14/2004,,,,0.77,17,,50,33,,,,,
1,06/08/2004,,,,3.69,15,,49,45,,,,,
8188630,07/15/2004,,,,1.52,21,,52,38,,,,,
8188630,08/03/2004,,,,2.48,10,,46,42,,,,,
8188630,02/16/2005,,,,,12,,47,,,,,,
8188630,04/13/2005,,,,1.1,14,,49,36,,,,,
1,06/08/2005,,,,1.16,20,,51,36,,,,,
1,07/14/2005,,,,3.15,13,,48,43,,,,,
1,08/25/2005,,,,3.34,17,,50,44,,,,,
1,02/22/2006,,,,,14,,49,,,,,,
1,04/12/2006,,,,1.87,12,,47,40,,,,,
15899713,05/16/2006,20.5,NO,6.2,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,06/12/2006,,,,1.54,15,,49,38,,,,,
11536881,06/22/2006,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
1,07/13/2006,,,,3.29,34,,55,44,,,,,
1,08/23/2006,,,,3.23,18,,51,44,,,,,
11536881,11/18/2006,29,NO,8.8,,,29,,,HIGH,,CLEAR,BLUE,
11536881,05/19/2007,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
11536881,06/30/2007,12,NO,3.6,,,41,,,HIGH,,MURKY,GREEN,4-Would not swim but boating OK (algae)
11536881,07/30/2007,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
11536881,09/15/2007,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,
11536881,10/23/2007,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,
11536881,04/19/2008,11.5,NO,3.5,,,42,,,HIGH,,CLEAR,BROWN,
11536881,06/05/2008,9.5,NO,2.9,,,45,,,HIGH,,MURKY,BROWN,
11536881,07/21/2008,11,NO,3.3,,,43,,,HIGH,,MURKY,BLUE,
11536881,08/15/2008,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BROWN,
11536881,09/18/2008,10,NO,3,,,44,,,HIGH,,CLEAR,BROWN,
11536881,11/13/2008,16.5,NO,5,,,37,,,HIGH,,CLEAR,BROWN,
11536881,04/18/2009,21.5,NO,6.5,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
11536881,05/18/2009,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
11536881,06/01/2009,18,NO,5.5,,,35,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
11536881,07/04/2009,19,YES,5.8,,,35,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
11536881,08/13/2009,10.25,NO,3.1,,,44,,,HIGH,,,,
11536881,10/30/2009,24.5,YES,7.4,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
11536881,04/11/2011,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
36799158,04/11/2011,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,05/11/2011,15.5,NO,4.7,,,38,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
36799158,05/11/2011,15.5,NO,4.7,,,38,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,05/30/2011,13.25,NO,4,,,40,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
36799158,05/30/2011,13.25,NO,4,,,40,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,06/12/2011,13,NO,4,,,40,,,,,MURKY,BLUE,2-Very minor aesthetic problems
36799158,06/12/2011,13,NO,4,,,40,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
11536881,06/28/2011,12.5,NO,3.8,,,41,,,HIGH,,MURKY,BLUE,2-Very minor aesthetic problems
36799158,06/28/2011,12.5,NO,3.8,,,41,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
11536881,07/12/2011,11.5,NO,3.5,,,42,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
36799158,07/12/2011,11.5,NO,3.5,,,42,,,HIGH,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
11536881,08/05/2011,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
36799158,08/05/2011,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,08/30/2011,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
36799158,08/30/2011,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,09/15/2011,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
36799158,09/15/2011,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
36799158,10/07/2011,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
11536881,10/17/2011,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
11536881,10/27/2011,18.25,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
36799158,10/27/2011,18.25,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
36799158,05/02/2012,22.5,NO,6.8,,,32,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
36799158,05/22/2012,21.5,NO,6.5,,,33,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
36799158,06/12/2012,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
36799158,07/25/2012,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
36799158,08/15/2012,12,NO,3.6,,,41,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
36799158,09/12/2012,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
36799158,10/05/2012,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
11536881,05/08/2013,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,05/22/2013,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,06/12/2013,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
11536881,06/30/2013,7.5,NO,2.3,,,48,,,HIGH,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
11536881,07/17/2013,8,NO,2.4,,,47,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,08/14/2013,10,NO,3,,,44,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,09/14/2013,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,05/18/2014,21.5,NO,6.5,,,33,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,06/08/2014,20,NO,6.1,,,34,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,06/22/2014,9,NO,2.7,,,45,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
11536881,07/15/2014,17.5,NO,5.3,,,36,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
11536881,08/15/2014,19.5,NO,5.9,,,34,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
11536881,05/12/2015,17.25,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,06/18/2015,16.5,NO,5,,,37,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,07/20/2015,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
11536881,10/06/2015,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,
7000045,07/26/2016,9.2,NO,2.8,0.886,13,45,48,34,,,,,
7000045,08/16/2016,3.9,N,1.2,3.41,15.2,58,49,44,,,,,
81537482,08/16/2016,12.7,NO,3.9,,,41,,,,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
