Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Phantom Lake,Waukesha,766000,SE,68,,683259,SE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,09/05/1979,,,,6.6,11,,47,49,,,,,
1,09/10/1980,,,,5,,,,47,,,,,
8190572,06/16/1993,7.75,NO,2.4,5.17,,48,,47,,,,GREEN,2-Very minor aesthetic problems
8190572,09/02/1993,9,NO,2.7,6.08,,45,,48,HIGH,,,GREEN,2-Very minor aesthetic problems
8190572,10/07/1993,7,NO,2.1,10.6,,49,,53,,,,GREEN,2-Very minor aesthetic problems
8190572,04/23/1994,5.5,NO,1.7,,,53,,,,,,GREEN,2-Very minor aesthetic problems
8190572,05/03/1994,6,NO,1.8,,,51,,,,,,GREEN,2-Very minor aesthetic problems
8190572,04/14/1995,9.5,NO,2.9,,,45,,,,,,BLUE/GREEN,2-Very minor aesthetic problems
8190572,04/22/1995,8,NO,2.4,2.77,13,47,48,43,,,,GREEN,2-Very minor aesthetic problems
8190572,04/30/1995,12,NO,3.6,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190572,05/11/1995,14,NO,4.3,,,39,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190572,05/22/1995,14,NO,4.3,,,39,,,,,,GREEN,2-Very minor aesthetic problems
8190572,06/13/1995,9,NO,2.7,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190572,06/29/1995,10,NO,3,,,44,,,,,,GREEN,2-Very minor aesthetic problems
8190572,07/26/1995,7.75,NO,2.4,,,48,,,,,,GREEN,2-Very minor aesthetic problems
8190572,08/29/1995,8,NO,2.4,,,47,,,,,,GREEN,2-Very minor aesthetic problems
8190572,09/15/1995,7.5,NO,2.3,,,48,,,,,,GREEN,2-Very minor aesthetic problems
8190572,10/02/1995,8.25,NO,2.5,,,47,,,,,,GREEN,2-Very minor aesthetic problems
1,06/05/1996,,,,1.06,14,,49,35,,,,,
8190572,06/25/1996,13,NO,4,,,40,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190572,07/03/1996,12,NO,3.6,,,41,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190572,07/11/1996,9.5,NO,2.9,,,45,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190572,10/16/1996,6.5,NO,2,,,50,,,,,,GREEN,2-Very minor aesthetic problems
8190572,04/21/1997,9,NO,2.7,,13,45,48,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8190572,04/28/1997,12,NO,3.6,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190572,05/08/1997,9,NO,2.7,,,45,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190572,08/19/1997,9,NO,2.7,4.53,17,45,50,46,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190572,08/29/1997,6,NO,1.8,,,51,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8190572,09/11/1997,8,NO,2.4,,,47,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8190572,10/30/1997,8.75,NO,2.7,4.79,25,46,53,47,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8190572,05/13/1998,11,NO,3.3,,16,43,50,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8190572,05/29/1998,7.25,NO,2.2,,,49,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8190572,06/23/1998,6.5,NO,2,3.52,8,50,44,44,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8188525,08/26/1999,7.872,,2.4,6,16,47,50,48,,,,,
7000045,09/05/2000,,,,3,13,,48,43,,,,,
7000045,05/10/2001,8.856,NO,2.7,,13,46,48,,,,,,
7000045,08/06/2001,4.9,NO,1.5,2.8,11,54,47,43,,,,,
7000045,08/02/2002,5.2,NO,1.6,11.6,16,53,50,53,,,,,
7000045,04/14/2003,11.152,NO,3.4,,7,42,43,,,,,,
7000045,08/19/2003,5.576,NO,1.7,,16,52,50,,,,,,
7000045,04/14/2004,9.184,NO,2.8,,15,45,49,,,,,,
7000045,08/04/2004,5.2,NO,1.6,,11,53,47,,,,,,
15899248,10/06/2004,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
15899248,05/05/2005,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
15899248,05/08/2005,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
