Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Sunset Lake,Waupaca,265500,NE,69,,693086,CE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,09/23/1992,,,,4.12,9,,45,46,,,,,
1,02/02/1993,,,,,9,,45,,,,,,
1,05/20/1993,,,,4.83,20,,51,47,,,,,
1,08/17/1993,,,,4.06,6,,42,45,,,,,
1,10/06/1993,,,,7.23,8,,44,50,,,,,
1,01/24/1994,,,,,15,,49,,,,,,
1,05/03/1994,,,,5.35,13,,48,47,,,,,
8190880,05/03/1994,9,NO,2.7,,,45,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190880,06/21/1994,11,NO,3.3,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/03/1994,27.9,,8.5,3.89,5,29,41,45,,,,,
8190880,08/03/1994,8.5,NO,2.6,,,46,,,,,,,1-Beautiful, could not be nicer
1,09/22/1994,,,,3.57,5,,41,44,,,,,
8190880,09/22/1994,8,NO,2.4,,,47,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/26/2016,7.1,N,2.2,2.65,10.5,49,46,42,,,,,
125961548,04/29/2017,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
125961548,05/01/2017,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
125961548,06/01/2017,15.5,NO,4.7,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
125961548,07/24/2017,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
125961548,08/28/2017,10,NO,3,,,44,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
09/23/1992,,,16.97,C,0.72,MG/L
02/02/1993,,,1.66,C,1.26,MG/L
05/20/1993,,,14.69,C,11.1,MG/L
08/17/1993,,,24.40,C,0.14,MG/L
10/06/1993,,,12.74,C,0.73,MG/L
01/24/1994,,,1.83,C,11.1,MG/L
05/03/1994,,,10.89,C,11.7,MG/L
08/03/1994,,,24.12,C,0.46,MG/L
09/22/1994,,,21.46,C,0.45,MG/L
07/26/2016,,,27.4,C,0.2,MG/L
04/29/2017,0,FEET,52.3,DEGREES F,,
04/29/2017,1,FEET,52.3,DEGREES F,,
04/29/2017,2,FEET,52.3,DEGREES F,,
04/29/2017,3,FEET,52.5,DEGREES F,,
04/29/2017,4,FEET,52.9,DEGREES F,,
04/29/2017,5,FEET,52.9,DEGREES F,,
04/29/2017,6,FEET,52.9,DEGREES F,,
04/29/2017,7,FEET,52.9,DEGREES F,,
04/29/2017,8,FEET,52.8,DEGREES F,,
04/29/2017,9,FEET,52.8,DEGREES F,,
04/29/2017,10,FEET,52.8,DEGREES F,,
04/29/2017,11,FEET,52.8,DEGREES F,,
04/29/2017,12,FEET,52.8,DEGREES F,,
04/29/2017,13,FEET,52.8,DEGREES F,,
04/29/2017,14,FEET,52.5,DEGREES F,,
04/29/2017,15,FEET,52.1,DEGREES F,,
04/29/2017,16,FEET,52.1,DEGREES F,,
04/29/2017,17,FEET,51.9,DEGREES F,,
04/29/2017,18,FEET,51.6,DEGREES F,,
04/29/2017,19,FEET,51.4,DEGREES F,,
04/29/2017,20,FEET,51.1,DEGREES F,,
04/29/2017,21,FEET,50.5,DEGREES F,,
04/29/2017,22,FEET,50,DEGREES F,,
04/29/2017,23,FEET,49.5,DEGREES F,,
04/29/2017,24,FEET,48.4,DEGREES F,,
04/29/2017,25,FEET,48.4,DEGREES F,,
04/29/2017,26,FEET,48.2,DEGREES F,,
04/29/2017,27,FEET,46.9,DEGREES F,,
04/29/2017,28,FEET,46.2,DEGREES F,,
04/29/2017,29,FEET,45.2,DEGREES F,,
04/29/2017,30,FEET,44.6,DEGREES F,,
04/29/2017,31,FEET,44,DEGREES F,,
04/29/2017,32,FEET,43.7,DEGREES F,,
04/29/2017,33,FEET,43.5,DEGREES F,,
04/29/2017,34,FEET,43.5,DEGREES F,,
