Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
George Lake,Waupaca,265400,NE,69,,693089,CE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,09/23/1992,,,,3.71,10,,46,45,,,,,
1,02/02/1993,,,,,14,,49,,,,,,
1,05/20/1993,,,,3.75,20,,51,45,,,,,
8190880,06/21/1994,8.5,NO,2.6,,,46,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190880,08/03/1994,9,NO,2.7,,,45,,,,,,,1-Beautiful, could not be nicer
8190880,09/22/1994,8,NO,2.4,,,47,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/26/2016,8.1,N,2.5,2.51,14,47,49,42,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
09/23/1992,,,15.69,C,7.85,MG/L
02/02/1993,,,2.06,C,0.58,MG/L
05/20/1993,,,15.15,C,0.69,MG/L
07/26/2016,,,16.8,C,0.2,MG/L



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
09/23/1992,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Upper Waupaca Chain O'Lakes Management Planning
09/23/1992,Data Collectors,LAKE MGT PROJECTS
02/02/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Upper Waupaca Chain O'Lakes Management Planning
02/02/1993,Data Collectors,LAKE MGT PROJECTS
05/20/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Upper Waupaca Chain O'Lakes Management Planning
05/20/1993,Data Collectors,LAKE MGT PROJECTS
06/21/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - George Lake - Deep Hole - Waupaca Co
08/03/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - George Lake - Deep Hole - Waupaca Co
09/22/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - George Lake - Deep Hole - Waupaca Co
07/26/2016,Data Collectors,WAUPACA CHAIN O'LAKES PUBLIC INLAND LAKE P+R: Waupaca Chain of Lakes Management Planning
