Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
McCrossen Lake,Waupaca,265100,NE,69,,693091,CE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/31/1979,,,,2.43,40,,57,42,,,,,
1,05/31/1991,,,,5,11,,47,47,,,,,
1,08/08/1991,,,,4,9,,45,45,,,,,
1,09/05/1991,,,,4,5,,41,45,,,,,
1,02/04/1992,,,,,11,,47,,,,,,
1,05/06/1992,,,,8,10,,46,51,,,,,
1,09/22/1992,,,,5.84,4,,39,48,,,,,
1,02/02/1993,,,,,9,,45,,,,,,
1,05/20/1993,,,,4.18,20,,51,46,,,,,
1,08/17/1993,,,,3.69,9,,45,45,,,,,
8190880,06/21/1994,13.5,NO,4.1,,,40,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190880,08/03/1994,9,NO,2.7,,,45,,,,,,,1-Beautiful, could not be nicer
8190880,09/22/1994,8.5,NO,2.6,,,46,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
81855176,07/13/2013,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/01/2013,15.25,NO,4.6,,,38,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/09/2013,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/16/2013,14,NO,4.3,,,39,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/31/2013,13,NO,4,,,40,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/01/2014,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/08/2014,15.25,NO,4.6,,,38,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/11/2015,11,NO,3.3,,,43,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,09/30/2015,10,NO,3,,,44,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
1,07/26/2016,6.6,N,2,1.92,9.99,50,46,40,,,,,
81855176,08/08/2016,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
81855176,08/31/2016,8.25,NO,2.5,,,47,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
81855176,07/23/2017,7.75,NO,2.4,,,48,,,,,CLEAR,BLUE,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/31/1979,,,,,8.4,MG/L
09/22/1992,,,17.12,C,0.68,MG/L
02/02/1993,,,2.50,C,0.31,MG/L
05/20/1993,,,14.85,C,0.27,MG/L
08/17/1993,,,24.58,C,0.10,MG/L
07/26/2016,,,27.4,C,3.4,MG/L



Start Date,Fieldwork Comment
08/31/1979,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
07/13/2013,Mostly Sunny.
08/01/2013,Winds W at 16 mph. Partly Cloudy. Windy.
08/09/2013,Mostly Sunny. Windy. Winds NW at 9mph
08/16/2013,Mostly Cloudy. Lots of slow no wake boat traffic.
08/31/2013,Sunny. Increased boat traffic due to Labor Day weekend.
09/30/2015,surface water temp 68.7 F
07/23/2017,windy




Start Date,Group Name,Project Name
08/31/1979,Data Collectors,Migrated from STORET Legacy
05/31/1991,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
05/31/1991,Data Collectors,LAKE MGT PROJECTS
08/08/1991,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
08/08/1991,Data Collectors,LAKE MGT PROJECTS
09/05/1991,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
09/05/1991,Data Collectors,LAKE MGT PROJECTS
02/04/1992,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
02/04/1992,Data Collectors,LAKE MGT PROJECTS
05/06/1992,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
05/06/1992,Data Collectors,LAKE MGT PROJECTS
09/22/1992,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
09/22/1992,Data Collectors,LAKE MGT PROJECTS
02/02/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
02/02/1993,Data Collectors,LAKE MGT PROJECTS
05/20/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
05/20/1993,Data Collectors,LAKE MGT PROJECTS
08/17/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
08/17/1993,Data Collectors,LAKE MANAGEMENT PROJECTS
06/21/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
08/03/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
09/22/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
07/13/2013,Brian Zalay,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
08/01/2013,Brian Zalay,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
08/09/2013,Brian Zalay,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
08/16/2013,Brian Zalay,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
08/31/2013,Brian Zalay,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
08/01/2014,Brian Zalay,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
08/08/2014,Brian Zalay,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
08/11/2015,Brian Zalay,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
09/30/2015,Brian Zalay,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
07/26/2016,Data Collectors,WAUPACA CHAIN O'LAKES PUBLIC INLAND LAKE P+R: Waupaca Chain of Lakes Management Planning
08/08/2016,Brian Zalay,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
08/31/2016,Brian Zalay,Citizen Lake Monitoring - Water Quality - McCrossen Lake - Deep Hole  - Waupaca Co
