Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Limekiln Lake,Waupaca,264900,NE,69,,693092,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,02/04/1992,,,,,11,,47,,,,,,
1,09/22/1992,,,,6.32,4,,39,49,,,,,
1,02/02/1993,,,,,7,,43,,,,,,
1,05/20/1993,,,,4.04,20,,51,45,,,,,
1,08/16/1993,,,,3.01,6,,42,43,,,,,
1,10/04/1993,,,,5.16,6,,42,47,,,,,
1,02/15/1994,,,,,14,,49,,,,,,
8190880,05/02/1994,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,05/03/1994,36.1,,11,3.91,13,25,48,45,,,,,
8190880,06/21/1994,15,NO,4.6,,,38,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/03/1994,29.5,,9,3.46,4,28,39,44,,,,,
8190880,08/03/1994,9,NO,2.7,,,45,,,,,,,1-Beautiful, could not be nicer
1,09/22/1994,,,,3.56,7,,43,44,,,,,
8190880,09/22/1994,8,NO,2.4,,,47,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/26/2016,6.4,N,1.9,1.02,8.73,50,45,35,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
09/22/1992,,,17.12,C,0.66,MG/L
02/02/1993,,,2.64,C,0.67,MG/L
05/20/1993,,,14.51,C,10.9,MG/L
08/16/1993,,,24.46,C,0.27,MG/L
10/04/1993,,,12.22,C,0.51,MG/L
02/15/1994,,,0.18,C,12.4,MG/L
05/03/1994,,,10.22,C,12.1,MG/L
08/03/1994,,,23.84,C,0.46,MG/L
09/22/1994,,,21.23,C,0.56,MG/L
07/26/2016,,,27.3,C,0.2,MG/L



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
02/04/1992,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
02/04/1992,Data Collectors,LAKE MGT PROJECTS
09/22/1992,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
09/22/1992,Data Collectors,LAKE MGT PROJECTS
02/02/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
02/02/1993,Data Collectors,LAKE MGT PROJECTS
05/20/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
05/20/1993,Data Collectors,LAKE MGT PROJECTS
08/16/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
08/16/1993,Data Collectors,LAKE MANAGEMENT PROJECTS
10/04/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
10/04/1993,Data Collectors,LAKE MANAGEMENT PROJECTS
02/15/1994,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
02/15/1994,Data Collectors,LAKE MANAGEMENT PROJ - 1994
05/02/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - Limekiln Lake - Deep Hole
05/03/1994,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
05/03/1994,Data Collectors,LAKE MANAGEMENT PROJ - 1994
06/21/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - Limekiln Lake - Deep Hole
08/03/1994,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
08/03/1994,Data Collectors,LAKE MANAGEMENT PROJECTS
08/03/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - Limekiln Lake - Deep Hole
09/22/1994,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Middle Chain O'Lakes Management Planning
09/22/1994,Data Collectors,LAKE MANAGEMENT PROJECTS
09/22/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - Limekiln Lake - Deep Hole
07/26/2016,Data Collectors,WAUPACA CHAIN O'LAKES PUBLIC INLAND LAKE P+R: Waupaca Chain of Lakes Management Planning
