Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Dake Lake,Waupaca,264700,NE,69,,693093,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,09/22/1992,,,,7.66,7,,43,50,,,,,
1,02/03/1993,,,,,6,,42,,,,,,
1,05/19/1993,,,,0.915,20,,51,34,,,,,
1,08/16/1993,,,,3.3,10,,46,44,,,,,
1,10/04/1993,,,,17.6,10,,46,56,,,,,
1,01/24/1994,,,,,13,,48,,,,,,
8190880,05/02/1994,21,YES,6.4,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,05/03/1994,,,,0.726,9,,45,32,,,,,
8190880,06/21/1994,13.5,NO,4.1,,,40,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/03/1994,36.1,,11,3.27,10,25,46,44,,,,,
8190880,08/03/1994,11,NO,3.3,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,09/21/1994,,,,6.76,12,,47,49,,,,,
8190880,09/21/1994,13,NO,4,,,40,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
81855176,07/14/2013,17,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
81855176,08/01/2013,13.5,NO,4.1,,,40,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/13/2013,15,NO,4.6,,,38,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/31/2013,15,NO,4.6,,,38,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/01/2014,15.75,NO,4.8,,,37,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/08/2014,16,NO,4.9,,,37,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/16/2014,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,09/28/2014,20,NO,6.1,,,34,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/13/2015,13.5,NO,4.1,,,40,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,09/30/2015,15,NO,4.6,,,38,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
1,07/26/2016,6.6,N,2,3.31,15,50,49,44,,,,,
81855176,08/07/2016,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
81855176,08/31/2016,12.5,NO,3.8,,,41,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
150437293,05/24/2017,,,,,,,,,,,,,
1,05/26/2017,,,,,,,,,,,,,
150437293,05/26/2017,,,,,,,,,,,,,
150437293,05/28/2017,,,,,,,,,,,,,
150437293,05/30/2017,,,,,,,,,,,,,
150437293,06/06/2017,,,,,,,,,,,,,
1,06/15/2017,,,,,,,,,,,,,
150437293,06/15/2017,,,,,,,,,,,,,
150437293,06/21/2017,,,,,,,,,,,,,
150437293,06/29/2017,,,,,,,,,,,,,
150437293,08/11/2017,,,,,,,,,,,,,
81855176,08/19/2017,12.25,NO,3.7,,,41,,,,,MURKY,BLUE,3-Enjoyment somewhat impaired (algae)



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
09/22/1992,,,16.61,C,8.47,MG/L
02/03/1993,,,2.91,C,0.68,MG/L
05/19/1993,,,15.82,C,8.18,MG/L
08/16/1993,,,19.54,C,0.47,MG/L
10/04/1993,,,11.96,C,10.1,MG/L
01/24/1994,,,5.97,C,2.41,MG/L
05/03/1994,,,10.00,C,10.5,MG/L
08/03/1994,,,20.68,C,0.48,MG/L
09/21/1994,,,20.09,C,5.74,MG/L
07/26/2016,,,23.4,C,0.2,MG/L
05/24/2017,1,FEET,15.2,DEGREES C,,
05/24/2017,3,FEET,15.3,DEGREES C,,
05/24/2017,6,FEET,15.3,DEGREES C,,
05/24/2017,9,FEET,15.2,DEGREES C,,
05/24/2017,12,FEET,15,DEGREES C,,
05/24/2017,15,FEET,14.9,DEGREES C,,
05/24/2017,18,FEET,14.7,DEGREES C,,
05/24/2017,21,FEET,14.1,DEGREES C,,
05/24/2017,24,FEET,13.2,DEGREES C,,
05/24/2017,,,15.0,C,,
05/26/2017,,,17.2,C,,
05/28/2017,1,FEET,21.3,DEGREES C,,
05/28/2017,3,FEET,21,DEGREES C,,
05/28/2017,5,FEET,21.9,DEGREES C,,
05/28/2017,7,FEET,19.7,DEGREES C,,
05/28/2017,9,FEET,17.6,DEGREES C,,
05/28/2017,11,FEET,16.6,DEGREES C,,
05/28/2017,13,FEET,16.1,DEGREES C,,
05/28/2017,15,FEET,15.8,DEGREES C,,
05/28/2017,17,FEET,15.5,DEGREES C,,
05/28/2017,19,FEET,15.2,DEGREES C,,
05/28/2017,21,FEET,14.9,DEGREES C,,
05/28/2017,23,FEET,14.5,DEGREES C,,
05/28/2017,25,FEET,14.1,DEGREES C,,
05/28/2017,,,21.0,C,,
05/30/2017,1,FEET,18.1,DEGREES C,,
05/30/2017,3,FEET,18.1,DEGREES C,,
05/30/2017,6,FEET,18.1,DEGREES C,,
05/30/2017,9,FEET,18.1,DEGREES C,,
05/30/2017,12,FEET,15.8,DEGREES C,,
05/30/2017,15,FEET,15.4,DEGREES C,,
05/30/2017,18,FEET,15.1,DEGREES C,,
05/30/2017,21,FEET,14.6,DEGREES C,,
05/30/2017,24,FEET,14,DEGREES C,,
05/30/2017,,,18.1,C,,
06/06/2017,1,FEET,22.7,DEGREES C,,
06/06/2017,3,FEET,22.6,DEGREES C,,
06/06/2017,6,FEET,21.8,DEGREES C,,
06/06/2017,9,FEET,19.9,DEGREES C,,
06/06/2017,12,FEET,17.7,DEGREES C,,
06/06/2017,15,FEET,16.8,DEGREES C,,
06/06/2017,18,FEET,16.1,DEGREES C,,
06/06/2017,21,FEET,15.3,DEGREES C,,
06/06/2017,24,FEET,14.7,DEGREES C,,
06/06/2017,,,22.7,C,,
06/15/2017,1,FEET,23.5,DEGREES C,,
06/15/2017,3,FEET,23.3,DEGREES C,,
06/15/2017,6,FEET,23.2,DEGREES C,,
06/15/2017,9,FEET,22.9,DEGREES C,,
06/15/2017,12,FEET,19.7,DEGREES C,,
06/15/2017,15,FEET,18.1,DEGREES C,,
06/15/2017,18,FEET,17.2,DEGREES C,,
06/15/2017,21,FEET,16.5,DEGREES C,,
06/15/2017,24,FEET,15.7,DEGREES C,,
06/15/2017,,,15.7 AT 24,C,,
06/21/2017,1,FEET,22.1,DEGREES C,,
06/21/2017,3,FEET,22,DEGREES C,,
06/21/2017,6,FEET,21.9,DEGREES C,,
06/21/2017,9,FEET,21.9,DEGREES C,,
06/21/2017,12,FEET,21.5,DEGREES C,,
06/21/2017,15,FEET,19.1,DEGREES C,,
