Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Beasley Lake,Waupaca,262300,NE,69,,693106,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190622,06/30/1990,16,NO,4.9,,,37,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190622,07/21/1990,17,NO,5.2,,,36,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190622,08/11/1990,17,NO,5.2,,,36,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190622,09/15/1990,16,NO,4.9,,,37,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190622,10/06/1990,17,NO,5.2,,,36,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
1,02/04/1992,,,,,17,,50,,,,,,
1,09/22/1992,,,,4.16,14,,49,46,,,,,
1,02/03/1993,,,,,4,,39,,,,,,
1,05/20/1993,73.5,,22.4,0.9,20,15,51,34,,,,,
1,08/16/1993,,,,2.65,12,,47,42,,,,,
1,10/04/1993,,,,2.87,10,,46,43,,,,,
1,02/15/1994,,,,,38,,56,,,,,,
8190880,05/02/1994,16,NO,4.9,,,37,,,,,CLEAR,BLUE,
1,05/03/1994,52.5,,16,2.04,10,20,46,40,,,,,
8190880,06/21/1994,23,NO,7,,,32,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/01/1994,41,,12.5,4.09,13,24,48,45,,,,,
8190880,08/02/1994,12.5,NO,3.8,,,41,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,09/21/1994,,,,4.26,10,,46,46,,,,,
8190880,09/21/1994,14,NO,4.3,,,39,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/26/2016,20.9,N,6.4,0.633,14.8,33,49,31,,,,,
81855176,08/07/2016,18.75,NO,5.7,,,35,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/31/2016,18.25,NO,5.5,,,35,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,06/04/2017,25,NO,7.6,,,31,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,07/02/2017,30,NO,9.1,,,28,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,07/22/2017,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/12/2017,18,NO,5.5,,,35,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,08/24/2017,19.75,NO,6,,,34,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
81855176,09/01/2017,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,09/10/2017,18.75,NO,5.7,,,35,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
81855176,09/15/2017,19.75,NO,6,,,34,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
09/22/1992,,,16.00,C,0.54,MG/L
02/03/1993,,,1.60,C,0.33,MG/L
05/20/1993,,,14.23,C,0.68,MG/L
08/16/1993,,,22.01,C,0.10,MG/L
10/04/1993,,,11.63,C,0.49,MG/L
02/15/1994,,,0.76,C,0.51,MG/L
05/03/1994,,,11.40,C,0.54,MG/L
08/01/1994,,,23.37,C,0.37,MG/L
09/21/1994,,,20.62,C,0.76,MG/L
07/26/2016,,,26.4,C,0.1,MG/L



Start Date,Fieldwork Comment
06/30/1990,Clear or slightly.  Overcast.  Mid-afternoon readings for all of the readings.    
07/02/2017,secchi depth was greater than 30 feet but ran out of rope
09/01/2017,perception rating was between a 2 and 3




Start Date,Group Name,Project Name
06/30/1990,Karl Spiegelberg,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
07/21/1990,Karl Spiegelberg,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
08/11/1990,Karl Spiegelberg,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
09/15/1990,Karl Spiegelberg,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
10/06/1990,Karl Spiegelberg,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
02/04/1992,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Lower Chain O Lakes Management Planning
02/04/1992,Data Collectors,LAKE MGT PROJECTS
09/22/1992,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Lower Chain O Lakes Management Planning
09/22/1992,Data Collectors,LAKE MGT PROJECTS
02/03/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Lower Chain O Lakes Management Planning
02/03/1993,Data Collectors,LAKE MGT PROJECTS
05/20/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Lower Chain O Lakes Management Planning
05/20/1993,Data Collectors,LAKE MGT PROJECTS
08/16/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Lower Chain O Lakes Management Planning
08/16/1993,Data Collectors,LAKE MANAGEMENT PROJECTS
10/04/1993,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Lower Chain O Lakes Management Planning
10/04/1993,Data Collectors,LAKE MANAGEMENT PROJECTS
02/15/1994,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Lower Chain O Lakes Management Planning
02/15/1994,Data Collectors,LAKE MANAGEMENT PROJ - 1994
05/02/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
05/03/1994,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Lower Chain O Lakes Management Planning
05/03/1994,Data Collectors,LAKE MANAGEMENT PROJ - 1994
06/21/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
08/01/1994,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Lower Chain O Lakes Management Planning
08/01/1994,Data Collectors,LAKE MANAGEMENT PROJECTS
08/02/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
09/21/1994,Data Collectors,CHAIN O'LAKES PROTECTIVE ASSOCIATION: Waupaca Lower Chain O Lakes Management Planning
09/21/1994,Data Collectors,LAKE MANAGEMENT PROJECTS
09/21/1994,Ken Hurlbut,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
07/26/2016,Data Collectors,WAUPACA CHAIN O'LAKES PUBLIC INLAND LAKE P+R: Waupaca Chain of Lakes Management Planning
08/07/2016,Brian Zalay,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
08/31/2016,Brian Zalay,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
06/04/2017,Brian Zalay,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
07/02/2017,Brian Zalay,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
07/22/2017,Brian Zalay,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
08/12/2017,Brian Zalay,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
08/24/2017,Brian Zalay,Citizen Lake Monitoring - Water Quality - Beasley Lake - Waupaca Co - Deep Hole
