Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Stratton Lake,Waupaca,259600,NE,69,,693180,CE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190171,06/13/1991,10.75,NO,3.3,,,43,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,06/29/1991,14.5,NO,4.4,,,39,,,,,CLEAR,,1-Beautiful, could not be nicer
8190171,07/10/1991,13.25,NO,4,,,40,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,07/26/1991,12.25,NO,3.7,,,41,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,08/09/1991,13.75,NO,4.2,,,39,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,08/28/1991,13.25,NO,4,,,40,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190171,09/05/1991,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190171,09/20/1991,14,NO,4.3,,,39,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,10/07/1991,15.25,NO,4.6,,,38,,,,,CLEAR,,1-Beautiful, could not be nicer
8190171,10/19/1991,12.5,NO,3.8,,,41,,,,,CLEAR,,1-Beautiful, could not be nicer
8190171,06/01/1992,9.5,NO,2.9,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190171,06/16/1992,7,NO,2.1,,,49,,,,,,GREEN,2-Very minor aesthetic problems
8190171,06/29/1992,11,NO,3.3,,,43,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,07/11/1992,12,NO,3.6,,,41,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,07/24/1992,16.5,NO,5,,,37,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,08/11/1992,15,NO,4.6,,,38,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,08/25/1992,14.5,NO,4.4,,,39,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,09/08/1992,16.25,NO,4.9,,,37,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,09/19/1992,16,NO,4.9,,,37,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,10/04/1992,15.75,NO,4.8,,,37,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,05/15/1993,15,YES,4.6,,,38,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,05/26/1993,15,YES,4.6,,,38,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,06/16/1993,18,NO,5.5,,,35,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,06/22/1993,12.5,NO,3.8,,,41,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,07/07/1993,15.25,NO,4.6,,,38,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,07/23/1993,14.5,NO,4.4,,,39,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,08/05/1993,16.5,NO,5,,,37,,,,,,GREEN,2-Very minor aesthetic problems
8190171,08/18/1993,16,NO,4.9,,,37,,,,,,GREEN,2-Very minor aesthetic problems
8190171,09/02/1993,15.75,NO,4.8,,,37,,,,,,GREEN,2-Very minor aesthetic problems
8190171,09/17/1993,17.5,NO,5.3,,,36,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,05/23/1994,11.5,NO,3.5,,,42,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,06/13/1994,12.5,NO,3.8,,,41,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,06/27/1994,15.25,NO,4.6,,,38,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,07/13/1994,13,NO,4,,,40,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,07/25/1994,10.5,NO,3.2,,,43,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,08/09/1994,11.25,NO,3.4,,,42,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,08/21/1994,14.25,NO,4.3,,,39,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,09/02/1994,14.5,NO,4.4,,,39,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,09/17/1994,15,NO,4.6,,,38,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,09/30/1994,16.5,NO,5,,,37,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,10/17/1994,13.25,NO,4,,,40,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,05/06/1995,14,NO,4.3,,,39,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,05/18/1995,9.5,NO,2.9,,,45,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,06/02/1995,11,NO,3.3,,,43,,,,,,GREEN,2-Very minor aesthetic problems
8190171,06/16/1995,10,NO,3,,,44,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,07/03/1995,12.5,NO,3.8,,,41,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,07/18/1995,11.75,NO,3.6,,,42,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,07/31/1995,9,NO,2.7,,,45,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,08/12/1995,9.5,NO,2.9,,,45,,,,,,GREEN,1-Beautiful, could not be nicer
8191143,08/26/1995,10.5,NO,3.2,,,43,,,,,,GREEN,2-Very minor aesthetic problems
8191143,09/08/1995,14.75,NO,4.5,,,38,,,,,,GREEN,1-Beautiful, could not be nicer
8191143,09/26/1995,15.75,NO,4.8,,,37,,,,,,GREEN,1-Beautiful, could not be nicer
8191143,10/08/1995,13.75,NO,4.2,,,39,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,05/05/1996,9,NO,2.7,,,45,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,05/27/1996,10.75,NO,3.3,,,43,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,06/11/1996,7.5,NO,2.3,,,48,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,06/27/1996,8.5,NO,2.6,,,46,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,07/05/1996,11.25,NO,3.4,,,42,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,07/20/1996,13.5,NO,4.1,,,40,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,08/02/1996,15.5,NO,4.7,,,38,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,08/16/1996,15.5,NO,4.7,,,38,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,08/31/1996,14.75,NO,4.5,,,38,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,09/17/1996,18.75,YES,5.7,,,35,,,,,,GREEN,1-Beautiful, could not be nicer
8190171,10/13/1996,16,YES,4.9,,,37,,,,,,,
8190171,04/25/1997,17,NO,5.2,,,36,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,05/23/1997,11,NO,3.3,,,43,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,06/09/1997,16.25,NO,4.9,,,37,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,06/23/1997,17.5,NO,5.3,,,36,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,07/07/1997,16.75,NO,5.1,,,37,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,07/22/1997,14.5,NO,4.4,,,39,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,08/03/1997,10.5,NO,3.2,,,43,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,08/18/1997,16,NO,4.9,,,37,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,09/02/1997,15.25,NO,4.6,,,38,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,09/14/1997,16.5,NO,5,,,37,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,09/26/1997,18.25,NO,5.5,,,35,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,10/15/1997,19.25,NO,5.9,,,35,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,05/05/1998,11.25,NO,3.4,,,42,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,06/05/1998,12.75,NO,3.9,,,40,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,06/22/1998,11.25,NO,3.4,,,42,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,07/02/1998,11.25,NO,3.4,,,42,,,NO CHANGE,,MURKY,GREEN,2-Very minor aesthetic problems
8190171,07/16/1998,8.75,NO,2.7,,,46,,,NO CHANGE,,MURKY,GREEN,1-Beautiful, could not be nicer
8190171,08/01/1998,14,NO,4.3,,,39,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,08/13/1998,13.25,NO,4,,,40,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,08/29/1998,13.5,NO,4.1,,,40,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,09/12/1998,13.5,NO,4.1,,,40,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,10/01/1998,10,NO,3,,,44,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,10/16/1998,15.5,NO,4.7,,,38,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,04/24/1999,11,NO,3.3,,,43,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,05/09/1999,9.5,NO,2.9,,,45,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,05/22/1999,7,NO,2.1,,,49,,,NO CHANGE,,MURKY,GREEN,2-Very minor aesthetic problems
8190171,06/02/1999,7,NO,2.1,,,49,,,NO CHANGE,,MURKY,GREEN,2-Very minor aesthetic problems
8190171,06/18/1999,15.25,NO,4.6,,,38,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,07/08/1999,12.5,NO,3.8,,,41,,,NO CHANGE,,MURKY,GREEN,1-Beautiful, could not be nicer
8190171,07/19/1999,9,NO,2.7,,,45,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,08/03/1999,10,NO,3,,,44,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,08/14/1999,13,NO,4,,,40,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,08/28/1999,12,NO,3.6,,,41,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,10/01/1999,14,NO,4.3,,,39,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,10/26/1999,17,NO,5.2,,,36,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190171,05/30/2000,11,NO,3.3,,,43,,,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8189044,06/23/2000,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,
8189044,06/30/2000,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,
8189044,08/12/2000,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,
8189044,09/05/2000,12,NO,3.6,,,41,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189044,04/28/2001,12,YES,3.6,,,41,,,NORMAL,,CLEAR,GREEN,
8189044,05/18/2001,10,NO,3,,,44,,,NORMAL,,MURKY,GREEN,
8189044,06/15/2001,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,
8189044,07/14/2001,12,YES,3.6,,,41,,,NORMAL,,CLEAR,GREEN,
8189044,08/17/2001,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189044,05/14/2002,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,
8189044,06/17/2002,11,NO,3.3,,,43,,,NORMAL,,CLEAR,GREEN,
8189044,07/23/2002,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,
8189044,08/20/2002,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,
8189044,06/14/2003,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,
8189044,06/21/2003,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,
8189044,07/29/2003,8,NO,2.4,,,47,,,NORMAL,,CLEAR,GREEN,
8189044,08/09/2003,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,
8189044,05/18/2004,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189044,07/10/2004,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,
8189044,07/31/2004,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,
8189044,08/14/2004,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,
8189044,09/14/2004,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,
8189044,05/30/2005,12,NO,3.6,,,41,,,NORMAL,3,CLEAR,GREEN,1-Beautiful, could not be nicer
8189044,06/28/2005,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189044,07/26/2005,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189044,08/21/2005,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189044,09/10/2005,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189044,05/29/2006,23,NO,7,,,32,,,HIGH,,CLEAR,GREEN,
8189044,06/03/2006,23,NO,7,,,32,,,HIGH,,CLEAR,GREEN,
8189044,06/18/2006,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,
8189044,07/01/2006,14,NO,4.3,,,39,,,HIGH,,CLEAR,GREEN,
8189044,07/08/2006,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,
8189044,07/28/2006,14,NO,4.3,,,39,,,HIGH,,CLEAR,GREEN,
8189044,08/20/2006,14,NO,4.3,,,39,,,HIGH,,CLEAR,GREEN,
8189044,08/25/2006,16,NO,4.9,,,37,,,HIGH,,MURKY,GREEN,
8189044,05/18/2007,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,
8189044,06/29/2007,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,
8189044,07/07/2007,14,NO,4.3,,,39,,,,,CLEAR,GREEN,
8189044,07/17/2007,10,NO,3,,,44,,,,,CLEAR,GREEN,
8189044,08/11/2007,14,NO,4.3,,,39,,,,,CLEAR,GREEN,
8189044,08/18/2007,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,
8189044,05/24/2008,13,NO,4,,,40,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189044,06/14/2008,17,NO,5.2,,,36,,,HIGH,,CLEAR,GREEN,5-Enjoyment substantially impaired (algae)
8189044,07/12/2008,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189044,08/02/2008,21,NO,6.4,,,33,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189044,08/09/2008,17,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189044,06/20/2009,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189044,08/13/2009,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189044,06/27/2010,11,NO,3.3,,,43,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189044,07/02/2010,9,NO,2.7,,,45,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189044,07/03/2010,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189044,07/31/2010,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189044,08/22/2010,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189044,09/05/2010,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189044,05/28/2011,14,YES,4.3,,,39,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189044,06/11/2011,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189044,07/02/2011,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
