Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Pearl Lake,Waushara,195400,NE,70,,703014,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/02/1976,,,,,19,,51,,,,,,
1,05/13/1976,19.7,,6,,,34,,,,,,,
1,08/12/1976,,,,,,,,,,,,,
1,11/16/1976,,,,,60,,60,,,,,,
8190012,05/26/1996,30,NO,9.1,,,28,,,HIGH,,,,1-Beautiful, could not be nicer
8190012,06/29/1996,26,NO,7.9,,,30,,,HIGH,,,GREEN,1-Beautiful, could not be nicer
8190012,07/07/1996,27,NO,8.2,,,30,,,HIGH,,,GREEN,1-Beautiful, could not be nicer
1,08/13/1996,,,,1.38,15,,49,37,,,,,
8189771,08/13/1996,15.5,NO,4.7,,,38,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
1,10/15/1996,,,,2.68,9,,45,42,,,,,
8189771,10/15/1996,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,04/25/1997,23.5,NO,7.1,,8,32,44,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8190012,05/11/1997,30,NO,9.1,,,28,,,NORMAL,,,GREEN,1-Beautiful, could not be nicer
8189771,06/17/1997,29,NO,8.8,1.23,5,29,41,36,,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,07/11/1997,24,NO,7.3,1.54,12,31,47,38,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189771,08/18/1997,24,NO,7.3,1.97,8,31,44,40,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,10/15/1997,16,NO,4.9,3.88,0,37,,45,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,04/18/1998,30,NO,9.1,,6,28,42,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
