Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Huron,Waushara,994900,NE,70,,703026,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,11/05/1980,,,,8,,,,51,,,,,
1,02/25/1981,,,,,20,,51,,,,,,
1,04/27/1981,,,,,20,,51,,,,,,
1,07/28/1981,,,,,,,,,,,,,
1,10/27/1981,,,,,20,,51,,,,,,
1,02/22/1982,,,,,20,,51,,,,,,
1,05/12/1982,,,,,20,,51,,,,,,
8190618,07/12/1987,21,NO,6.4,,,33,,,,,CLEAR,BLUE,
8190618,07/18/1987,15,NO,4.6,,,38,,,,,CLEAR,BLUE,
8190618,07/25/1987,16,NO,4.9,,,37,,,,,CLEAR,BLUE,
8190618,08/02/1987,16,NO,4.9,,,37,,,,,CLEAR,BLUE,
8190618,08/09/1987,14,NO,4.3,,,39,,,,,CLEAR,BLUE,
8190618,08/16/1987,16,NO,4.9,,,37,,,,,,GREEN,
8190618,08/22/1987,18,NO,5.5,,,35,,,,,,GREEN,
8190618,09/06/1987,13,NO,4,,,40,,,,,,GREEN,
8190618,09/13/1987,12,NO,3.6,,,41,,,,,,GREEN,
8190618,09/20/1987,13,NO,4,,,40,,,,,,GREEN,
8190618,09/27/1987,1,NO,0.3,,,77,,,,,,GREEN,
8190618,10/10/1987,11.5,NO,3.5,,,42,,,,,,GREEN,
8190618,04/30/1988,17.25,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190618,05/14/1988,19,NO,5.8,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190618,05/21/1988,18,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190618,06/12/1988,12,NO,3.6,,,41,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190618,06/19/1988,13,NO,4,,,40,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190618,06/26/1988,16,NO,4.9,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190618,07/03/1988,13.5,NO,4.1,,,40,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190618,07/09/1988,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190618,07/16/1988,18,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190618,07/23/1988,18,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189679,07/30/1988,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189679,08/20/1988,20,NO,6.1,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189679,09/05/1988,11,NO,3.3,,,43,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189679,09/18/1988,7,NO,2.1,,,49,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189679,09/25/1988,7,NO,2.1,,,49,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189679,10/09/1988,6.5,YES,2,,,50,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189679,05/07/1989,4,NO,1.2,,,57,,,,,,BROWN,
8189679,05/14/1989,5.5,NO,1.7,,,53,,,,,,GREEN,
8189679,05/21/1989,6,NO,1.8,,,51,,,,,,GREEN,
8189679,05/28/1989,9.5,NO,2.9,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8189679,06/10/1989,17.5,NO,5.3,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189679,06/18/1989,12.5,NO,3.8,,,41,,,,,,GREEN,1-Beautiful, could not be nicer
8189679,06/24/1989,9,NO,2.7,,,45,,,,,,GREEN,1-Beautiful, could not be nicer
8189679,07/02/1989,5,NO,1.5,,,54,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189679,07/15/1989,10,NO,3,,,44,,,,,,GREEN,1-Beautiful, could not be nicer
8189679,07/30/1989,5.2,NO,1.6,,,53,,,,,,GREEN,2-Very minor aesthetic problems
8189679,08/20/1989,9,NO,2.7,,,45,,,,,,GREEN,2-Very minor aesthetic problems
