Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Hills Lake,Waushara,105200,NE,70,,703031,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189596,08/28/1995,16,NO,4.9,,,37,,,SAME AS LAST MONTH,,,GREEN,1-Beautiful, could not be nicer
1,02/28/1996,,,,,10,,46,,,,,,
8189596,05/04/1996,26,NO,7.9,,,30,,,HIGH. UP 6" FROM LAST YEAR.,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,05/08/1996,22,,6.7,0.97,8,33,44,35,,,,,
8189596,06/13/1996,14,NO,4.3,,,39,,,HIGH-SAME AS LAST MONTH,,,GREEN,2-Very minor aesthetic problems
1,06/19/1996,14,,4.27,2.69,,39,,42,,,,,
8189596,07/21/1996,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
1,07/29/1996,10,,3,2.34,8,44,44,41,,,,,
8189596,08/01/1996,11,NO,3.3,,,43,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189731,08/20/1996,8,NO,2.4,,,47,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189596,08/27/1996,12,NO,3.6,,,41,,,HIGH, MAINTAINED LEVEL THROUGH SUMMER AGAIN,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189731,09/02/1996,11,NO,3.3,,,43,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
1,09/12/1996,10.5,,3.2,2.58,4,43,39,42,,,,,
8189731,10/06/1996,13,NO,4,,,40,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
