Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Long Lake,Waushara,191100,NE,70,,703056,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/07/1979,,,,21.42,15,,49,58,,,,,
8191029,05/16/1987,15,NO,4.6,,,38,,,,,CLEAR,BLUE,
8190251,05/26/1987,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,
8190251,06/15/1987,15,NO,4.6,,,38,,,,,CLEAR,BLUE,
8191029,06/30/1987,15.25,NO,4.6,,,38,,,,,CLEAR,BLUE,
8191029,07/05/1987,13,NO,4,,,40,,,,,CLEAR,BLUE,
8191029,07/08/1987,15,NO,4.6,,,38,,,,,CLEAR,BLUE,
8191029,07/23/1987,15.25,NO,4.6,,,38,,,,,CLEAR,BLUE,
8191029,08/05/1987,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,
8191029,08/19/1987,15,NO,4.6,,,38,,,,,CLEAR,BLUE,
8191029,09/01/1987,15.25,NO,4.6,,,38,,,,,CLEAR,BLUE,
8190612,10/12/1987,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,
8190612,11/14/1987,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,
8189607,04/21/1988,15,NO,4.6,,,38,,,,,,BLUE,
8189607,05/21/1988,13,NO,4,,,40,,,,,CLEAR,BLUE,
8191029,06/02/1988,15,NO,4.6,,,38,,,,,CLEAR,BLUE,
8191029,06/09/1988,13.5,NO,4.1,,,40,,,,,CLEAR,BLUE,
8191029,06/16/1988,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,
8191029,06/23/1988,13,NO,4,,,40,,,,,CLEAR,BLUE,
8191029,06/30/1988,14,NO,4.3,,,39,,,,,CLEAR,BLUE,
8190251,07/05/1988,10.5,NO,3.2,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190251,07/17/1988,10.5,NO,3.2,,,43,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190251,07/31/1988,14.66,NO,4.5,,,38,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190251,08/21/1988,10.5,NO,3.2,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190612,09/02/1988,8.5,NO,2.6,,,46,,,,,CLEAR,BLUE,
8190612,09/12/1988,9.5,NO,2.9,,,45,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190612,10/03/1988,9.75,NO,3,,,44,,,,,,GREEN,
8190612,11/11/1988,11.1,NO,3.4,,,42,,,,,CLEAR,BLUE,
8190251,05/29/1989,12.5,NO,3.8,,,41,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190251,06/11/1989,13.5,NO,4.1,,,40,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
