Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Pleasant Lake,Waushara,106900,NE,70,,703057,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189813,06/23/1991,4.25,NO,1.3,,,56,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,07/02/1991,7,NO,2.1,,,49,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,07/06/1991,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189813,07/13/1991,22,NO,6.7,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189813,07/19/1991,23,NO,7,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189813,08/10/1991,20,NO,6.1,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189813,08/23/1991,10,NO,3,,,44,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,09/08/1991,13,NO,4,,,40,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,05/24/1992,20,NO,6.1,,,34,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189813,05/31/1992,20,NO,6.1,,,34,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189813,06/27/1992,8,NO,2.4,,,47,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,07/04/1992,9.5,NO,2.9,,,45,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,07/09/1992,11,NO,3.3,,,43,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,08/08/1992,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189813,08/23/1992,19.5,NO,5.9,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189813,09/06/1992,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189813,04/25/1993,20,NO,6.1,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189813,05/08/1993,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189813,05/31/1993,27,NO,8.2,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189813,06/14/1993,23.5,YES,7.1,1.55,,32,,38,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189813,07/04/1993,11.5,NO,3.5,,,42,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,07/11/1993,8.5,NO,2.6,,,46,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,08/13/1993,8,NO,2.4,,,47,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,08/21/1993,13,NO,4,,,40,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,08/28/1993,15,NO,4.6,2.15,,38,,41,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,10/03/1993,14,NO,4.3,3.28,,39,,44,HIGH,,,GREEN,2-Very minor aesthetic problems
8189813,07/04/1994,7.5,NO,2.3,,,48,,,HIGH,,,GREEN,4-Would not swim but boating OK (algae)
8189813,07/22/1994,13.5,NO,4.1,,,40,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189813,07/27/1994,18.5,NO,5.6,,,35,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
1,09/25/1994,,,,,12,,47,,,,,,
8189813,09/25/1994,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189813,06/26/1995,22,NO,6.7,,,33,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189813,06/27/1995,22,NO,6.7,,,33,,,NORMAL,,,,2-Very minor aesthetic problems
8189813,08/02/1995,15,NO,4.6,0.73,8,38,44,32,HIGH BUT DROPPING,,,BLUE/GREEN,2-Very minor aesthetic problems
8189813,09/24/1995,9.5,NO,2.9,5.12,9,45,45,47,DROPPING BUT STILL ABOVE AVERAGE,,,GREEN,3-Enjoyment somewhat impaired (algae)
1,06/02/1996,,,,3.2,14,,49,44,,,,,
8189813,06/02/1996,17,NO,5.2,,,36,,,,,,GREEN,2-Very minor aesthetic problems
1,07/07/1996,,,,1.85,8,,44,39,,,,,
1,08/06/1996,,,,3.02,9,,45,43,,,,,
8189539,10/12/1996,14.5,NO,4.4,6,12,39,47,48,GAUGE,.88,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,11/03/1996,15.25,NO,4.6,,,38,,,GAUGE,.81,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,05/11/1997,16.5,NO,5,,,37,,,GAUGE,.78,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,05/31/1997,16,NO,4.9,,,37,,,GAUGE,.62,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,06/22/1997,23.25,NO,7.1,1.15,10,32,46,36,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,07/20/1997,16,NO,4.9,2.58,18,37,51,42,,,CLEAR,GREEN,2-Very minor aesthetic problems
8189539,08/02/1997,13.5,NO,4.1,,,40,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8189539,08/27/1997,13.25,NO,4,2.61,17,40,50,42,,,CLEAR,GREEN,2-Very minor aesthetic problems
8189539,09/27/1997,13,NO,4,,,40,,,,,,,
8189539,10/25/1997,11.75,NO,3.6,4.9,23,42,52,47,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189539,04/18/1998,12,NO,3.6,,16,41,50,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,05/04/1998,19.5,NO,5.9,,,34,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,06/13/1998,17,NO,5.2,5.77,7,36,43,48,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,06/26/1998,13.5,NO,4.1,,,40,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,07/12/1998,11.5,NO,3.5,2.48,11,42,47,42,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189539,08/09/1998,11.5,NO,3.5,3.66,7,42,43,45,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8189539,09/26/1998,6,NO,1.8,,,51,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189539,10/10/1998,6.25,NO,1.9,10.9,,51,,53,NO CHANGE,,MURKY,GREEN,2-Very minor aesthetic problems
8189539,04/30/1999,19.5,NO,5.9,,7,34,43,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,05/14/1999,17,NO,5.2,,,36,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,06/11/1999,15.5,NO,4.7,1.17,7,38,43,36,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,06/26/1999,12,NO,3.6,,,41,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,08/24/1999,11.5,NO,3.5,2.55,11,42,47,42,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189539,09/16/1999,10,NO,3,,,44,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,10/21/1999,13.5,NO,4.1,3,11,40,47,43,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188461,04/29/2000,,,,,,,,,,,,,
8189539,04/29/2000,22.5,YES,6.8,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,05/20/2000,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,07/15/2000,19.5,NO,5.9,1.7,11,34,47,39,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
7000093,08/03/2000,11.8,,3.6,3.8,11,42,47,45,,,,,
8189539,08/21/2000,12.5,NO,3.8,2.4,9,41,45,41,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,09/09/2000,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189539,10/19/2000,20,NO,6.1,2,10,34,46,40,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
