Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Kusel Lake,Waushara,189600,NE,70,,703103,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189423,05/30/1999,18.75,NO,5.7,,,35,,,LOW,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
8189423,06/05/1999,16.75,NO,5.1,,,37,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189423,06/19/1999,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189423,06/30/1999,12.25,NO,3.7,,,41,,,LOW,,MURKY,BLUE,3-Enjoyment somewhat impaired (algae)
8189422,07/11/1999,11,NO,3.3,,,43,,,LOW,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
8189423,07/18/1999,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189423,07/25/1999,13.5,NO,4.1,,,40,,,NO CHANGE,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189423,08/02/1999,15.25,NO,4.6,,,38,,,NO CHANGE,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
8189423,08/14/1999,17.75,NO,5.4,,,36,,,NO CHANGE,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
8189423,08/21/1999,15.25,NO,4.6,,,38,,,NO CHANGE,,MURKY,YELLOW,5-Enjoyment substantially impaired (algae)
8189423,08/29/1999,14,NO,4.3,,,39,,,NO CHANGE,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
8189423,09/06/1999,12.25,NO,3.7,,,41,,,NO CHANGE,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
8189423,09/11/1999,11.25,NO,3.4,,,42,,,NO CHANGE,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
8189423,09/19/1999,8,NO,2.4,,,47,,,NO CHANGE,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
8189422,05/29/2000,20.5,NO,6.2,,,34,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189422,06/11/2000,18,NO,5.5,,,35,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189422,06/25/2000,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,07/01/2000,19.25,NO,5.9,,,35,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,07/15/2000,14.75,NO,4.5,,,38,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,07/23/2000,15.25,NO,4.6,,,38,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,07/30/2000,15,NO,4.6,,,38,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
7000093,08/02/2000,11.2,,3.4,3,10,42,46,43,,,,,
8189422,08/05/2000,14.25,NO,4.3,,,39,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,08/11/2000,14.5,NO,4.4,,,39,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,09/09/2000,14.75,NO,4.5,,,38,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,09/17/2000,14.25,NO,4.3,,,39,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
7000093,04/25/2001,,,,,12,,47,,,,,,
8188659,06/07/2001,,,,3.2,10,,46,44,,,,,
8189423,06/09/2001,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189423,06/24/2001,11,NO,3.3,,,43,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189423,07/08/2001,12,NO,3.6,,,41,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
7000093,07/09/2001,,,,3,12,,47,43,,,,,
8189423,07/15/2001,12,NO,3.6,,,41,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189423,08/05/2001,13,NO,4,,,40,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189423,08/12/2001,10.75,NO,3.3,,,43,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189423,08/19/2001,11,NO,3.3,,,43,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189423,09/03/2001,8,NO,2.4,,,47,,,NORMAL,,MURKY,YELLOW,2-Very minor aesthetic problems
8188659,09/05/2001,,,,4.4,16,,50,46,,,,,
8189423,06/30/2002,13,NO,4,,,40,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189423,07/07/2002,11,NO,3.3,,,43,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189423,07/14/2002,10,NO,3,,,44,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189423,07/28/2002,15,NO,4.6,,,38,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189423,08/11/2002,15,NO,4.6,,,38,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189423,08/25/2002,16,NO,4.9,,,37,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,05/26/2003,15.5,NO,4.7,,,38,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,06/15/2003,12,NO,3.6,,,41,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,06/29/2003,11,NO,3.3,,,43,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,08/10/2003,9.75,NO,3,,,44,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,06/20/2004,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,07/03/2004,10.25,NO,3.1,,,44,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,07/14/2004,11.25,NO,3.4,,,42,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,07/22/2004,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,08/02/2004,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,08/17/2004,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,08/26/2004,13,NO,4,,,40,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,09/01/2004,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,09/14/2004,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189422,11/01/2004,,,,,20,,51,,,,,,
8189422,06/16/2005,9,NO,2.7,,,45,,,LOW,1.72,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189422,06/26/2005,7,YES,2.1,,,49,,,LOW,1.72,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189422,07/04/2005,7.75,NO,2.4,,,48,,,LOW,1.72,CLEAR,BROWN,2-Very minor aesthetic problems
1,04/15/2006,15.6,,4.7,,,38,,,,,,,
1,04/29/2008,15,,4.6,,,38,,,,,,,
1,07/14/2008,,,,0.64,13,,48,31,,,,,
1,09/26/2008,,,,2.57,10,,46,42,,,,,
28613168,02/10/2009,,,,0.57,,,,31,,,,,
116239278,05/03/2010,16,,4.9,,15,37,49,,,,,,
1,11/08/2010,12.5,,3.8,,18,41,51,,,,,,
116350785,02/22/2011,,,,,197,,69,,,,,,
1,02/24/2011,,,,,,,,,,,,,
1,04/25/2011,10,,3,,,44,,,,,,,
116239278,05/04/2011,13,,4,,,40,,,,,,,
1,06/09/2011,8.75,,2.7,,,46,,,,,,,
83119654,06/09/2011,,,,,19,,51,,,,,,
1,06/30/2011,11.25,,3.4,,16,42,50,,,,,,
1,07/18/2011,,,,,14,,49,,,,,,
1,07/19/2011,10.75,,3.3,,,43,,,,,,,
1,08/08/2011,,,,,14,,49,,,,,,
1,08/29/2011,11.25,,3.4,,11,42,47,,,,,,
1,10/31/2011,8.75,,2.7,,,46,,,,,,,
116239278,11/14/2011,10,,3,,17,44,50,,,,,,
1,02/18/2012,,,,,9,,45,,,,,,
1,04/26/2012,11.25,,3.4,,30,42,54,,,,,,
116239278,04/30/2012,13,,4,,22,40,52,,,,,,
1,06/06/2012,7,,2.1,,,49,,,,,,,
1,06/07/2012,,,,,15,,49,,,,,,
1,06/27/2012,10,,3,,,44,,,,,,,
1,06/29/2012,,,,,15,,49,,,,,,
1,07/16/2012,,,,,16,,50,,,,,,
1,07/18/2012,13.75,,4.2,,,39,,,,,,,
1,08/06/2012,,,,,14,,49,,,,,,
1,08/08/2012,12,,3.6,,,41,,,,,,,
1,08/27/2012,,,,,6,,42,,,,,,
1,08/30/2012,12,,3.6,,,41,,,,,,,
116239278,11/13/2012,13,,4,,12,40,47,,,,,,
116239213,05/25/2014,6,,1.8,,9,51,45,,,,,,
116239213,11/15/2014,,,,,10,,46,,,,,,
1,05/02/2015,,,,,6,,42,,,,,,
116356405,05/06/2015,27,YES,8.2,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
116356405,05/23/2015,22,NO,6.7,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
116356405,06/03/2015,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
116356405,06/19/2015,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
116356405,06/30/2015,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
116356405,07/19/2015,12.25,NO,3.7,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
116356405,08/03/2015,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
