Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Winnebago,Calumet,131100,NE,8,,713243,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,02/15/1990,,,,,17,,50,,,,,,
1,04/05/1990,3.9,,1.2,33,75,57,62,61,,,,,
1,05/17/1990,4.3,,1.3,,,56,,,,,,,
1,06/22/1990,3,,0.9,13,82,62,62,54,,,,,
1,08/01/1990,3.3,,1,21,54,60,59,58,,,,,
1,08/23/1990,5.2,,1.6,54,106,53,64,65,,,,,
1,02/21/1991,4.3,,1.3,2.4,23,56,52,41,,,,,
1,05/09/1991,,,,3,26,,53,43,,,,,
1,06/18/1991,7.2,,2.2,16,79,49,62,56,,,,,
1,07/15/1991,1,,0.3,438,330,77,73,81,,,,,
1,08/28/1991,2.3,,0.7,32,51,65,59,61,,,,,
1,10/02/1991,2,,0.6,25,81,67,62,59,,,,,
1,05/02/1994,,,,3.45,23,,52,44,,,,,
1,09/20/1994,,,,59.9,120,,65,66,,,,,
1,05/24/1995,3.3,,1,3.62,59,60,60,45,,,,,
1,06/28/1995,,,,20.3,60,,60,58,,,,,
1,07/20/1995,,,,3.48,49,,58,44,,,,,
1,06/10/1996,,,,4.38,68,,61,46,,,,,
1,07/31/1996,,,,87,90,,63,69,,,,,
1,09/05/1996,,,,285,333,,73,78,,,,,
1,02/17/1997,,,,,45,,58,,,,,,
1,08/05/1997,3.2,,1,74.4,98.141,60,64,67,,,,,
1,04/15/1998,3.3,,1,42.8,77,60,62,63,,,,,
1,06/17/1998,10,,3,,16,44,50,,,,,,
7000091,06/17/1998,,,,3.49,,,,44,,,,,
1,07/15/1998,,,,36.3,76,,62,62,,,,,
1,08/13/1998,2.6,,0.8,29.4,69,63,61,60,,,,,
7000091,02/09/1999,,,,1,14,,49,35,,,,,
7000091,04/13/1999,4.9,,1.5,13.6,22,54,52,55,,,,,
7000091,06/16/1999,3.9,,1.2,13,44,57,57,54,,,,,
7000091,07/22/1999,4.5,,1.4,18.5,69,55,61,57,,,,,
7000091,09/01/1999,2.6,,0.8,40,59,63,60,63,,,,,
7000091,02/22/2000,,,,,19,,51,,,,,,
1,05/04/2000,3.3,,1,13,41,60,57,54,,,,,
7000091,07/30/2000,1.7,,0.51,,100,70,64,,,,,,
7000091,08/24/2000,1.6,,0.5,101,231,70,70,70,,,,,
7000091,04/25/2001,,,,30,86,,63,61,,,,,
7000091,06/20/2001,,,,26,50,,58,59,,,,,
7000091,07/24/2001,,,,30,54,,59,61,,,,,
7000091,04/23/2002,4.7,NO,1.4,16,34,55,55,56,,,,,
7000091,06/17/2002,5.7,NO,1.75,3,88,52,63,43,,,,,
7000091,06/28/2002,6.6,NO,2,27,170,50,68,60,,,,GREEN,
7000091,07/19/2002,3,NO,0.9,12.9,92,62,63,54,,,,GREEN,
7000091,09/05/2002,,,,43.6,127,,66,63,,,,GREEN,
7000091,05/06/2003,2.5,NO,0.75,40.1,69,64,61,63,,,MURKY,GREEN,
