Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Wazeecha Lake,Wood,1391200,WC,72,,723125,SW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/31/1973,,,,,30,,54,,,,,,
1,10/23/1973,,,,,90,,63,,,,,,
1,01/29/1974,,,,,50,,58,,,,,,
1,04/18/1974,,,,,30,,54,,,,,,
1,08/05/1974,,,,,20,,51,,,,,,
1,10/10/1974,,,,,60,,60,,,,,,
1,02/11/1975,,,,,20,,51,,,,,,
8190051,05/28/1990,4,NO,1.2,,,57,,,GAUGE,1014.15,,BROWN,2-Very minor aesthetic problems
8190051,06/24/1990,3.75,NO,1.1,,,58,,,GAUGE,1014.6,,BROWN,2-Very minor aesthetic problems
8190051,07/02/1990,4.5,NO,1.4,,,55,,,GAUGE,1014.2,,BROWN,2-Very minor aesthetic problems
8190051,08/04/1990,4,NO,1.2,,,57,,,GAUGE,1014.4,,BROWN,2-Very minor aesthetic problems
8190051,08/29/1990,3.25,NO,1,,,60,,,GAUGE,1014.8,,BROWN,2-Very minor aesthetic problems
8190051,06/08/1991,3,NO,0.9,,,61,,,GAUGE,1014.2,,BROWN,2-Very minor aesthetic problems
8190051,06/19/1991,4.5,NO,1.4,,,55,,,GAUGE,1014.1,,BROWN,2-Very minor aesthetic problems
8190051,07/03/1991,5.5,NO,1.7,,,53,,,GAUGE,1014.2,,BROWN,2-Very minor aesthetic problems
8190051,07/19/1991,5.5,NO,1.7,,,53,,,GAUGE,1014.6,,BROWN,2-Very minor aesthetic problems
8190051,08/25/1991,7,NO,2.1,,,49,,,GAUGE,1014.34,,BROWN,2-Very minor aesthetic problems
8190051,06/10/1992,4,NO,1.2,,,57,,,GAUGE,1014.2,,BROWN,2-Very minor aesthetic problems
8190051,07/17/1992,5,NO,1.5,,,54,,,GAUGE,1014.65,,BROWN,2-Very minor aesthetic problems
8190051,08/21/1992,5,NO,1.5,,,54,,,GAUGE,1014.34,,BROWN,2-Very minor aesthetic problems
8190051,06/05/1993,4.5,NO,1.4,,,55,,,GAUGE,1014,,BROWN,2-Very minor aesthetic problems
8190051,07/03/1993,3.5,NO,1.1,,,59,,,GAUGE,1014.48,,BROWN,4-Would not swim but boating OK (algae)
8190051,05/29/1994,2.5,NO,0.8,,,64,,,GAUGE,1014.5,,BROWN,2-Very minor aesthetic problems
8190051,07/02/1994,2,NO,0.6,,,67,,,GAUGE,1014,,BROWN,2-Very minor aesthetic problems
8190051,07/10/1994,1,NO,0.3,,,77,,,GAUGE,1014.5,,BROWN,2-Very minor aesthetic problems
8190051,07/30/1994,1.5,NO,0.5,,,71,,,GAUGE,1014.1,,BROWN,2-Very minor aesthetic problems
8190051,06/18/1995,4,NO,1.2,,,57,,,GAUGE,1014.34,,BROWN,2-Very minor aesthetic problems
8190051,06/22/1995,3.5,NO,1.1,,,59,,,GAUGE,1014.34,,BROWN,2-Very minor aesthetic problems
8190051,07/04/1995,3.5,NO,1.1,,,59,,,GAUGE,1014.4,,BROWN,2-Very minor aesthetic problems
8190051,07/08/1995,3.5,NO,1.1,,,59,,,GAUGE,1014.2,,BROWN,2-Very minor aesthetic problems
8190051,07/23/1995,6,NO,1.8,,,51,,,GAUGE,1014.2,,BROWN,2-Very minor aesthetic problems
1,02/26/1997,,,,,,,,,,,,,
1,05/15/1997,4.5,,1.4,4.63,57,55,59,46,,,,,
8190051,06/01/1997,3.75,NO,1.1,,,58,,,GAUGE,1014.2,,BROWN,2-Very minor aesthetic problems
1,06/19/1997,4,,1.2,11,66,57,61,53,,,,,
8190051,06/22/1997,3.75,NO,1.1,,,58,,,GAUGE,1014.5,,BROWN,2-Very minor aesthetic problems
8190051,07/13/1997,3.75,NO,1.1,,,58,,,GAUGE,1014.1,,,
1,07/28/1997,5.3,,1.6,10.2,33,53,55,52,,,,,
1,08/25/1997,4.9,,1.5,14.8,31,54,55,55,,,,,
1,09/18/1997,4,,1.2,10.2,33,57,55,52,,,,,
8190051,05/25/1998,3.25,NO,1,,,60,,,GAUGE,1014.2,MURKY,BROWN,2-Very minor aesthetic problems
8190051,07/03/1998,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8190051,07/25/1998,4.5,NO,1.4,,,55,,,GAUGE,1014.4,MURKY,BROWN,2-Very minor aesthetic problems
8190051,06/06/2000,4.5,NO,1.4,,,55,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8190051,06/18/2000,4.5,NO,1.4,,,55,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,07/14/2000,4,NO,1.2,,,57,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,08/22/2000,4,NO,1.2,,,57,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,05/27/2001,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,07/01/2001,5,NO,1.5,,,54,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,08/20/2001,6,NO,1.8,,,51,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,09/21/2001,4,NO,1.2,,,57,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,07/04/2002,5,YES,1.5,,,54,,,GAUGE,1014.1,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,08/08/2002,6.5,NO,2,,,50,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,09/17/2002,6,NO,1.8,,,51,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,05/10/2003,4.5,NO,1.4,,,55,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8190051,06/30/2003,6,NO,1.8,,,51,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,07/13/2003,5.75,NO,1.7,,,52,,,GAUGE,1014.34,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,08/04/2003,7,NO,2.1,,,49,,,GAUGE,1014.7,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,09/01/2003,5,NO,1.5,,,54,,,HIGH,1014.5,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
7000090,04/20/2004,3.5,NO,1.1,,26,59,53,,,,,,
8190051,05/10/2004,4.5,NO,1.4,,,55,,,HIGH,1014.6,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,05/31/2004,5.5,NO,1.7,,,53,,,HIGH,1014.9,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,06/25/2004,5,NO,1.5,,,54,,,HIGH,1015.2,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
7000090,08/10/2004,4,NO,1.2,5.07,22,57,52,47,,,,,
8190051,08/15/2004,5.5,NO,1.7,,,53,,,NORMAL,1014.5,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,09/26/2004,6.5,NO,2,,,50,,,NORMAL,1014.2,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,07/04/2005,7,NO,2.1,,,49,,,,1014.4,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,07/10/2005,6,NO,1.8,,,51,,,,1014.4,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,08/14/2005,5,NO,1.5,,,54,,,,1015.6,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,04/11/2006,4,NO,1.2,,,57,,,GAUGE,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8190051,05/08/2006,5,NO,1.5,,,54,,,GAUGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,06/23/2006,6.25,NO,1.9,,,51,,,GAUGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,07/05/2006,5.5,NO,1.7,,,53,,,GAUGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,07/18/2006,7,NO,2.1,,,49,,,GAUGE,,MURKY,BROWN,4-Would not swim but boating OK (algae)
8190051,08/16/2006,7.75,NO,2.4,,,48,,,GAUGE,,MURKY,BROWN,2-Very minor aesthetic problems
8190051,08/30/2006,7.5,NO,2.3,,,48,,,GAUGE,,MURKY,BROWN,2-Very minor aesthetic problems
8190051,09/22/2006,6.75,NO,2.1,,,50,,,GAUGE,,MURKY,BROWN,2-Very minor aesthetic problems
8190051,10/17/2006,4.5,NO,1.4,,,55,,,GAUGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190051,04/29/2007,4.25,NO,1.3,,,56,,,HIGH,1015.1,MURKY,GREEN,2-Very minor aesthetic problems
8190051,05/21/2007,5.25,NO,1.6,,,53,,,STAFF_GAUGE,1014.5,MURKY,BROWN,2-Very minor aesthetic problems
8190051,06/28/2007,8,NO,2.4,,,47,,,STAFF_GAUGE,1014.34,MURKY,BROWN,2-Very minor aesthetic problems
8190051,07/29/2007,8.5,NO,2.6,,,46,,,STAFF_GAUGE,1014.7,MURKY,BROWN,2-Very minor aesthetic problems
8190051,08/28/2007,6.75,NO,2.1,,,50,,,STAFF_GAUGE,1014.7,MURKY,BROWN,2-Very minor aesthetic problems
8190051,05/19/2008,6,NO,1.8,,,51,,,,1014.2,MURKY,BROWN,2-Very minor aesthetic problems
8190051,06/23/2008,7,YES,2.1,,,49,,,,1014.0,MURKY,BROWN,2-Very minor aesthetic problems
8190051,07/01/2008,7.25,NO,2.2,,,49,,,,1014.5,MURKY,BROWN,2-Very minor aesthetic problems
8190051,07/14/2008,7.25,NO,2.2,,,49,,,,1014.9,MURKY,BROWN,2-Very minor aesthetic problems
8190051,07/23/2008,7.25,YES,2.2,,,49,,,,1014.5,MURKY,BROWN,2-Very minor aesthetic problems
8190051,08/05/2008,7.25,NO,2.2,,,49,,,,1014.5,MURKY,BROWN,2-Very minor aesthetic problems
8190051,08/19/2008,8,NO,2.4,,,47,,,,1014.34,MURKY,BROWN,2-Very minor aesthetic problems
8190051,09/17/2008,10.25,NO,3.1,,,44,,,,1014.5,CLEAR,GREEN,2-Very minor aesthetic problems
8190051,10/06/2008,11.25,NO,3.4,,,42,,,,1014.2,CLEAR,BROWN,2-Very minor aesthetic problems
8190051,04/18/2009,4.25,NO,1.3,,,56,,,GAUGE,1015.7,MURKY,BROWN,4-Would not swim but boating OK (algae)
8190051,05/12/2009,6.25,NO,1.9,,,51,,,GAUGE,1014.4,MURKY,BROWN,4-Would not swim but boating OK (algae)
8190051,06/15/2009,6.25,NO,1.9,,,51,,,GAUGE,1014.1,MURKY,BROWN,2-Very minor aesthetic problems
8190051,07/13/2009,8.25,NO,2.5,,,47,,,GAUGE,1015.6,MURKY,BROWN,2-Very minor aesthetic problems
8190051,07/21/2009,8.25,NO,2.5,,,47,,,GAUGE,1015.8,MURKY,BROWN,2-Very minor aesthetic problems
8190051,08/11/2009,7.75,NO,2.4,,,48,,,GAUGE,1014.7,CLEAR,BROWN,2-Very minor aesthetic problems
8190051,08/31/2009,10.5,NO,3.2,,,43,,,GAUGE,1014.5,CLEAR,BROWN,2-Very minor aesthetic problems
8190051,04/30/2010,10,NO,3,,,44,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
8190051,05/24/2010,8.5,NO,2.6,,,46,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
8190051,06/30/2010,8.25,NO,2.5,,,47,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
8190051,07/08/2010,7,,2.1,,,49,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
8190051,07/20/2010,7.75,NO,2.4,,,48,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
8190051,08/11/2010,7.75,NO,2.4,,,48,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
8190051,08/31/2010,10.5,NO,3.2,,,43,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
